"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",1.4398020208084e-08,1.80642303115873e-09,2.14433657230728e-09,9.35297013358038e-08,1.10650179486971e-07,-1.21422586749187e-07,-1.96040009166065e-07,-2.9583521740717e-07,-5.6064114375376e-07,-4.24190594124463e-06,-6.27207046300216e-06,-5.77303310345023e-06,-4.60887869480953e-06,-4.16863897178321e-06,-3.99281525239936e-06,-4.18972528946915e-06,-4.34626872182009e-06,-3.93660200755741e-06,-3.72876190270677e-06,-3.4228858974914e-06,-3.20451339955707e-06,-2.95934522075358e-06,-2.34052878690411e-06,-2.02111431279128e-06,-1.99812862091842e-06,-1.71589299994274e-06,-1.51491134827847e-06,-1.48553280955821e-06,-1.49570889764888e-06,-1.3126900314222e-06,-1.25693750884509e-06,-1.13317450950068e-06,-1.04897624109211e-06,-1.00863708463206e-06,-8.75210947827818e-07,-9.41307680772455e-07,-1.04612643796126e-06,-1.10972151252663e-06,-1.03686510825144e-06,-9.29814597910167e-07,-8.85115070037333e-07,-8.55965730947785e-07,-7.74896228875576e-07,-6.52798727106829e-07,-5.63801082648807e-07,-1.16795286392389e-06,2.47348897902988e-06,7.9269310418084e-07,-5.6358180851746e-07,5.77112129320411e-06,5.66581324052605e-06,4.14639055218657e-06,2.63992965948389e-06,3.18729354453317e-06,-1.32281127885037e-06,-2.43355643798005e-06,-3.39696039145743e-06,-2.00002898530727e-06,-1.01695176108141e-06,-1.34563201974736e-06,-2.61323618952148e-06,-2.51394303219721e-06,-2.34136146624709e-06,-7.4553108030662e-07,1.92906112567833e-07,-2.3368980237215e-06,-3.19403861147216e-06,-4.69298311685629e-06,-4.57269744657407e-06,-2.98316409078092e-06,-2.51295269975917e-07,-8.07263285551253e-07,-3.97704325714955e-07,-1.1832697274885e-06,-1.46417859301717e-06,-1.60126500703811e-06,-1.79882935135778e-06,-2.18473833774496e-06,-2.40777587245167e-06,-2.07425388661628e-06,-1.93930055963334e-06,-1.78453759444436e-06,-1.8417994213947e-06,-1.89347522700106e-06,-1.71203286069474e-06,-1.49534411573796e-06,-1.41586585389648e-06,-1.46380030742745e-06,-1.42189649642184e-06,-1.34554779481358e-06,-1.28525136274467e-06,-1.20342939475654e-06,-1.04434425420906e-06,-9.83266904687853e-07,-1.01542253193222e-06,-9.63265833459928e-07,-9.68715236956658e-07,-1.00178020506991e-06,-9.37396008722214e-07,-8.44344121932418e-07
"mu_V_inter",3.08010478402566e-08,1.70467642162109e-08,-5.78357171834299e-08,1.80444579846118e-07,-1.24486038581395e-07,-6.31619968567419e-08,2.45319934366606e-07,-4.68035859468856e-08,-3.39229125861706e-07,-8.24868619321071e-07,2.35111242986763e-06,1.89614485485734e-06,1.25766683519091e-06,1.09055628318067e-06,7.13363107543111e-07,1.21166789587735e-06,1.79418917240071e-06,2.47595793235767e-06,3.02074462293412e-06,2.83563588462555e-06,2.56084362471088e-06,2.57266840473203e-06,2.7789097116861e-06,2.62322971449702e-06,2.35523443525215e-06,1.9053966836799e-06,1.54583895742166e-06,1.26801993760978e-06,9.32625289013278e-07,6.92284275938926e-07,5.14616896369308e-07,4.32371613395363e-07,3.90208195474917e-07,3.86164387020077e-07,4.36722872426326e-07,3.49890543876754e-07,3.21062575867954e-07,4.24016923955841e-07,4.96932570331884e-07,3.97310362949481e-07,3.54187704982578e-07,3.66567197817663e-07,2.8224363661964e-07,1.9004940739439e-07,1.47215529943581e-07,5.61114722406045e-08,-5.06705372588457e-07,-4.36302413896783e-06,-8.0887828393088e-06,2.07574954742214e-05,1.99736063150375e-05,1.71274879173744e-05,1.48162805747933e-05,1.26055632391999e-05,1.02051667616774e-05,1.00657592854585e-05,1.14625744630459e-05,1.29679485100631e-05,1.18971247572901e-05,9.33863127053947e-06,1.01623771976653e-05,1.11543620490511e-05,9.40592534352547e-06,8.07654655729318e-06,7.2701811874727e-06,6.98267654077478e-06,6.14628594198319e-06,6.99171033652424e-06,6.88810699253839e-06,7.07706907425232e-06,4.49220524361016e-06,4.21674839010333e-06,4.66212891029361e-06,3.32497123743148e-06,2.78153166974427e-06,2.39014136501187e-06,2.33058634967109e-06,2.20873895762697e-06,1.73609280253434e-06,1.27077312581694e-06,1.17580773881179e-06,1.22706613038556e-06,1.30468902269115e-06,1.39876568541639e-06,1.03752730227225e-06,9.88029224426008e-07,9.70435967562412e-07,1.00630666995258e-06,9.77693105535722e-07,9.18658453471604e-07,8.51782131697038e-07,6.82827443983278e-07,6.00379105840217e-07,4.94604111287371e-07,4.32014964009277e-07,3.41599521306729e-07,3.29318735159717e-07,4.15642541739818e-07,4.53975134221163e-07,4.64250957862359e-07
"mu_V_muscle",9.55611166997272e-09,1.01414280533341e-08,-7.62068977482322e-08,-1.55907057188376e-07,-2.74480651407668e-09,-1.43844203008836e-07,6.23159834853836e-08,1.67062874098622e-07,6.45847533061961e-07,2.42465624150421e-07,8.150032247598e-07,4.3194070410024e-07,7.85466838562951e-07,6.78772780632328e-07,1.36752479549762e-06,1.12132751869431e-06,3.39289422769172e-07,1.28180637166463e-07,-1.07373828461489e-07,-6.37705491892694e-08,-1.55528938031391e-07,-2.89457620939238e-07,-4.31229771146236e-07,-3.97526049757958e-07,-4.21708300627211e-07,-3.10895825581748e-07,-2.20442387753373e-07,-2.70907219225515e-07,-4.43247118912389e-07,-3.62778942748527e-07,-3.9283141099672e-07,-5.00527010471292e-07,-4.36527116017244e-07,-5.02515798978796e-07,-5.44847296416671e-07,-5.86517193521403e-07,-6.34857785890488e-07,-7.04809241273121e-07,-7.90982580141931e-07,-6.77145027799746e-07,-4.68750886966949e-07,-3.9224018502632e-07,-3.55466894439875e-07,-2.76980749148816e-07,-2.2936110563138e-07,-4.00771664461812e-07,-1.75765240953751e-06,8.28317404938163e-07,-4.20355017715578e-06,-5.86843397940127e-06,-5.87839954278378e-06,-4.18849530601405e-06,-3.27739303766348e-06,-1.87969692860433e-06,-2.17846898886441e-06,-5.37614572069954e-06,-5.05042622054395e-06,-4.93184308325032e-06,-3.32915336432825e-06,-2.28542885618753e-06,-1.83197893223407e-06,-2.94789022456897e-06,-3.43812525758523e-06,-4.03919911503613e-06,-5.14180887236559e-06,-6.47896712189943e-06,-7.92905803228416e-06,-5.64204087389485e-06,-5.34290591257757e-06,-4.46191024235153e-06,-2.34430740435054e-06,-2.5510949023455e-06,-2.66460927353728e-06,-3.04817261405942e-06,-2.2956456202613e-06,-2.27562072266918e-06,-2.07143623003996e-06,-2.10883326286093e-06,-1.87466496244309e-06,-1.80660890297043e-06,-2.00107158516072e-06,-2.31539776791828e-06,-2.28635862892859e-06,-2.10196802858436e-06,-1.94493375522421e-06,-1.96657961805836e-06,-2.00022456556263e-06,-1.93698490511083e-06,-1.71540953910337e-06,-1.57193444481019e-06,-1.39584599985481e-06,-1.45246006854731e-06,-1.39802973838444e-06,-1.25788394831195e-06,-1.1032583902048e-06,-9.82058891200078e-07,-9.38982660822761e-07,-9.85987141356645e-07,-8.97188418691036e-07,-8.51360440671641e-07
"mu_kgut",-0.416698313505351,-0.795038363996479,-1.13941193468941,-1.45364540997923,-1.74107533985654,-2.00461490009462,-2.2468129717677,-2.46989820040281,-2.67582630640611,-2.86631073711265,-3.0223923409127,-3.13005975643045,-3.19733399627581,-3.23105392276822,-3.23704835246749,-3.22027942041421,-3.18496778728453,-3.13469521088843,-3.07249717962369,-3.0009403120707,-2.92219152254913,-2.83807573103659,-2.7501244368187,-2.65961771527487,-2.56762171948492,-2.47502071812222,-2.38254348879739,-2.29078603846757,-2.20023234169448,-2.11127136607206,-2.02421112526183,-1.93929102405093,-1.85669347169929,-1.77655190079872,-1.69895975655152,-1.62397665075726,-1.55163353758681,-1.48193865007559,-1.41488056796589,-1.350432876699,-1.28855596921154,-1.22920068159158,-1.17230929326322,-1.11781847717412,-1.06566016272756,-1.01576476490746,-1.45958553277837,-2.76502118146774,-4.767796086542,-6.83711268211822,-8.48712815671315,-9.78248696113385,-10.7785318370411,-11.5226167854092,-12.0552413768557,-12.4110067589827,-12.6194429268345,-12.705741723888,-12.6913672741037,-12.5945781993658,-12.4308923921959,-12.213475154394,-11.953478034842,-11.6603225220579,-11.3419486195941,-11.005037694493,-10.6551916907274,-10.297078757607,-9.9345886101047,-9.57093586953818,-9.20876110246043,-8.85022134193884,-8.49705908350392,-8.15067221630394,-7.81214678564635,-7.48233775651735,-7.1618762690849,-6.85122136156911,-6.55068369865626,-6.26044987916545,-5.98060396208445,-5.71114478845864,-5.45200240679711,-5.20305067048599,-4.96411866148963,-4.73499894103704,-4.51545572087068,-4.305231771332,-4.10405390816455,-3.91163794529851,-3.72769238291618,-3.55192157025076,-3.38402842364484,-3.22371641246183,-3.07069286115576,-2.92466807023385,-2.78535828805721,-2.65248593833444,-2.52578025358238,-2.40497822266881
"mu_Km",1.40982842200545e-09,1.4002507993105e-09,-9.33595143113312e-08,-3.39015572266899e-07,-2.25432270299031e-07,1.21909250762274e-07,-8.13182424836976e-08,-1.68535201710452e-07,-3.20211677693467e-08,-1.91433670655039e-06,-3.86057906561277e-06,-3.45732322960935e-06,-2.34583145885114e-06,-3.37240441744124e-06,-3.11923277099613e-06,-2.67107826955515e-06,-2.52957322291492e-06,-2.5443980017934e-06,-2.21556679572688e-06,-2.20638055370681e-06,-2.40037714003594e-06,-2.71614417105071e-06,-2.32487306764412e-06,-1.89777882895337e-06,-1.62743798315002e-06,-1.57999414391274e-06,-1.67938138943874e-06,-1.56651324716309e-06,-1.3386522094806e-06,-1.16711789025306e-06,-1.0519645936429e-06,-1.04307644487504e-06,-1.04060258523116e-06,-9.52547345399347e-07,-8.39137032266735e-07,-8.94086897133801e-07,-9.45985240472153e-07,-9.94428190043703e-07,-8.07155940190715e-07,-7.42850305746404e-07,-6.42519110803746e-07,-5.99575802859271e-07,-5.74016440995123e-07,-5.44382979380945e-07,-5.09803626092147e-07,-5.70618396470223e-07,-9.20441217964195e-07,-3.74271375149604e-06,-2.29504710619999e-05,-2.11075472612344e-05,-1.8739747352452e-05,-2.06571689104927e-05,-1.79893156122955e-05,-1.23313783168176e-05,-1.10640839487317e-05,-1.5128963825493e-05,-1.82967552074134e-05,-1.58952328767841e-05,-1.19898400975114e-05,-1.15064144384078e-05,-9.8948556570493e-06,-7.65392798361654e-06,-6.98548482278174e-06,-7.02046875641972e-06,-5.70060306457966e-06,-6.34278236789167e-06,-5.81891758757648e-06,-5.61721684549001e-06,-5.26278464959341e-06,-6.33359830837278e-06,-4.38258737225118e-06,-4.0654293738991e-06,-1.93859158146592e-06,-1.50157219174063e-06,-1.38116002470235e-06,-1.43841626157254e-06,-1.18947574713568e-06,-6.14976389205714e-07,-3.55824994019436e-08,1.02053668716989e-07,-1.85599561323552e-07,-5.72461236561545e-07,-5.04952978730683e-07,-2.60590650007359e-07,-2.70224144053588e-07,-4.64120257079287e-07,-5.30383349738054e-07,-5.81605532700966e-07,-5.80377557749118e-07,-4.4982539496858e-07,-4.65462954048646e-07,-4.31109277692896e-07,-3.96826332559587e-07,-3.81631533280344e-07,-3.94377536238649e-07,-1.41283227864636e-07,9.09933832539644e-08,2.53237047056543e-07,3.58720369965052e-07,3.86857625759444e-07
"mu_Vmax",6.53350984514134e-09,2.26527601037141e-08,4.18351261672889e-08,7.19512569444802e-08,-2.13429917023777e-07,-1.5274003667054e-07,-1.57885154466353e-07,1.48281150190499e-07,2.0348106389445e-07,4.9324182103083e-07,-1.62974585032938e-06,-2.85557596448915e-08,-2.68461652908321e-09,-3.88131335841149e-07,-1.00336179240301e-06,-1.7381132809684e-06,-2.61233299035602e-06,-3.51382003796796e-06,-3.50785522178598e-06,-3.23877245059112e-06,-2.85537532319524e-06,-2.24094071053016e-06,-1.86364437722719e-06,-1.75918610898446e-06,-1.56600132649948e-06,-1.40008034813682e-06,-1.16971560091839e-06,-9.00993388811611e-07,-8.82640410174025e-07,-8.42596193743995e-07,-7.22755208130616e-07,-6.90047797018493e-07,-6.90468620793445e-07,-7.38257068293391e-07,-7.62716545982146e-07,-6.27524968549093e-07,-5.10191638126462e-07,-4.76348914780989e-07,-4.81889140046044e-07,-5.20788654708074e-07,-5.18255860376245e-07,-4.86782071587446e-07,-4.47868988280646e-07,-3.71098352954607e-07,-4.06374239756365e-07,-5.1095899898538e-07,-1.58470065885651e-07,-2.41185845030145e-06,-2.62760760175133e-05,-4.15056318142071e-05,-3.75608879475138e-05,-3.65843850384522e-05,-3.4100393282646e-05,-3.17531186436515e-05,-3.06654910047879e-05,-3.08136775565693e-05,-3.16549005677151e-05,-3.24782981820304e-05,-3.02181904312793e-05,-2.93408367948338e-05,-2.85964152032161e-05,-2.47486671050559e-05,-2.12855283442859e-05,-1.89404865984897e-05,-1.57811320738981e-05,-1.38588672510203e-05,-1.29780817879739e-05,-1.21955594455498e-05,-1.10252629759273e-05,-1.15514793757976e-05,-1.10274628319806e-05,-1.06597748454589e-05,-1.0075390277926e-05,-8.54759905732139e-06,-7.65468191623486e-06,-7.55393707413121e-06,-7.03661550684992e-06,-6.91976939562028e-06,-6.85717482852222e-06,-6.74202756958192e-06,-6.37669556809522e-06,-5.84653682413952e-06,-5.19689954272393e-06,-4.43958605788952e-06,-3.98612404513085e-06,-3.73445329513423e-06,-3.55611954514165e-06,-3.23342506191364e-06,-3.05210629062104e-06,-2.76443855103831e-06,-2.50142548317695e-06,-2.3460023889386e-06,-2.30599110254302e-06,-2.3171567239803e-06,-2.22193611995276e-06,-2.08554406556202e-06,-1.96445050873939e-06,-1.93165935906353e-06,-1.87427469905852e-06,-1.79708042628465e-06
"mu_m_K_ALDO",-4.36007861095433e-08,9.27957674141665e-08,1.05889519728564e-07,1.07819263109654e-07,1.01571822324953e-07,2.43720000780989e-07,1.64589885400799e-08,2.45728758748953e-07,7.10019670461914e-07,2.40394614882344e-06,2.11325367752524e-06,1.04381661289654e-06,2.66811885409446e-07,-2.52170618942227e-07,-2.41061661602205e-07,-3.97095865953379e-07,9.15693798646529e-08,-1.54032616509703e-07,-5.09778532273186e-07,-6.70856234710527e-07,-3.85488569599302e-07,-3.59648515844579e-07,-3.92067803779261e-07,-6.40362312327835e-07,-7.86164818753099e-07,-1.04072621994949e-06,-1.14554172279163e-06,-1.05464983737577e-06,-9.99489714102769e-07,-8.66625660619791e-07,-8.4196949079246e-07,-7.51828405496799e-07,-5.85905385243737e-07,-5.58905400610293e-07,-5.13187663412323e-07,-4.1678552202945e-07,-2.85460423755615e-07,-1.41511270989145e-07,-1.98307703456288e-07,-1.43064353017815e-07,-1.55013103731241e-07,-1.65253752975339e-07,-1.95675403959133e-07,-1.9641066515122e-07,-1.50240992615128e-07,3.59296808717048e-07,1.21784967931049e-06,-1.73786909260087e-06,-6.74311199984601e-06,-3.30338877222047e-06,-4.93500835579041e-06,-3.39854622754387e-06,-3.85454923152472e-06,-2.55053679493322e-06,-3.50389319993738e-06,-5.54399965557905e-06,-6.92091547940965e-06,-7.16756709528532e-06,-9.31926168219821e-06,-8.51118505854309e-06,-6.19006071190409e-06,-4.62368730550322e-06,-3.88810567725883e-06,-1.63954861623639e-06,-4.26295740779459e-07,-2.17646477320899e-06,-2.1442290447824e-06,-3.26044259358915e-06,-3.79131442468994e-06,-3.75117377305534e-06,-3.95293848251521e-06,-3.78059366458727e-06,-5.03969420948214e-06,-5.0080847029389e-06,-4.79703740011705e-06,-4.56906637646848e-06,-4.43623861043329e-06,-4.03466261383095e-06,-3.41273093058403e-06,-3.05410887217325e-06,-2.69169056905388e-06,-2.56984645882058e-06,-2.45615815169214e-06,-2.42985906203189e-06,-2.42329081072841e-06,-2.28841638292104e-06,-2.10123134749524e-06,-2.00198437204392e-06,-1.89101895534661e-06,-1.82633490694183e-06,-1.72348126593667e-06,-1.64731118028862e-06,-1.42500273490771e-06,-1.1385598391479e-06,-1.10593932277321e-06,-1.03865390725817e-06,-9.79102415614576e-07,-8.53981904216177e-07,-7.97682673739566e-07,-7.90715014920513e-07
"mu_P_ECF",4.49026262492325e-08,-3.46885710995615e-08,-1.15081257947125e-07,-1.86148027336408e-07,-1.77471272449825e-07,6.75961538783022e-08,-6.20985677999288e-08,4.22000515675869e-07,3.97694329484111e-07,-1.4549280154732e-06,-1.74435862514422e-06,-1.54156695370489e-06,-1.96003410708601e-06,-1.89224674353161e-06,-1.3014068604047e-06,-1.11759840142334e-06,-9.69785236943022e-07,-9.8402719583024e-07,-5.10451243987521e-07,-2.85083941615528e-07,-5.5894886038832e-07,-5.60229732212925e-07,-6.50083817320845e-07,-5.8481716879466e-07,-6.40859438809815e-07,-4.32174471883373e-07,-4.27446272914022e-07,-3.5054050754027e-07,-2.24348935737972e-07,-1.6692058602355e-07,-2.16234602964271e-07,-4.85229759319874e-07,-3.02873101487563e-07,-2.30240456007863e-07,-1.92594799257581e-07,-1.55101793497897e-07,-1.42345884915115e-07,-6.61139234668923e-08,-1.0327514743897e-07,-1.63030635247307e-07,-1.89469015997603e-07,-5.51484279411733e-08,-8.56974484781373e-10,3.67980783774516e-08,9.65779622172336e-08,5.51291559056438e-08,-2.22352559326389e-06,-1.00658569933643e-06,-8.49808332593228e-06,2.08161389071471e-05,1.77807797253848e-05,1.64649523592466e-05,1.42339985434177e-05,1.76739247983981e-05,1.81935377406717e-05,1.9082965964639e-05,1.47116968075629e-05,1.01453319959273e-05,7.40195353981043e-06,5.38051495645675e-06,5.67229153116599e-06,4.52687431828824e-06,4.59231137181204e-06,4.57423670548041e-06,2.9000754355768e-06,3.74519413174523e-06,5.09756856551169e-06,5.20109610234698e-06,4.65560515799024e-06,4.01364919856362e-06,2.69267707820575e-06,2.35025789767362e-06,1.40287142582529e-06,6.59867242796094e-07,2.22789865336189e-07,5.84853874445144e-08,1.74127910394114e-07,1.72775370503527e-07,2.83258294160313e-07,3.47784243960395e-07,4.50591191879149e-07,5.40149673454169e-07,5.5080766606738e-07,4.03264024361164e-07,2.57587279118744e-07,1.55280333159201e-07,9.67395234486564e-08,1.20778902629555e-07,1.29055729236395e-07,1.39442163379146e-07,1.08282669511342e-07,1.04223107075008e-07,3.68355624177907e-08,8.45738864768397e-08,1.85996657291096e-07,2.64279064926222e-07,2.54490806567659e-07,2.55290922989058e-07,3.10244919464319e-07,3.41105472022838e-07
"mu_FF",1.96453607781422e-09,-1.50856371714525e-08,2.12624435298458e-08,8.97854861658941e-08,2.38625929708025e-07,2.82235960722409e-08,-1.57185476083122e-07,-2.56614419062107e-07,-4.32240041143395e-07,-6.56767780280455e-08,-1.11886353093649e-06,-8.73590066349905e-07,-1.49371156184763e-06,-1.80577925840364e-06,-9.48757970197222e-07,-1.28213595919591e-06,-1.50056328465875e-06,-1.48455330466901e-06,-1.41170761717391e-06,-1.32546771280417e-06,-1.52550700856413e-06,-1.19372235101523e-06,-6.5333408289453e-07,-3.40651005022619e-07,-2.06555333190583e-07,-1.88204555881866e-07,-3.55713181854898e-08,8.4939818391361e-08,2.6312929713837e-07,1.47776009234935e-07,1.40241177531864e-07,1.37527254323325e-07,1.97933678793172e-07,1.28799831741203e-07,1.19988805399041e-07,1.38031360614035e-07,1.65168683261441e-07,9.9705030772862e-08,-1.06924744664588e-08,-7.17945113994991e-08,-9.50442981298809e-08,-1.24571862379932e-07,-1.4395380088305e-07,-2.01851063948089e-07,-2.41501579655877e-07,-3.49034329420389e-07,1.70870583090731e-07,-1.97557608473886e-06,1.36942777423421e-05,7.89504209809875e-06,8.50995751597948e-06,5.51094844766452e-06,6.29404738318583e-06,7.46217624631206e-06,5.08262487646148e-06,1.29041738932755e-06,2.51307386013088e-06,1.83868023675336e-06,-1.62971870599461e-06,-2.43597007112141e-06,-2.90546248234947e-06,-2.04183956579308e-06,-1.70451301717512e-06,-1.14133130458605e-06,-4.92128718037061e-07,-1.67201692954434e-06,-4.18557951366256e-07,-1.31438008535901e-06,-8.89677259691361e-07,-5.60392430931426e-07,7.6279831116077e-07,8.63626696007143e-07,-2.38691669093965e-07,-1.8721269932303e-08,-4.92121510841219e-07,-4.40262667541107e-07,-3.66247674842839e-07,-3.31538335985763e-07,-5.87208370573748e-07,-7.81005683966721e-07,-6.24736719976318e-07,-2.43021580486144e-07,-2.52411656462672e-07,-1.55963165447667e-07,-1.51332008960116e-07,-1.61168604786615e-07,-1.89440054259723e-07,-5.20247304656181e-08,1.08408651191992e-07,2.62205255512216e-07,2.61009699512328e-07,2.46772476382522e-07,2.08832134514807e-07,1.18903726774212e-07,-1.30296091146154e-08,-1.79663373237165e-08,4.99943133132365e-08,1.20608520203106e-07,1.34019920806114e-07,1.45469884949056e-07
