"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",-1.83785049099328e-08,-2.5000875785608e-08,-8.30003635301502e-08,-3.53143683935465e-08,7.80254958803183e-08,-4.0030627614307e-07,-4.56009843341931e-07,-7.52696862474256e-07,-7.64500743574814e-07,-3.47638587315302e-06,-5.20290513695709e-06,-4.38881602027452e-06,-3.66522156204674e-06,-2.82643579710773e-06,-3.09391539362558e-06,-3.47087725183193e-06,-3.61466522482012e-06,-3.23766738289177e-06,-3.28616849533103e-06,-2.77451077282043e-06,-2.40782780736604e-06,-2.00311484533977e-06,-1.40488406162831e-06,-1.30897640136973e-06,-1.52011813545688e-06,-1.38460626215325e-06,-1.21219069806139e-06,-1.19513045419228e-06,-1.1412352477628e-06,-9.60980880092444e-07,-8.88619715459921e-07,-8.99231170038331e-07,-8.27588096594695e-07,-7.5512784904605e-07,-6.49374114464863e-07,-7.64618781344123e-07,-9.40107072232244e-07,-9.53705832205644e-07,-8.15651071228961e-07,-7.18958736674096e-07,-7.51189661797085e-07,-8.07400237518862e-07,-7.70196532866998e-07,-6.74007491149383e-07,-5.75671713372476e-07,-1.22602594782986e-06,6.80340111591348e-07,1.98909007492176e-06,-1.94045932083569e-05,-2.80203817049234e-05,-2.60305606703568e-05,-2.40556282723539e-05,-2.5238903464615e-05,-2.55778454546096e-05,-2.15999329341887e-05,-2.24866370464198e-05,-1.95350686724938e-05,-2.01339659662754e-05,-1.5980659616738e-05,-1.36057858774903e-05,-1.29380923362819e-05,-1.41656726578163e-05,-1.19461583580818e-05,-8.77858557129141e-06,-6.03849330841611e-06,-5.52799380568558e-06,-4.00205708523638e-06,-5.17585772743301e-06,-4.44396014985316e-06,-3.95303554472748e-06,-2.0404856271149e-06,-1.88126097484986e-06,-2.14446190817896e-06,-2.2094264438679e-06,-2.49628359304222e-06,-2.13610151978738e-06,-1.92126337454207e-06,-1.83152887421972e-06,-1.6799503165042e-06,-1.51282326365626e-06,-1.1992633630829e-06,-1.17250071008993e-06,-1.10338946416805e-06,-7.84626202240902e-07,-5.43750217078796e-07,-4.78836867261524e-07,-3.39677232800013e-07,-4.97636259787216e-07,-7.6453384949507e-07,-8.31945793391416e-07,-8.40654813026622e-07,-8.54914968462982e-07,-7.23050603113965e-07,-6.03212887860413e-07,-3.76536386328806e-07,-2.1425622369499e-07,-2.67401008818315e-07,-4.41326250107028e-07,-5.54263522510068e-07,-5.5608342361682e-07
"mu_V_inter",3.20550202541626e-08,1.42926393360554e-08,5.30167622563305e-08,1.30697427568549e-07,-3.07140179941268e-07,-2.96221573778066e-07,-6.0968060048516e-08,-2.802350543738e-07,-5.98930523524554e-07,6.86035935963506e-07,3.83856017216822e-06,3.23787785391839e-06,2.2346831477722e-06,2.10580183285392e-06,2.30417344876366e-06,2.56330502757441e-06,2.72510880129185e-06,3.08521369228809e-06,3.91491403415523e-06,3.80712881214352e-06,3.38663431372855e-06,3.24009863022823e-06,3.31520872560703e-06,3.15374363529292e-06,2.74045422498359e-06,2.25839352307633e-06,1.79212205287016e-06,1.45544571848491e-06,1.08846742758367e-06,7.8880068957346e-07,5.48254823149075e-07,3.95436024886911e-07,3.05062688737825e-07,2.70714490545123e-07,2.85940657015523e-07,1.44220818077217e-07,9.52464236619111e-08,2.4938138941738e-07,4.00913199912249e-07,3.49518359130982e-07,3.11267182149244e-07,3.85685812738873e-07,3.54871423500567e-07,3.06999337519011e-07,2.75829776313057e-07,5.00913222197562e-07,7.88000147309731e-07,1.79210244369088e-06,9.41833702384899e-06,3.72045483309158e-05,3.51995157962577e-05,3.23517268194316e-05,2.51686283495758e-05,2.06635229705547e-05,1.57934218511819e-05,1.56393219459137e-05,1.7234170710398e-05,1.75448868814785e-05,1.55245101894197e-05,1.42622679677791e-05,1.60375895749336e-05,1.58308297760077e-05,1.54076178610549e-05,1.4152641156854e-05,1.19650478945248e-05,1.21790869320146e-05,1.08408337943287e-05,1.01878631383212e-05,9.91461285775475e-06,8.91083874603105e-06,7.80483491664819e-06,6.74211601428499e-06,7.03836279860371e-06,6.96427382490162e-06,6.52844666057873e-06,5.79122285721296e-06,5.22169325494698e-06,4.92967208564166e-06,4.63570762570442e-06,4.16420465807549e-06,3.59095723086411e-06,3.10664675845021e-06,2.86046061462545e-06,2.55814024113438e-06,2.25974122819421e-06,2.27154336599789e-06,2.25209628241453e-06,2.29941366835734e-06,2.20274151030707e-06,1.89148255060998e-06,1.77723002573015e-06,1.53011703126134e-06,1.38335083186596e-06,1.13938235982803e-06,1.01162052438818e-06,9.50462826981814e-07,1.06236983769987e-06,1.15825153861512e-06,1.16795856189544e-06,1.14465668956766e-06
"mu_V_muscle",-7.40687279510154e-10,2.68295722238854e-08,-1.73311227689155e-08,-8.02539918800529e-08,9.13323801468024e-08,-1.2701719885877e-07,9.27397176533337e-08,2.0905541804872e-07,3.46583335463002e-07,-2.71785100794153e-06,-3.50796544518639e-06,-4.1853990651064e-06,-3.86862319288906e-06,-3.46220255586838e-06,-1.85421453209145e-06,-1.71252123957033e-06,-1.78318322391813e-06,-1.43745736459322e-06,-1.44128622326434e-06,-1.28472401616065e-06,-1.46396095400936e-06,-1.46335899583305e-06,-1.49325927337096e-06,-1.34627865159443e-06,-1.30164771891883e-06,-1.21866199539239e-06,-1.09272804276733e-06,-1.08907004057468e-06,-1.1202630175346e-06,-1.03409255153242e-06,-1.0400905798342e-06,-1.0850367781755e-06,-9.93217460636784e-07,-9.84973661313103e-07,-9.66811960347467e-07,-1.01613076327942e-06,-1.11793546378024e-06,-1.134224277291e-06,-1.10974145701863e-06,-9.70513177735728e-07,-7.8142435005486e-07,-7.093608507718e-07,-6.52354524713024e-07,-5.33185223148714e-07,-4.38685239452983e-07,-3.32486239034438e-07,-1.02358648678624e-06,8.76972924487518e-07,-2.37523853385877e-08,-1.56094345884128e-06,-1.777092417381e-06,-1.48946847930631e-06,-1.51496515299065e-06,-2.7918904994273e-06,2.29446026022018e-06,1.48670996094858e-06,8.15645303218238e-08,2.63958344541852e-07,1.07041824204403e-07,2.23724466171316e-06,3.34381814343931e-06,2.9363453723148e-06,3.19385856814591e-06,1.70154920756138e-06,1.30875496615657e-06,1.20742115725658e-07,-1.84402126621208e-06,-1.07278974319147e-06,-1.09070402944189e-06,-1.70777200592798e-06,-1.91651943904014e-06,-1.6225495605453e-06,-2.18767804327347e-06,-2.412280378284e-06,-2.27218863904988e-06,-2.05082906594833e-06,-1.75994543069447e-06,-1.48498424417559e-06,-1.30280664939192e-06,-1.52095103486083e-06,-1.71408397488798e-06,-1.51298770957589e-06,-1.38243631151158e-06,-1.42266395753612e-06,-1.43365911303607e-06,-1.51951029276733e-06,-1.37812589752534e-06,-1.39690031585157e-06,-1.15685193506675e-06,-1.29979677362405e-06,-1.32611220872755e-06,-1.41142366647614e-06,-1.44969127111536e-06,-1.25583382473243e-06,-1.00018665560344e-06,-9.09901005444975e-07,-8.05916738782945e-07,-6.46056531352322e-07,-6.12162029397886e-07,-6.0474646616365e-07
"mu_kgut",-0.416698344995441,-0.795038404122724,-1.13941197147355,-1.45364549069821,-1.74107562278608,-2.00461521288533,-2.24681308236573,-2.46989828585798,-2.67582641246073,-2.86631029190757,-3.02239144161562,-3.13005886306689,-3.19733236254699,-3.23105217576413,-3.23704665541865,-3.22027777206727,-3.18496623742482,-3.13469387265209,-3.07249595884673,-3.00093888217691,-2.92219027638594,-2.83807448547024,-2.75012322527384,-2.65961690864719,-2.56762115497197,-2.47502025601624,-2.38254293209994,-2.29078547168872,-2.20023184260704,-2.11127091563223,-2.024210637473,-1.93929052286362,-1.85669302312092,-1.77655153109271,-1.69895940207659,-1.62397624684288,-1.55163315104748,-1.48193839940155,-1.41488042718934,-1.35043275133015,-1.28855579539945,-1.22920051224755,-1.17230916009216,-1.11781832505423,-1.06566000744558,-1.01576438373872,-1.45958429202163,-2.76501494297904,-4.76780684768032,-6.83712523656496,-8.48714353035021,-9.7825027998387,-10.7785534483293,-11.5226422941036,-12.0552713374333,-12.4110328005735,-12.6194633787942,-12.7057580153943,-12.6913788398455,-12.5945851957157,-12.4308979257957,-12.2134819905843,-11.9534858410576,-11.6603318352706,-11.3419602232878,-11.0050503307653,-10.6552028643564,-10.2970893946143,-9.93459866151804,-9.57094501714038,-9.20876767578193,-8.85022607514293,-8.4970625850134,-8.15067364863491,-7.81214900296208,-7.48233963708217,-7.16187816391152,-6.85122368230603,-6.5506860932669,-6.26045213841199,-5.98060597503231,-5.71114722258835,-5.45200498293632,-5.20305360219121,-4.96412171764232,-4.73500183332,-4.51545869906864,-4.30523480971132,-4.10405701744338,-3.91164116174143,-3.72769551846324,-3.55192489472382,-3.38403182974691,-3.22371986850173,-3.07069615647692,-2.92467107103534,-2.78536095583032,-2.65248828433888,-2.52578229289117,-2.40497997821651
"mu_Km",3.07177803193761e-11,-2.15658133231324e-08,-6.67547918502544e-08,-1.53611632042417e-07,-8.85396356751227e-08,1.84749441569209e-07,6.48474068363204e-08,-1.27007650744471e-07,-1.55728072984917e-07,-2.26661389949088e-07,-1.49325256674571e-06,-1.21234449935459e-06,6.62916595617428e-09,-1.26070261093369e-06,-6.70240635593843e-07,-6.13294998839775e-07,-8.22748091038106e-07,-6.6153608956887e-07,-3.10210058983239e-07,-2.77028300042725e-07,-7.3186257656177e-07,-1.04260548057811e-06,-9.55235807112097e-07,-5.8013588050365e-07,-3.44609395547978e-07,-2.95165078405379e-07,-4.32849504374777e-07,-4.77497057970511e-07,-4.28932512131719e-07,-3.00553023946604e-07,-3.04881580455829e-07,-3.70433311167623e-07,-4.64949570906773e-07,-4.72250466249061e-07,-3.84955920095423e-07,-4.43259677853525e-07,-5.15784084013468e-07,-6.02426542564441e-07,-3.96614832337626e-07,-3.33231250244912e-07,-2.37086878021212e-07,-2.59510875109958e-07,-3.13606943585031e-07,-3.61874973698162e-07,-4.0648648264869e-07,-6.06596755862109e-07,-1.19413582879524e-06,-4.69856040014349e-06,-2.92537857643858e-05,-3.23526137239334e-05,-2.85016161313117e-05,-2.63367200059044e-05,-2.2102502436427e-05,-2.23327581716735e-05,-2.06819434126704e-05,-2.29527259954718e-05,-1.98854309949121e-05,-1.7757935855685e-05,-1.71522863971321e-05,-1.46822865755691e-05,-1.38437613223763e-05,-1.31667892820389e-05,-1.30253002922145e-05,-1.25522018464674e-05,-1.15442917140478e-05,-1.125532089801e-05,-1.00696903671267e-05,-8.6015739917773e-06,-8.28665819268948e-06,-8.40173030845759e-06,-6.35341690896441e-06,-5.42280976586751e-06,-3.65153454609613e-06,-2.70183921302059e-06,-2.33926351542302e-06,-2.1274477536482e-06,-1.82002766121775e-06,-1.58631269935111e-06,-1.34206156466227e-06,-1.12645906276798e-06,-1.35594647736437e-06,-1.26286017167676e-06,-1.08513172543417e-06,-8.89302654384082e-07,-7.11873105336116e-07,-7.58205711855544e-07,-6.60943930953727e-07,-4.88756362748158e-07,-4.90808144166924e-07,-5.32822642671571e-07,-7.54187178013483e-07,-7.50513272881428e-07,-6.19964170941408e-07,-6.03437489489489e-07,-4.78503018294364e-07,-2.34307172514221e-07,-3.05204382970916e-08,1.02349361466494e-07,1.09870279771772e-07,4.6433894048152e-08
"mu_Vmax",-3.26790610412076e-08,3.54520037926243e-08,9.59776890563368e-08,-9.4982040684588e-08,-3.59336148868294e-07,-1.28679074739679e-07,-4.87282907616126e-07,-3.75026595002659e-07,2.50599556186335e-08,-4.51926087812194e-07,-1.99341829017996e-06,-1.88072404390118e-07,-5.13938402811222e-07,-1.97004613822217e-07,-1.35081224390898e-06,-2.29437491954565e-06,-2.76707412455624e-06,-3.77767088232506e-06,-3.65869920518713e-06,-3.53146358962364e-06,-3.2015992103831e-06,-2.86113258372855e-06,-2.47164730156885e-06,-2.06544912021955e-06,-1.68310131025512e-06,-1.32011782455327e-06,-1.10462337672118e-06,-8.62363675916134e-07,-8.78063734761375e-07,-7.60107879975686e-07,-5.73317541734564e-07,-5.56603910738987e-07,-5.93569236665093e-07,-5.84994230932237e-07,-5.88200172611367e-07,-5.71776532002244e-07,-5.04644109221214e-07,-5.2256854688422e-07,-5.57128494119722e-07,-5.59742997207187e-07,-4.65442498603027e-07,-3.9364159252062e-07,-3.83447294620379e-07,-3.69182300465998e-07,-4.4798178607831e-07,-9.29855195122696e-07,2.19695487849949e-07,-3.54920884701215e-06,-1.54250003718097e-05,-2.46189690261751e-05,-2.19140192028462e-05,-1.97740167022005e-05,-1.79797686849987e-05,-1.40873433196767e-05,-9.24560371192307e-06,-1.17385362588767e-05,-1.09918343151598e-05,-1.2971552968315e-05,-1.098923978389e-05,-1.1044301178238e-05,-1.17990026035519e-05,-1.07294812220617e-05,-9.59017621160419e-06,-7.9327856739595e-06,-5.51499382605281e-06,-4.17600850141375e-06,-4.2143289780916e-06,-3.382936345391e-06,-2.54696721582892e-06,-2.01446930205962e-06,-1.58874763331707e-06,-1.79584233624353e-06,-1.85454713599487e-06,-1.89181933531479e-06,-2.43011123794279e-06,-2.32287705323786e-06,-1.88151731235309e-06,-2.21643784403336e-06,-2.39625174372637e-06,-2.59795674043126e-06,-2.39895138224211e-06,-1.91402409758443e-06,-1.54432343376859e-06,-1.36624817852049e-06,-1.23706646520293e-06,-1.3950954729046e-06,-1.30496889008154e-06,-1.23200523204148e-06,-1.1882912479452e-06,-1.30867193970979e-06,-1.43767782289059e-06,-1.53379659356319e-06,-1.6605590682725e-06,-1.7157364569561e-06,-1.59729043360062e-06,-1.42989409787868e-06,-1.29045452782046e-06,-1.25950194184907e-06,-1.24944224046228e-06,-1.13071121204643e-06
"mu_m_K_ALDO",-3.48603629163336e-08,2.39353828956901e-08,4.02392678537921e-08,1.58080887340261e-08,2.14173898048564e-07,1.91062911108375e-07,2.76610488234572e-08,-3.31984431561239e-07,-3.12100213297306e-07,1.28612404852069e-06,3.78787365753475e-07,-1.68498272274942e-07,-2.42185583771537e-07,-4.82411291825358e-07,-7.40974766102687e-07,-1.41554735053417e-06,-1.0696612634562e-06,-1.0180959365228e-06,-1.20711165388265e-06,-1.28586479276183e-06,-1.13546315963109e-06,-8.37276134621256e-07,-9.09340597107677e-07,-9.74393735765577e-07,-1.26251604403288e-06,-1.56658510583985e-06,-1.57262303330585e-06,-1.47650755412296e-06,-1.3576502056768e-06,-1.18050280845211e-06,-1.17960072401546e-06,-1.05126345739122e-06,-8.71047564852817e-07,-7.71753582575321e-07,-6.76324120171559e-07,-5.39052224262274e-07,-4.87689241122469e-07,-4.61456574187343e-07,-5.21940557952239e-07,-4.3048393460015e-07,-3.39530545800403e-07,-3.32969625419889e-07,-4.29183293454396e-07,-4.09708707468155e-07,-3.05375466421235e-07,5.82008311347432e-07,2.52879542012074e-06,3.11908409724283e-07,2.02461573095149e-05,2.62047421076303e-05,2.1587575187155e-05,1.94832897517507e-05,1.5832258883588e-05,1.63075536513073e-05,1.59520766348766e-05,1.33262878290648e-05,1.28783338914413e-05,1.18132939184354e-05,9.67055656032123e-06,6.87772993886604e-06,8.37785808719182e-06,7.0492263133235e-06,5.65472761107966e-06,5.59945530829298e-06,5.56072550777031e-06,5.15375150928898e-06,4.57908228983017e-06,4.33756659642981e-06,4.12825656604387e-06,4.88476705135366e-06,3.93475996881487e-06,3.5568396748118e-06,2.52925421929739e-06,1.59754071739993e-06,1.36735125053522e-06,1.51198818987813e-06,1.67394759426792e-06,1.63147305855332e-06,1.57354020123945e-06,1.67176370568944e-06,1.32085270796589e-06,1.25122807733727e-06,1.20518325691979e-06,8.28835570626518e-07,5.87692531556299e-07,4.44069592037744e-07,4.52029521152711e-07,3.99940004213033e-08,-1.31842002200623e-08,-7.9653468078554e-08,5.94178463506069e-08,1.65015820922467e-07,2.69098634401048e-07,2.058308753854e-07,-3.28761310781529e-08,-2.48570126152314e-07,-3.29278072642394e-07,-3.01567982083764e-07,-2.30198946049377e-07,-1.67106283568048e-07
"mu_P_ECF",4.32671004304552e-08,2.03422756079874e-08,-9.24695953408162e-08,-1.11303514017447e-07,1.20326420471439e-07,7.58535080147561e-08,-1.43356378619952e-07,1.21417204146823e-07,3.14549319878843e-07,-2.60088670768432e-07,1.84300561612005e-07,8.44271169855308e-08,-2.50695095782571e-07,-3.70049652346661e-07,1.50143752592813e-07,3.95277484473988e-07,2.58674117975532e-07,4.6156718164847e-07,9.98673322752497e-07,1.22915773386723e-06,8.8568915423648e-07,3.82784931931557e-07,1.262104184378e-07,1.62470745263433e-07,6.4099185701772e-08,3.75991138748538e-08,-4.28376938816361e-08,3.99154031734689e-08,1.79725369943235e-07,2.35576895376511e-07,1.63934154964602e-07,-7.39214548094582e-08,5.31983982714344e-08,1.01272577200898e-07,1.55937753674354e-07,1.70154277033763e-07,8.22598943475558e-08,1.59656535900888e-07,1.59526397170221e-07,1.68121026896007e-07,1.08986630587307e-07,1.26727948462104e-07,5.41733322408333e-08,-1.16587551063361e-08,-6.759225378165e-08,-4.15802084980529e-07,-2.0551495368224e-06,-3.59566997418171e-06,-9.95268700369679e-06,-9.34810286369726e-06,-8.20080404020019e-06,-7.12192885935892e-06,-6.05060709466621e-06,-4.87571699646417e-06,-6.26129111967622e-06,-3.00423062140887e-06,-4.26801758902862e-06,-6.96805679644364e-06,-4.80348418264588e-06,-3.58896052030123e-06,-1.90644381433459e-06,-6.44628347809211e-07,3.56892427315176e-07,1.16102492047209e-06,6.33078599423516e-07,1.19638261391719e-06,3.90202732151619e-07,-5.2320938032491e-07,-3.98920344153899e-07,-1.08290306432402e-06,-2.95678761069785e-06,-3.29518087699599e-06,-3.10707853678305e-06,-2.81843115794123e-06,-3.06221159892706e-06,-2.53492479722462e-06,-2.17842510093614e-06,-2.02205148769497e-06,-1.59503797006056e-06,-1.52450688249342e-06,-1.23695478327535e-06,-1.11857151961162e-06,-9.49136292660582e-07,-6.82156348767507e-07,-6.04322493474837e-07,-4.9982824218506e-07,-5.548137834015e-07,-5.36741484320385e-07,-3.55590863616114e-07,-2.01298703046479e-07,4.86929360855998e-08,1.22390316819139e-07,1.97740899404406e-07,1.68380729343147e-07,5.93858107889024e-08,-8.64762613004807e-08,-1.3010833525843e-07,-7.98980390733237e-08,-3.39937514058598e-08,2.46234632995625e-08
"mu_FF",1.8210239316474e-09,-1.86802384880558e-08,2.20107545829683e-08,1.74254178550548e-07,2.36169551970811e-07,-1.12109045682818e-07,-1.41987885952766e-07,-2.31288796091356e-07,-4.03633009116167e-07,-5.3455831739102e-07,-1.31915319630549e-06,-8.53986535663154e-07,-1.34984517798964e-06,-1.14361949492725e-06,-4.79003042374693e-07,-6.03361286802829e-07,-8.11945894141131e-07,-6.89528532975104e-07,-6.0219951818652e-07,-2.60165257714218e-07,-3.49959847530946e-07,-1.97173067244428e-07,9.23547918096338e-08,1.93214579600253e-07,1.41199634208388e-07,5.43468213377026e-08,6.06740952774906e-08,1.43687969427762e-08,1.20323271850076e-07,-1.77031040701771e-08,-6.67904802832133e-08,1.96120430223377e-08,5.47778732096493e-08,2.73317418498926e-08,2.28986915913888e-08,6.4807960990232e-08,1.82714889997056e-07,1.94729505447522e-07,6.9364203154225e-08,-7.017304935749e-08,-1.02866909144957e-07,-7.82059214561107e-08,-3.29416096905914e-08,-6.48934212323025e-08,-1.38226210819287e-07,-8.6893012210012e-08,9.03901639409455e-07,-1.73229081594428e-06,-3.37470111151821e-07,-2.33541393628657e-06,-8.30357685362788e-07,-2.4343181649016e-06,1.92923425614032e-06,2.44244364768419e-06,4.30204261524912e-06,3.57359070594397e-06,3.08634766652459e-06,1.57450210757303e-06,-8.09247712760901e-08,-2.96968082492918e-07,-1.40121584767173e-06,-2.05099118532726e-06,-2.51853993872069e-07,1.02940616635649e-06,1.15706415320193e-06,1.95752358320722e-06,1.66986033303096e-06,-6.95942334942638e-07,-6.4774357307296e-07,-5.74486480205088e-07,1.80476648008238e-07,-2.84575049446128e-07,-1.84167857875011e-07,-2.74335684811949e-07,-4.72280060322632e-07,-5.87691874620088e-08,-2.49314280906636e-07,-3.82651334012833e-07,-2.22651644513409e-07,-2.52287423041873e-07,-1.48323057907049e-07,-8.78744548986652e-08,1.44000042401723e-07,1.6863852781662e-07,1.90889176283222e-07,1.21045916950583e-07,3.35311788394029e-08,3.69979216670851e-08,1.84417169606639e-07,2.37365206992113e-07,2.49055910079335e-07,1.82733876004883e-07,1.37597874211323e-07,5.26123621019345e-08,3.85285206348114e-08,2.28668809896421e-07,3.99452663352804e-07,4.07120487242388e-07,3.80270519133319e-07,3.45977353406764e-07
