"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",0.317042101851646,0.264763593951223,0.183388741188702,0.122602180127632,0.0821511941603055,0.0559508867830461,0.0390187868431169,0.0280050685367283,0.0207712189490853,0.0159740165476648,0.0155835477895812,0.0181019087924054,0.0204372306894912,0.0221310046573688,0.0232889155926882,0.0240711437659429,0.0246018842339883,0.0249668961566496,0.0252227885793002,0.0254068260012133,0.0255433429810078,0.0256478484918384,0.0257309225145671,0.0257995533932137,0.0258581909433569,0.0259096068007834,0.0259558814263688,0.0259982428302089,0.0260376087434756,0.0260745321576854,0.0261092922824254,0.0261421886504885,0.0261734128038818,0.0262030016219026,0.0262311028513706,0.02625775332026,0.0262829278796064,0.0263067880648555,0.0263293033176798,0.0263505417658437,0.0263705050349978,0.0263892644410228,0.0264068474358638,0.0264233012996958,0.0264387050241504,0.0264530284746823,-0.0143817342858012,-0.0426423013272355,-0.06604944017129,-0.0498947305718823,-0.0161326492205901,0.00963929316477378,0.0263955423631224,0.0366537657859785,0.0428919154307099,0.0385022706144698,0.029323413969851,0.0219447817727068,0.0166567352747542,0.0129702328573907,0.0102602874228073,0.00813589121893848,0.00642502093873963,0.00500605604657979,0.00397578006670627,0.00346669221163863,0.00319691471373969,0.00305827621092522,0.00303375874034837,0.00305293677286632,0.00300581744031772,0.00308655148249508,0.00329074831368066,0.00311168573185244,0.00258814709753444,0.00217249222708484,0.00138906111834376,0.00026385664806479,-0.00134573642300298,-0.00349422175956496,-0.00590898813563386,-0.00899099556846905,-0.0035608852649585,0.00595325427419395,0.012899455574974,0.0174095086103908,0.020273774394828,0.0221024790225348,0.0232873326123776,0.0240704963814438,0.0245999320641895,0.024966732696573,0.0252276554248256,0.0254185438507429,0.0255618013900932,0.0256725553474194,0.0257608424381565,0.0258326639346361,0.0258924199832436,0.0259432838790201
"mu_V_inter",0.0574191701447017,0.0493126748925351,0.0373575644298157,0.0278504786505844,0.0211849598702806,0.0167013919868453,0.0137330997351002,0.0117782563748718,0.0104949203952398,0.00965325645939113,0.00897528074555008,0.00801474249761379,0.00676631873650321,0.00537644228370807,0.00395775190265581,0.00257707666192825,0.00127038575860958,5.42685887208946e-05,-0.00106523949180869,-0.00208862232600102,-0.00301981090642635,-0.00386434433841116,-0.00462865242251544,-0.00531946344351174,-0.00594317564969281,-0.00650600539699674,-0.00701364686606439,-0.00747141700829542,-0.00788419103359154,-0.00825635380897307,-0.00859186483752403,-0.00889435074947913,-0.00916702824724078,-0.00941278587334138,-0.00963423878376034,-0.00983378925415057,-0.01001352142168,-0.0101753040808668,-0.0103208852506397,-0.0104517956188275,-0.0105693566449774,-0.0106748835500881,-0.0107694736536551,-0.0108540724058844,-0.0109296640621542,-0.0109970456618421,-0.00160564688360394,0.0131591064196514,0.0281232408001505,0.0406402451779438,0.0474004649066019,0.0496826117631862,0.0493364203052309,0.0475802844793728,0.0452143416515285,0.0408536243370543,0.0363885341854912,0.032531724094147,0.0292566696939031,0.0264577962482146,0.0240082944645452,0.0218360023613852,0.0198926613924005,0.0181239461089353,0.0164840072119474,0.0149509298017344,0.0134507977681745,0.0119679091709123,0.0104905391873656,0.00901197929060689,0.00750122857511401,0.00601489941012197,0.00454339194148982,0.00297998165004731,0.00136424098030185,-0.00016225433845754,-0.0017647447466139,-0.00342717010683939,-0.00513741920318695,-0.00688482521193806,-0.00874438081859819,-0.0108114795936397,-0.0103413691912696,-0.00915203321011765,-0.00837682422636215,-0.0079977777385737,-0.00788313099231841,-0.00792721178956497,-0.00805997019963457,-0.0082390252342158,-0.00843923948103318,-0.00864478568162455,-0.00884706273611914,-0.00904174533434477,-0.0092257506881699,-0.00939764335538261,-0.00955724328415405,-0.00970479586978305,-0.00984039584455318,-0.00996479112096096
"mu_V_muscle",-0.00646165979850046,-0.0100450681643228,-0.012081255396204,-0.0132436207240467,-0.0139062048364844,-0.0142759452759728,-0.0144719780069654,-0.0145644294699823,-0.014595286086539,-0.0145870102455982,-0.0145546153148651,-0.0144875738457443,-0.014375999896668,-0.0142125336397392,-0.0139964866431456,-0.0137292668657838,-0.0134139319886988,-0.013054901172854,-0.0126553135251462,-0.0122185843321603,-0.0117483703818411,-0.0112477239281181,-0.0107195406658261,-0.010166437430212,-0.00959071156334272,-0.00899455888793804,-0.00837996230361076,-0.00774871434476164,-0.00710231842838059,-0.00644224047269775,-0.00576973087714335,-0.00508597965346015,-0.00439190709164763,-0.00368862956037925,-0.00297689454332673,-0.00225750768315993,-0.00153111904926243,-0.00079836011265534,-5.9811354907817e-05,0.000684040274204781,0.00143273397448754,0.00218580744211001,0.00294292551861922,0.00370373983970339,0.00446790424767629,0.0052351981606181,0.00541595414952545,0.00450122899748188,0.00296049099011077,0.00105868553383131,-0.00098962626016489,-0.00302796665269938,-0.00496585100205394,-0.00677694253712064,-0.0084611265603854,-0.00988359786663672,-0.0109302800104851,-0.0117156815844003,-0.0123123427109686,-0.0127649590267999,-0.0131005948986526,-0.0133348319025313,-0.0134813616626215,-0.0135523704580961,-0.0135507776810978,-0.0134835477099502,-0.0133468997914184,-0.0131425156953735,-0.0128733494264822,-0.012538739130345,-0.0121407103950878,-0.0116790305509346,-0.0111663477294252,-0.0105946090861978,-0.00995207586989308,-0.00925095551560401,-0.00848558896666141,-0.00764396916300808,-0.0067208273499199,-0.00571577401544126,-0.00462394754208608,-0.00342891425342337,-0.0022875193219003,-0.00138644134992463,-0.000607496086585685,0.00010983842145411,0.000799540944032348,0.00147920548020218,0.00215687129409267,0.00283831895457203,0.00352433348286266,0.0042167140385878,0.0049158539631491,0.00562178936511873,0.00633416541125811,0.00705297929371738,0.00777792337439004,0.00850830808258183,0.00924393111210137,0.00998441837618326
"mu_kgut",0.0535748204146433,0.0723771290502761,0.0778238954099487,0.0777137359198085,0.0752185185138189,0.0717447136588786,0.0679516810354321,0.0641538587576482,0.0604987499879335,0.0570525158025139,0.0520526584951117,0.0431100428663547,0.0329164247984532,0.0231313107107693,0.0143380321074314,0.00669818110319045,0.000198827024762856,-0.00524498690188353,-0.00974469174325843,-0.0134154473645323,-0.0163668063005783,-0.0186996068001863,-0.0205041134694528,-0.0218597087982975,-0.0228358171276712,-0.0234926338069377,-0.0238820684267217,-0.0240489595764663,-0.0240316996370058,-0.02386322025578,-0.0235714319406051,-0.0231802730681202,-0.0227101064728288,-0.0221780762779272,-0.02159877618607,-0.0209844518305802,-0.0203454180973729,-0.019690341977393,-0.0190263685778747,-0.0183595326887602,-0.0176947007203506,-0.0170359521120067,-0.0163865220964292,-0.015749055079548,-0.0151256270679997,-0.0145178636187776,0.0508600669289994,0.203850450035954,0.396171127933506,0.501267382906339,0.50531781051145,0.470925777361608,0.422829443913128,0.371606031495143,0.321920344409547,0.275730956435767,0.233821229387257,0.19640683632426,0.163323554583702,0.134237343650293,0.108755055862807,0.0864774363040699,0.0670230579074346,0.0493109719373867,0.0309653595097334,0.0136472786307938,-0.00223303654060713,-0.0166359207529166,-0.0294875548227464,-0.0411037343035145,-0.0515657311584674,-0.0606447509970404,-0.068798237311691,-0.0759150809235243,-0.0791167657518008,-0.0796074051394576,-0.0787131790441336,-0.0770356330889416,-0.0748823786440343,-0.0724291998826843,-0.0697847554069853,-0.0670191572881386,-0.0642717393510761,-0.0616096175732265,-0.0589938028647578,-0.0564164948326433,-0.0538836362758102,-0.051401720606903,-0.0489776588588945,-0.046617319937782,-0.0443243342657967,-0.0421016275632256,-0.0399522598077231,-0.0378769444287555,-0.0358759325903129,-0.0339495525953199,-0.0320969450222187,-0.0303173993641918,-0.0286097021896349,-0.0269722494206481
"mu_Km",0.0701928965748292,0.0978146795400999,0.109174455781529,0.114227716058396,0.116612936864031,0.117788962553441,0.118394113950985,0.118718406728243,0.118895559029698,0.118994266574453,0.119047384179191,0.119012742756178,0.118905718156731,0.118760169364278,0.118598939277592,0.118438763900148,0.118287774645277,0.118150085255955,0.118027797559021,0.117921484109609,0.117830927595664,0.117755354058916,0.117693788458791,0.117645176910792,0.117608546617643,0.117582862219243,0.117567162367392,0.117560480724924,0.117561970429392,0.117570837220354,0.117586418307527,0.117608142094778,0.117635311021314,0.117667451382154,0.117704101725025,0.117744834566756,0.117789279529836,0.117837076763674,0.117887898047297,0.117941522235562,0.117997636783621,0.118056012731113,0.118116487777662,0.118178851109162,0.118242956065057,0.118308604127163,0.123623042804616,0.132933837223954,0.141708522147336,0.150052226929279,0.157920702829144,0.164836914991473,0.170865284871219,0.176174247615307,0.180969646646598,0.18382196094314,0.18441897792845,0.1840327880209,0.18316483921086,0.182053457220813,0.180786780715845,0.179395178625831,0.177904726054552,0.176322204311597,0.174631581284341,0.172844198425473,0.170945897350679,0.168937219764605,0.166811057910525,0.164559411453669,0.162170334434759,0.1596727836999,0.157106637413424,0.154382890561036,0.151450712569227,0.148370102799094,0.145066368277575,0.141497824717947,0.137608374397887,0.133334946317545,0.128672492780821,0.123529936853487,0.119827289543819,0.118413529995226,0.117826801229593,0.117566324636188,0.117447798478643,0.117396172225517,0.117378772000976,0.117381390124538,0.117396299947747,0.117419439237208,0.117449274824134,0.117484027251366,0.117522683693849,0.117565325967871,0.117611117178607,0.117659807753444,0.117711373128885,0.11776517055097
"mu_Vmax",-0.0152193385592304,-0.00733261538713003,-0.00377867479238588,-0.00199649804843637,-0.00104868306290911,-0.000525457170856436,-0.000227601694179043,-5.51800869585562e-05,4.64376746804935e-05,0.000107917935415664,0.000176032039283718,0.000292537555075419,0.000444794285707433,0.000604889284612697,0.00076210084846099,0.000911126249474514,0.00104914927674596,0.00117608803420408,0.00129169023881031,0.00139676482181489,0.0014919965058801,0.0015782223765018,0.00165629284407379,0.00172703035119061,0.00179093454421339,0.00184866782967086,0.00190078850867402,0.00194809950309061,0.00199094039723943,0.00202969323136933,0.00206482321562762,0.00209666253645048,0.0021255912093494,0.00215181053014191,0.00217565997030251,0.00219734627464652,0.00221705501467187,0.00223499336228471,0.00225134798098361,0.00226625555175901,0.00227981170940808,0.00229222457613209,0.00230352361508513,0.00231383775221948,0.00232323399477699,0.00233188599557221,-0.00207736127963572,-0.00460667201398418,-0.00630226615316,-0.00721452518503237,-0.0073762831530925,-0.00707531344905389,-0.00657977332396753,-0.00603036815884955,-0.00549309851943743,-0.00382028435113091,-0.00263833542840211,-0.00185673601784226,-0.00129509800784707,-0.000867372485491079,-0.00051357854444116,-0.000212202066370896,5.08717951448473e-05,0.000288712084408865,0.000511885938655185,0.000716608327057269,0.000926802617073715,0.00112919908446095,0.001333829346967,0.00154559452203763,0.00175762822686713,0.00193732538426504,0.00211769759945498,0.00234339921839108,0.00258232612028624,0.00279203007005009,0.00303991381765676,0.00323383877179092,0.0034830753462343,0.0037760386005594,0.00410256242279684,0.00457107776332478,0.00339630403823374,0.00264215048619761,0.00229520812494992,0.00213714647571951,0.00207088766017434,0.00204963493602537,0.00205093038244862,0.00206393724085393,0.00208207418453748,0.00210228099059912,0.00212326494928965,0.00214412727693835,0.00216401017290334,0.00218268815680416,0.0022005055331869,0.0022170733102449,0.00223247650726497,0.00224678783368991
"mu_m_K_ALDO",0.260523157692497,0.393261092511112,0.461958235132646,0.499593663941556,0.521057559847197,0.533676128168762,0.541274353903749,0.545940801028636,0.548853357644843,0.550697666099507,0.55191925523997,0.553071059775846,0.554285945012917,0.555529487248079,0.556758965091891,0.55794715370173,0.559079438367423,0.560150309643439,0.561158582720132,0.562105895030004,0.562995540811929,0.563831707550091,0.564618749595893,0.565360753592814,0.566061839463415,0.566725877221167,0.567356377274131,0.567956577270432,0.568529558861181,0.569077889584988,0.569604084842982,0.570110304442609,0.5705984038298,0.571070292007451,0.571527437101794,0.571971329733023,0.572403263184234,0.572824234018274,0.573235401244444,0.573637672551852,0.574031818577752,0.57441857371777,0.574798644760899,0.575172607426716,0.575541061214709,0.57590439487321,0.57999482020213,0.590772360660316,0.603232668180556,0.611327094716939,0.616328368428161,0.62065176422602,0.624587447092122,0.62823941215587,0.631807486692323,0.634816705784727,0.636288269301747,0.636619655905995,0.636233131143702,0.63547563472456,0.634525220835611,0.633416616483264,0.632216291369819,0.630967578904111,0.629682261022182,0.628421087041926,0.627169728946286,0.625903431267138,0.624610216337908,0.623277623453,0.621838040764206,0.620317274996446,0.618862786034678,0.617279317470137,0.615361111380906,0.613171762578431,0.610516446222175,0.607255199534515,0.603344417402182,0.598607240865286,0.593112519238588,0.586492886080409,0.580069642113428,0.576649962402167,0.574951557928184,0.574185028025601,0.573933053248029,0.573972540900128,0.574177730423459,0.574478354414538,0.57483292846311,0.575217925724912,0.575618355867365,0.576025348505094,0.576433650360989,0.5768398478067,0.577242418733985,0.577640233050592,0.578032544720066,0.578419497253215
"mu_P_ECF",-0.326304839301487,-0.303563210357827,-0.226346173953997,-0.157720974062043,-0.106584715485967,-0.0705224804737415,-0.0455949716266429,-0.0284935213230407,-0.0167925596383235,-0.00879560314778223,-0.00256386213164949,0.00487958752364768,0.013859892679064,0.0236328864716196,0.0335590774583241,0.0432270010765856,0.0524023829636162,0.0609684857020076,0.0688805116067672,0.0761369083787835,0.082760501372865,0.0887872141012627,0.094259166816438,0.0992207963010089,0.103716123781073,0.107787150828458,0.111473376238135,0.114811285135683,0.117834458773546,0.120573504080398,0.123056033669429,0.125307061097674,0.127349169537803,0.129202695936774,0.130885910300493,0.132415285918184,0.133805647904233,0.135070266695473,0.136221090639329,0.137268884931843,0.13822330657359,0.13909313417449,0.139886087622937,0.140609398048649,0.141269300262762,0.141871573122739,0.0987469486519294,0.00571508465118923,-0.0980405014133687,-0.19224904367188,-0.250918533177232,-0.278098675745767,-0.284152555113084,-0.277256303456212,-0.263139807240253,-0.236825252460266,-0.203621541946787,-0.172125221243122,-0.144049270088802,-0.119476504856152,-0.0979568158112885,-0.0789896291437536,-0.0622248593835068,-0.0473527764455013,-0.0339517813198817,-0.0216842859407015,-0.0100953188216664,0.00095323690722202,0.0115833918660133,0.0219248976442753,0.0321328717545598,0.0421047547529891,0.0517880720596139,0.06158702159192,0.0714690351433456,0.0809044205910495,0.090205454857183,0.099351859207582,0.108383501541489,0.117189026931845,0.125946081307282,0.135070419909259,0.13546534306329,0.129541431056064,0.124860478306585,0.12224755438353,0.121248811403111,0.121322156969513,0.122056486921082,0.12317437204261,0.124493758253531,0.125901336745379,0.12732600636772,0.12872410645328,0.130070231140486,0.131349688700447,0.132555185946523,0.133684469962198,0.134738208789537,0.13571832833265
"mu_FF",-0.0035213737709145,-0.00455574499771822,-0.00468577002892773,-0.0044683383647072,-0.0041219394124282,-0.00374152370104984,-0.00336733806036121,-0.00301742231207163,-0.00269794766066156,-0.00241058454144581,-0.00143669321191597,-0.000815502034257491,-0.000529103260857703,-0.000385332910367294,-0.000308784690172131,-0.000265795183182126,-0.000240874601181687,-0.00022603819496036,-0.000217045412800994,-0.000211202397946061,-0.000207496893857909,-0.000205288555464537,-0.000203852557688795,-0.000202774268728656,-0.000202043455043744,-0.000201683901129792,-0.000201463139949997,-0.000201299097753051,-0.000201114415500634,-0.000201067055414047,-0.000201047604105362,-0.000201010347913772,-0.00020099735216813,-0.000201017003692495,-0.000201006462517985,-0.000201031347907337,-0.000201013231296175,-0.0002010441036958,-0.000201033283205768,-0.000201062139165897,-0.000201052162750197,-0.000201077227576402,-0.000201075187777938,-0.000201081233375212,-0.000201103029717448,-0.000201105174284501,-0.0185991704788936,-0.103937464908093,-0.21680128274942,-0.284044846368691,-0.295283467367985,-0.284265140166727,-0.264343865358416,-0.241301422629811,-0.217783909481542,-0.195085191864214,-0.173743635898804,-0.15393373754338,-0.135676518327549,-0.118922304459458,-0.103587038692976,-0.0895693342274423,-0.076762531347077,-0.0651072600589968,-0.0548088941654351,-0.0460206945498896,-0.0386347094396135,-0.032525656731057,-0.0275553193078815,-0.0235980317767542,-0.0205394592470846,-0.018313606118846,-0.0167842402219394,-0.015821643785309,-0.015288035349654,-0.0150091591685358,-0.0148630769922873,-0.014791096836969,-0.0147619921029887,-0.0147598659170359,-0.0147747741832873,-0.0147997896608971,-0.014812305332691,-0.0148083812226603,-0.0148033335369624,-0.0148006921087371,-0.0147985629200987,-0.0147979389905614,-0.0147981202571773,-0.0147985393759393,-0.0147995405186871,-0.0148005012662868,-0.0148014895042053,-0.0148028300831061,-0.014804091004298,-0.0148050814789404,-0.0148061310507129,-0.0148071393757358,-0.0148080090673189,-0.0148089059199669
