"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",-1.83785049099328e-08,-2.5000875785608e-08,-8.30003635301502e-08,-3.53143683935465e-08,7.80254958803183e-08,-4.0030627614307e-07,-4.56009843341931e-07,-7.52696862474256e-07,-7.64500743574814e-07,-3.47638587315302e-06,-5.20290513695709e-06,-4.38881602027452e-06,-3.66522156204674e-06,-2.82643579710773e-06,-3.09391539362558e-06,-3.47087725183193e-06,-3.61466522482012e-06,-3.23766738289177e-06,-3.28616849533103e-06,-2.77451077282043e-06,-2.40782780736604e-06,-2.00311484533977e-06,-1.40488406162831e-06,-1.30897640136973e-06,-1.52011813545688e-06,-1.38460626215325e-06,-1.21219069806139e-06,-1.19513045419228e-06,-1.1412352477628e-06,-9.60980880092444e-07,-8.88619715459921e-07,-8.99231170038331e-07,-8.27588096594695e-07,-7.5512784904605e-07,-6.49374114464863e-07,-7.64618781344123e-07,-9.40107072232244e-07,-9.53705832205644e-07,-8.15651071228961e-07,-7.18958736674096e-07,-7.51189661797085e-07,-8.07400237518862e-07,-7.70196532866998e-07,-6.74007491149383e-07,-5.75671713372476e-07,-4.28029752230854e-07,-5.4419274774525e-07,-4.97915878207774e-07,-4.46399479982943e-07,-4.2782713839833e-07,-4.82428338269208e-07,-4.46157891256231e-07,-4.18034713123673e-07,-3.50227181323189e-07,-3.47798791298072e-07,-3.22628676333453e-07,-2.93911391054345e-07,-2.70872133337998e-07,-2.37871930575017e-07,-2.08922746608603e-07,-1.55982648281923e-07,-1.24703374253089e-07,-1.73528132275181e-07,-2.33802759210242e-07,-3.38915918678331e-07,-3.63405884776856e-07,-3.35060026723429e-07,-2.99363206061249e-07,-2.46223378688915e-07,-2.02037863967801e-07,-1.76749241799356e-07,-1.61955780641694e-07,-1.39124550786843e-07,-1.2729009680599e-07,-1.10749660878311e-07,-1.109284798003e-07,-9.25250418554846e-08,-7.76471034717899e-08,-6.16534651253423e-08,-5.29436973957429e-08,-5.077385891446e-08,-5.56948278445276e-08,-5.83127804627145e-08,-5.63286659912805e-08,-5.39420897153365e-08,-4.64214889220447e-08,-1.47501405110303e-08,3.42246681010719e-08,8.10349289381533e-08,1.05644126833806e-07,9.10415163417788e-08,6.68654523726611e-08,3.75633242523776e-08,7.82027026057462e-10,-1.82108681720722e-08,-3.92251186349063e-08,-6.35200255371268e-08,-8.16673949220571e-08,-8.48799122124399e-08,-8.75122329835753e-08
"mu_V_inter",3.20550202541626e-08,1.42926393360554e-08,5.30167622563305e-08,1.30697427568549e-07,-3.07140179941268e-07,-2.96221573778066e-07,-6.0968060048516e-08,-2.802350543738e-07,-5.98930523524554e-07,6.86035935963506e-07,3.83856017216822e-06,3.23787785391839e-06,2.2346831477722e-06,2.10580183285392e-06,2.30417344876366e-06,2.56330502757441e-06,2.72510880129185e-06,3.08521369228809e-06,3.91491403415523e-06,3.80712881214352e-06,3.38663431372855e-06,3.24009863022823e-06,3.31520872560703e-06,3.15374363529292e-06,2.74045422498359e-06,2.25839352307633e-06,1.79212205287016e-06,1.45544571848491e-06,1.08846742758367e-06,7.8880068957346e-07,5.48254823149075e-07,3.95436024886911e-07,3.05062688737825e-07,2.70714490545123e-07,2.85940657015523e-07,1.44220818077217e-07,9.52464236619111e-08,2.4938138941738e-07,4.00913199912249e-07,3.49518359130982e-07,3.11267182149244e-07,3.85685812738873e-07,3.54871423500567e-07,3.06999337519011e-07,2.75829776313057e-07,4.84235038587544e-07,4.27036034255307e-07,5.19576628730726e-07,3.66061184722675e-07,3.79829401762673e-07,3.23411243338104e-07,2.90849296950887e-07,3.00234370691267e-07,3.55793340298017e-07,3.37167170660436e-07,3.15661851370778e-07,3.24400647093868e-07,2.98084716607969e-07,2.7023823221165e-07,2.54192191441597e-07,2.52023356095109e-07,2.07995295377783e-07,2.3946226957841e-07,2.06247048181711e-07,2.1715693974929e-07,2.06173192245153e-07,1.56433644203252e-07,1.35502400324575e-07,1.55032019543382e-07,1.68024014976357e-07,1.69940438871576e-07,1.43707701202251e-07,1.36030817167084e-07,1.35329653064111e-07,1.3147203195388e-07,1.25336249086647e-07,1.33152018720506e-07,1.29074278569194e-07,1.22917313587972e-07,1.23861896803742e-07,1.10939687220301e-07,8.98567355677336e-08,6.85852229640277e-08,5.60043315624283e-08,4.40363379631952e-08,4.37721305684162e-08,4.05063092475112e-08,2.32923403944099e-08,1.32870339473166e-08,7.27842195876802e-09,-1.42116707600192e-08,-2.3404095111905e-08,-3.17378335534701e-08,-4.92009182329392e-08,-5.62782991105226e-08,-4.63497876529781e-08,-3.31718771768604e-08,-7.74011660560312e-09,1.50584463495051e-08,2.72874183797778e-08
"mu_V_muscle",-7.40687279510154e-10,2.68295722238854e-08,-1.73311227689155e-08,-8.02539918800529e-08,9.13323801468024e-08,-1.2701719885877e-07,9.27397176533337e-08,2.0905541804872e-07,3.46583335463002e-07,-2.71785100794153e-06,-3.50796544518639e-06,-4.1853990651064e-06,-3.86862319288906e-06,-3.46220255586838e-06,-1.85421453209145e-06,-1.71252123957033e-06,-1.78318322391813e-06,-1.43745736459322e-06,-1.44128622326434e-06,-1.28472401616065e-06,-1.46396095400936e-06,-1.46335899583305e-06,-1.49325927337096e-06,-1.34627865159443e-06,-1.30164771891883e-06,-1.21866199539239e-06,-1.09272804276733e-06,-1.08907004057468e-06,-1.1202630175346e-06,-1.03409255153242e-06,-1.0400905798342e-06,-1.0850367781755e-06,-9.93217460636784e-07,-9.84973661313103e-07,-9.66811960347467e-07,-1.01613076327942e-06,-1.11793546378024e-06,-1.134224277291e-06,-1.10974145701863e-06,-9.70513177735728e-07,-7.8142435005486e-07,-7.093608507718e-07,-6.52354524713024e-07,-5.33185223148714e-07,-4.38685239452983e-07,-1.86286366470119e-07,-2.90314456928835e-07,-3.66287974820736e-07,-4.4572161150923e-07,-5.17511346755912e-07,-5.3037622837208e-07,-4.88428530529349e-07,-4.9497752811985e-07,-3.74951210044414e-07,-3.48119251394706e-07,-3.32989631845409e-07,-3.22762527281423e-07,-3.11163097868366e-07,-2.98293459103824e-07,-2.76835790218852e-07,-2.85989563697937e-07,-2.2455099587747e-07,-1.88581330648471e-07,-1.95958640038192e-07,-1.92417847196733e-07,-1.81940940872332e-07,-1.50510886042495e-07,-9.88813287376455e-08,-5.681828370103e-08,-5.1743671857369e-08,-6.33332364565154e-08,-4.48291259632094e-08,-5.20538951766672e-08,-6.54927490407315e-08,-8.13492877249814e-08,-8.82687786120954e-08,-7.80342180051459e-08,-6.76979431059357e-08,-6.55742198391103e-08,-6.11145317815145e-08,-6.41023612001521e-08,-7.62270103544063e-08,-7.52601810418269e-08,-8.01072782088522e-08,-8.14238281519213e-08,-7.80744680890652e-08,-6.97499045949437e-08,-6.55863360516351e-08,-6.37362044780985e-08,-3.86507182676575e-08,-1.82005723985175e-08,2.33928806715024e-09,-4.48112435297896e-09,-1.54663404121462e-08,-2.96039862034293e-08,-2.82753661315206e-08,-2.6949143579319e-08,-3.11199206808848e-08,-4.32566441094662e-08,-4.32958993575708e-08
"mu_kgut",-0.416698344995441,-0.795038404122724,-1.13941197147355,-1.45364549069821,-1.74107562278608,-2.00461521288533,-2.24681308236573,-2.46989828585798,-2.67582641246073,-2.86631029190757,-3.02239144161562,-3.13005886306689,-3.19733236254699,-3.23105217576413,-3.23704665541865,-3.22027777206727,-3.18496623742482,-3.13469387265209,-3.07249595884673,-3.00093888217691,-2.92219027638594,-2.83807448547024,-2.75012322527384,-2.65961690864719,-2.56762115497197,-2.47502025601624,-2.38254293209994,-2.29078547168872,-2.20023184260704,-2.11127091563223,-2.024210637473,-1.93929052286362,-1.85669302312092,-1.77655153109271,-1.69895940207659,-1.62397624684288,-1.55163315104748,-1.48193839940155,-1.41488042718934,-1.35043275133015,-1.28855579539945,-1.22920051224755,-1.17230916009216,-1.11781832505423,-1.06566000744558,-1.01576290484953,-0.968053228215649,-0.922456029966399,-0.878895650653358,-0.837296499042489,-0.797583343091333,-0.759682361725616,-0.723520531991609,-0.689026499571563,-0.656130888618815,-0.624765338291994,-0.594864342642814,-0.566364168459249,-0.539203194577255,-0.513321964085848,-0.488663176884769,-0.465171662165874,-0.442794374056882,-0.421480457187914,-0.401181030769798,-0.381849230805377,-0.363440234317236,-0.345911046427548,-0.329220567222159,-0.313329474330678,-0.298200237231814,-0.283796896358586,-0.270085191121539,-0.257032386328143,-0.244607214046462,-0.232779892994708,-0.221521948110318,-0.210806224002688,-0.200606861005188,-0.190899185201498,-0.181659699431494,-0.172865993996132,-0.164496683106144,-0.156531405670251,-0.148950781994073,-0.141736334707435,-0.134870462755154,-0.128336400790887,-0.122118180860568,-0.116200601875175,-0.11056918155504,-0.105210153300851,-0.100110411282351,-0.0952574304581639,-0.0906392989350961,-0.0862446706686715,-0.0820627620612734,-0.0780832934250876,-0.074296497561123,-0.0706930637623993
"mu_Km",3.07177803193761e-11,-2.15658133231324e-08,-6.67547918502544e-08,-1.53611632042417e-07,-8.85396356751227e-08,1.84749441569209e-07,6.48474068363204e-08,-1.27007650744471e-07,-1.55728072984917e-07,-2.26661389949088e-07,-1.49325256674571e-06,-1.21234449935459e-06,6.62916595617428e-09,-1.26070261093369e-06,-6.70240635593843e-07,-6.13294998839775e-07,-8.22748091038106e-07,-6.6153608956887e-07,-3.10210058983239e-07,-2.77028300042725e-07,-7.3186257656177e-07,-1.04260548057811e-06,-9.55235807112097e-07,-5.8013588050365e-07,-3.44609395547978e-07,-2.95165078405379e-07,-4.32849504374777e-07,-4.77497057970511e-07,-4.28932512131719e-07,-3.00553023946604e-07,-3.04881580455829e-07,-3.70433311167623e-07,-4.64949570906773e-07,-4.72250466249061e-07,-3.84955920095423e-07,-4.43259677853525e-07,-5.15784084013468e-07,-6.02426542564441e-07,-3.96614832337626e-07,-3.33231250244912e-07,-2.37086878021212e-07,-2.59510875109958e-07,-3.13606943585031e-07,-3.61874973698162e-07,-4.0648648264869e-07,-3.97145850138342e-07,-2.43373156263976e-07,-2.47302183543423e-07,-2.8355745554139e-07,-3.56164113483453e-07,-3.93265300013029e-07,-3.70458087205805e-07,-3.28584776771182e-07,-2.88241212810108e-07,-2.09648068430908e-07,-2.00777084317233e-07,-1.93909868819832e-07,-1.80402320176553e-07,-1.68845684866094e-07,-1.77400723619054e-07,-1.56162404343455e-07,-1.89673094438442e-07,-1.58383922817228e-07,-1.24196472223363e-07,-1.78978170070593e-07,-1.95247893357357e-07,-1.83515318969876e-07,-1.45921000391277e-07,-1.27886219069895e-07,-1.42738354990737e-07,-1.4463479221823e-07,-1.05961058240154e-07,-1.01511446242604e-07,-9.45302352280098e-08,-8.26011379447026e-08,-8.62748466572958e-08,-8.35838422254453e-08,-8.31767107148008e-08,-9.43358064707805e-08,-9.56736881953886e-08,-8.80321939403469e-08,-7.59456428274517e-08,-6.35292660042745e-08,-4.88502674547278e-08,-3.84651201923762e-08,-3.55492246488345e-08,-2.41463924693889e-08,5.80926733832112e-09,1.76481609351782e-08,1.12068747339385e-08,1.92079043457028e-08,3.71260167456701e-08,5.7116239913272e-08,7.25653391496083e-08,6.90045808339202e-08,7.17398658696829e-08,7.47485396493386e-08,8.00544543487989e-08,8.12807736263626e-08,8.21203362129671e-08
"mu_Vmax",-3.26790610412076e-08,3.54520037926243e-08,9.59776890563368e-08,-9.4982040684588e-08,-3.59336148868294e-07,-1.28679074739679e-07,-4.87282907616126e-07,-3.75026595002659e-07,2.50599556186335e-08,-4.51926087812194e-07,-1.99341829017996e-06,-1.88072404390118e-07,-5.13938402811222e-07,-1.97004613822217e-07,-1.35081224390898e-06,-2.29437491954565e-06,-2.76707412455624e-06,-3.77767088232506e-06,-3.65869920518713e-06,-3.53146358962364e-06,-3.2015992103831e-06,-2.86113258372855e-06,-2.47164730156885e-06,-2.06544912021955e-06,-1.68310131025512e-06,-1.32011782455327e-06,-1.10462337672118e-06,-8.62363675916134e-07,-8.78063734761375e-07,-7.60107879975686e-07,-5.73317541734564e-07,-5.56603910738987e-07,-5.93569236665093e-07,-5.84994230932237e-07,-5.88200172611367e-07,-5.71776532002244e-07,-5.04644109221214e-07,-5.2256854688422e-07,-5.57128494119722e-07,-5.59742997207187e-07,-4.65442498603027e-07,-3.9364159252062e-07,-3.83447294620379e-07,-3.69182300465998e-07,-4.4798178607831e-07,-5.18368415064392e-07,-4.2727351767188e-07,-3.95738080163233e-07,-3.95256357642469e-07,-2.74468783743086e-07,-2.7470988464109e-07,-1.9116949175491e-07,-1.95270593323581e-07,-1.57271503949639e-07,-1.32137193534455e-07,-1.37184943973946e-07,-1.20911222602621e-07,-1.16141874806292e-07,-9.7478828079555e-08,-9.79133235698919e-08,-4.72753890308994e-08,-8.47850093845828e-08,-7.75391564348252e-08,-1.02499489415492e-07,-8.56628819736758e-08,-8.96256018041381e-08,-8.75238883711594e-08,-7.35072491013461e-08,-6.67061402341195e-08,-5.79607328735628e-08,-6.53321476557679e-08,-7.30091443625881e-08,-6.09243735036512e-08,-4.32158840618737e-08,-4.8745956723713e-08,-4.29682485690946e-08,-2.91419769677915e-08,-2.44443178418312e-08,-1.42242661675655e-08,-2.40721523772091e-08,-3.91621724515468e-08,-4.27374342106393e-08,-5.40154221641271e-08,-5.51511866689166e-08,-5.98167044182206e-08,-6.1870449727407e-08,-4.52176397725468e-08,-2.48698915959044e-08,-1.11049044301254e-08,4.64766724123261e-10,-6.54468172869531e-09,-1.15607689556692e-08,-2.18365924938331e-08,-3.72924679268742e-08,-5.18732292415267e-08,-6.41926122771035e-08,-6.74886244537806e-08,-6.29767804164249e-08,-6.20237798276132e-08,-5.75366673184687e-08
"mu_m_K_ALDO",-3.48603629163336e-08,2.39353828956901e-08,4.02392678537921e-08,1.58080887340261e-08,2.14173898048564e-07,1.91062911108375e-07,2.76610488234572e-08,-3.31984431561239e-07,-3.12100213297306e-07,1.28612404852069e-06,3.78787365753475e-07,-1.68498272274942e-07,-2.42185583771537e-07,-4.82411291825358e-07,-7.40974766102687e-07,-1.41554735053417e-06,-1.0696612634562e-06,-1.0180959365228e-06,-1.20711165388265e-06,-1.28586479276183e-06,-1.13546315963109e-06,-8.37276134621256e-07,-9.09340597107677e-07,-9.74393735765577e-07,-1.26251604403288e-06,-1.56658510583985e-06,-1.57262303330585e-06,-1.47650755412296e-06,-1.3576502056768e-06,-1.18050280845211e-06,-1.17960072401546e-06,-1.05126345739122e-06,-8.71047564852817e-07,-7.71753582575321e-07,-6.76324120171559e-07,-5.39052224262274e-07,-4.87689241122469e-07,-4.61456574187343e-07,-5.21940557952239e-07,-4.3048393460015e-07,-3.39530545800403e-07,-3.32969625419889e-07,-4.29183293454396e-07,-4.09708707468155e-07,-3.05375466421235e-07,1.36098330896164e-07,-4.07157212440801e-08,-1.7097741279277e-07,-2.27864849538651e-07,-2.06276528363421e-07,-1.92140385327386e-07,-1.9133687121521e-07,-1.33252764913373e-07,-1.22548813643751e-07,-6.38948175378835e-08,-8.23508521524569e-08,-8.36689087439055e-08,-7.95232554921103e-08,-7.75018042600347e-08,-6.34963014924935e-08,-5.53324685720824e-08,-4.32314985069308e-08,4.02262071911189e-09,3.62557816705122e-09,2.67574382046022e-08,2.4365600811373e-08,2.64927468156682e-08,1.42885440091096e-08,1.67892941532998e-09,-5.25468156916611e-09,-5.63026190359728e-08,-4.85590861807526e-08,-4.14208003635288e-08,-3.38959689253535e-08,-6.3680371228833e-09,1.15760023775996e-08,1.70078260362361e-08,5.35455486978312e-10,-1.46320834614079e-08,-2.09268706485811e-08,-1.66354516345016e-08,-1.56115549214827e-08,-2.90277721204324e-08,-3.95035244049461e-08,-3.38521408368215e-08,-2.8201604585044e-08,-3.50933654280163e-08,-5.2060303973343e-08,-5.24054201113476e-08,-3.33589932011868e-08,-2.91205860058965e-08,-2.62019632887856e-08,-1.49058871838184e-08,-8.78020113835851e-09,-7.20172167171721e-09,-1.05099262813626e-08,-1.55145941078312e-08,-2.88759652999324e-08,-4.38090697072769e-08,-4.9834050472065e-08
"mu_P_ECF",4.32671004304552e-08,2.03422756079874e-08,-9.24695953408162e-08,-1.11303514017447e-07,1.20326420471439e-07,7.58535080147561e-08,-1.43356378619952e-07,1.21417204146823e-07,3.14549319878843e-07,-2.60088670768432e-07,1.84300561612005e-07,8.44271169855308e-08,-2.50695095782571e-07,-3.70049652346661e-07,1.50143752592813e-07,3.95277484473988e-07,2.58674117975532e-07,4.6156718164847e-07,9.98673322752497e-07,1.22915773386723e-06,8.8568915423648e-07,3.82784931931557e-07,1.262104184378e-07,1.62470745263433e-07,6.4099185701772e-08,3.75991138748538e-08,-4.28376938816361e-08,3.99154031734689e-08,1.79725369943235e-07,2.35576895376511e-07,1.63934154964602e-07,-7.39214548094582e-08,5.31983982714344e-08,1.01272577200898e-07,1.55937753674354e-07,1.70154277033763e-07,8.22598943475558e-08,1.59656535900888e-07,1.59526397170221e-07,1.68121026896007e-07,1.08986630587307e-07,1.26727948462104e-07,5.41733322408333e-08,-1.16587551063361e-08,-6.759225378165e-08,-1.69429001449266e-07,-1.36900104042195e-07,-8.77815230595783e-08,-8.8204136511437e-08,-8.74391505836927e-08,-1.4456291399962e-07,-1.41873746054116e-07,-9.64428476116511e-08,-5.3445581701062e-09,-3.22426518696061e-08,-1.83469990592931e-08,-5.83410961169799e-09,-4.94331032207275e-09,1.49086182422464e-08,2.93215894903478e-08,9.3102266289236e-08,1.16586182646973e-07,1.14001080722834e-07,1.20929835957084e-07,8.96360205159157e-08,9.30936361017261e-08,8.23064284805851e-08,7.91863189064365e-08,7.21453662640222e-08,4.73600952229681e-08,4.88841750904425e-08,6.55058889514178e-08,6.93587728021454e-08,7.58970585147878e-08,6.554868925441e-08,6.86644312634251e-08,6.84441457463898e-08,7.47704751516755e-08,7.20713279008986e-08,8.12369676707271e-08,1.01816885109261e-07,1.06214830321173e-07,1.08112861697969e-07,1.12613490257524e-07,1.17889939230346e-07,1.23353565006669e-07,1.35133075297771e-07,1.46567971829718e-07,1.58257263112608e-07,1.47313623520184e-07,1.35900725694973e-07,1.34422416833459e-07,1.23372814414298e-07,1.18675829529226e-07,1.06293467003139e-07,8.07279007628568e-08,5.46473513565688e-08,3.71892889439429e-08,2.65700528485113e-08,1.8126312452603e-08
"mu_FF",1.8210239316474e-09,-1.86802384880558e-08,2.20107545829683e-08,1.74254178550548e-07,2.36169551970811e-07,-1.12109045682818e-07,-1.41987885952766e-07,-2.31288796091356e-07,-4.03633009116167e-07,-5.3455831739102e-07,-1.31915319630549e-06,-8.53986535663154e-07,-1.34984517798964e-06,-1.14361949492725e-06,-4.79003042374693e-07,-6.03361286802829e-07,-8.11945894141131e-07,-6.89528532975104e-07,-6.0219951818652e-07,-2.60165257714218e-07,-3.49959847530946e-07,-1.97173067244428e-07,9.23547918096338e-08,1.93214579600253e-07,1.41199634208388e-07,5.43468213377026e-08,6.06740952774906e-08,1.43687969427762e-08,1.20323271850076e-07,-1.77031040701771e-08,-6.67904802832133e-08,1.96120430223377e-08,5.47778732096493e-08,2.73317418498926e-08,2.28986915913888e-08,6.4807960990232e-08,1.82714889997056e-07,1.94729505447522e-07,6.9364203154225e-08,-7.017304935749e-08,-1.02866909144957e-07,-7.82059214561107e-08,-3.29416096905914e-08,-6.48934212323025e-08,-1.38226210819287e-07,-7.16142591608954e-08,-7.28964235415312e-08,3.37477946578748e-08,2.21622980233118e-08,1.87029033995815e-08,2.20115201625135e-08,3.39262924855108e-08,1.10176787780402e-08,1.65654138515967e-08,-6.08800184221912e-09,-1.59265865125728e-08,-2.28680712839312e-08,-2.19110052566071e-08,-2.38636860545932e-08,-3.09322918736867e-08,-4.19016013557287e-08,-1.18441909061689e-08,4.47284846005258e-09,1.58523380191079e-08,2.05424875312357e-08,2.06136930863353e-08,1.54529883819705e-08,5.52020880525177e-09,1.83624463993243e-11,-6.15076847810611e-10,1.64556788764022e-09,3.75090547280628e-09,8.91582715063388e-09,8.55533174019824e-09,7.06778247446008e-09,9.1541201791008e-09,1.12128867283449e-08,1.1272060388503e-08,1.40590488400627e-08,1.66453925371929e-08,2.0003261139957e-08,1.84167909999618e-08,1.60688460324216e-08,1.6173095900187e-08,2.16734981463676e-08,1.34270896704475e-08,5.27305257464165e-09,1.50466457204538e-09,-5.59614916002862e-09,-1.62848659083281e-10,-5.08494974862423e-09,7.69945674874842e-09,2.14390553188076e-08,2.41057272334387e-08,2.18798859406644e-08,2.03443024399374e-08,1.3967756773629e-08,7.2602823996645e-09,2.31290798647074e-09,-6.91997495031942e-10
