"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",0.0958184796680113,0.129177888498634,0.15112388081078,0.164682553042488,0.173000170948847,0.178140279163888,0.181352036321481,0.183381739284527,0.184676788839661,0.185508326413096,0.186148198078608,0.186894349834918,0.187751393191114,0.188653139612882,0.189549725318523,0.190412793504989,0.191227461059323,0.191987745954281,0.192692496667627,0.19334348720222,0.193943787241135,0.194496962515051,0.195006686847363,0.195476996352479,0.195911619893466,0.196313577119602,0.196686615703334,0.197032991563369,0.197355654858828,0.197657013128517,0.197938920010992,0.198203620579949,0.198452555294473,0.1986873610031,0.198909543462426,0.1991203939288,0.199320447024134,0.199511672159735,0.199694148411796,0.199868926738288,0.200036947669523,0.200198622927985,0.200354590284731,0.200505342343715,0.200651606117005,0.200793779031296,0.208633639334056,0.218195082513501,0.228353187794441,0.238392399409176,0.248059429815243,0.256997067192816,0.26515865442754,0.272616988205106,0.279594538083169,0.283543897328908,0.285432842516399,0.285930939946085,0.285540736448581,0.284601888374482,0.283278424826959,0.281680847168404,0.279884247030471,0.277923582761359,0.275806100434924,0.273579122776692,0.271211289143497,0.268721000906139,0.266106639590296,0.263350588554307,0.260443821231595,0.257458348154031,0.254379129090709,0.251080809359655,0.247560432387101,0.243926936829397,0.239995459417156,0.235795454966964,0.231166203169394,0.226020269726553,0.220350349210057,0.213928022310668,0.210301435408511,0.208185646928648,0.206927669692396,0.206205305840071,0.205803199127064,0.205592034464367,0.205495555641779,0.205469138038992,0.20548639181645,0.205530946516231,0.205592978579772,0.205666461664497,0.205747415434498,0.205833328796421,0.205922602564161,0.206014127603854,0.206107117010433,0.20620122050284
"mu_V_inter",0.421309765025952,0.416907860405045,0.416128080543824,0.416230562483085,0.416521170200441,0.416799921587656,0.417020319567214,0.417181891680943,0.417296026240959,0.417374207297869,0.417436940447453,0.417493411094662,0.417575775264034,0.417690519213125,0.417834869620449,0.418003756573085,0.418192815823909,0.41839840110988,0.418617954704592,0.418849604193321,0.419091604065878,0.419342571967405,0.41960143285564,0.419867068605251,0.420139112771028,0.420416597462214,0.420698968781028,0.42098606478071,0.421276977055883,0.421571687792685,0.421869492975655,0.422170523095322,0.422473870884482,0.422780081274251,0.423088499512824,0.423399016727021,0.423711169678463,0.424025133029726,0.424340735565272,0.424657488216995,0.4249757856015,0.425295137812167,0.425615433189007,0.4259370761482,0.426259260264751,0.426582592115861,0.465606531350149,0.499197556840403,0.526245676603148,0.548988663551515,0.569110810891205,0.586742490569964,0.602530364586724,0.6166687189969,0.629971153239942,0.627763654178262,0.623781712453878,0.619664194345888,0.615497706090568,0.611278225567733,0.606867825385288,0.602271028769938,0.597498669846098,0.59248316552682,0.587223384088859,0.581885393004445,0.576221518695921,0.570330452767621,0.564163180986476,0.557648546168622,0.550709507885143,0.543672750323088,0.536370061007858,0.528368277836782,0.519827166545312,0.51113895921786,0.501556804952817,0.49118958675431,0.479815586062487,0.467472675888027,0.453974802451968,0.438857592807898,0.437458652563017,0.437797096366167,0.438077693311297,0.438358308385698,0.4386501274324,0.43895324754419,0.439264548734839,0.439581539639904,0.439902724794253,0.440226405304438,0.440551649585009,0.44087813991689,0.441205393695792,0.441533124113494,0.441861158176506,0.442189343896501,0.442517632412839,0.442845959289945
"mu_V_muscle",-0.632999955935779,-0.661362116496743,-0.673846213694841,-0.679213566233738,-0.681184327320037,-0.681451169393923,-0.680832417985519,-0.679745181759969,-0.678410319048944,-0.676949103780417,-0.674948340670442,-0.671459779462644,-0.666309903467003,-0.659552492104064,-0.65130011175395,-0.641680118156697,-0.630819423500163,-0.618837409442666,-0.605843976352246,-0.591938962665448,-0.577213089327721,-0.561746976841222,-0.545614019890479,-0.528879926521214,-0.511603334790918,-0.49383726889595,-0.47562925021017,-0.457021810633533,-0.438053472702687,-0.418758793088505,-0.399168821049329,-0.379311489968217,-0.359211709738166,-0.338892903600936,-0.318375110173233,-0.29767731801606,-0.276815651692946,-0.255805729864478,-0.234661341330102,-0.213394701073902,-0.192017047346836,-0.170539017295988,-0.148969509854145,-0.127317004441577,-0.105589498143147,-0.0837936427083578,-0.123169486490363,-0.155517055490509,-0.179459765034232,-0.197433260843227,-0.211907419815725,-0.222070490709578,-0.229027525491865,-0.233824633782168,-0.237283796022606,-0.215665404547828,-0.190034067821427,-0.162975237240198,-0.135216837254816,-0.107076655550215,-0.0785058532808201,-0.0495294348787023,-0.0202105303487128,0.00949504425056665,0.0396966313045763,0.07021636561981,0.10135030933652,0.133078204549396,0.165354382299832,0.19822499019268,0.231771461347686,0.265566516243523,0.29972601355407,0.335084885945221,0.371444521853821,0.408258212345717,0.446669234711877,0.486523621620203,0.528105702189638,0.571456871506054,0.617220882688305,0.666344256318797,0.693303806954383,0.717109740931305,0.740176997175535,0.762892248492115,0.785428506690084,0.80786835277087,0.830252407657804,0.852602063468436,0.874928816355051,0.897238946616379,0.919536255224727,0.941822720046361,0.964099549533651,0.986367589287176,1.00862712521288,1.03087837651386,1.05312165444223,1.07535678448841
"mu_kgut",0.0092442395404204,0.0209778206476644,0.0329505376985098,0.0445225787528199,0.0554722263611067,0.0657382704564378,0.075326663973677,0.0842696882536191,0.0926102026948881,0.10039316702212,0.107443673472667,0.113051145925377,0.117008150512094,0.11945270681372,0.120579731395317,0.120589850913768,0.119669200790537,0.117983382200879,0.115677550170361,0.112876095874401,0.10968653256759,0.106199253933506,0.102490523454325,0.0986256199444201,0.0946584273038199,0.0906340361906448,0.0865899638509334,0.0825567127586113,0.0785598824347465,0.0746191037073398,0.0707518755607251,0.0669700089994717,0.0632841964334853,0.0597014691743208,0.0562277015918018,0.0528665645246543,0.0496202820747808,0.0464899412139983,0.0434759362302712,0.0405772785492452,0.0377929007116119,0.0351206788488291,0.0325587021708897,0.0301041330148636,0.0277540857770403,0.0255056907894601,0.0234188106724787,0.0214176539008948,0.0194969287835703,0.0176546629151674,0.0158896517127948,0.0142003462262193,0.0125851692374098,0.0110412638023294,0.00956570729015276,0.00814268043465075,0.00678231438002111,0.00548501943795273,0.00424833014488099,0.00307011189454669,0.00194790727538549,0.000878656008286446,-0.000139190367360622,-0.00110835992912231,-0.00203127779811592,-0.00290970539287823,-0.00374576065976361,-0.00454181083190337,-0.0052993695671422,-0.00602048475867746,-0.0067065301266044,-0.00735922332512416,-0.0079806302563182,-0.00857203340501834,-0.00913516228808096,-0.00967010883300962,-0.0101794145828478,-0.010663361301599,-0.0111243283419368,-0.0115628175286269,-0.0119800354795222,-0.0123767541954274,-0.0127518602176675,-0.013107196400507,-0.0134450479888742,-0.0137663257012888,-0.01407166506983,-0.0143621957577674,-0.0146385403122261,-0.0149011196006857,-0.0151509506962415,-0.0153885286410481,-0.0156142579020319,-0.0158290067068394,-0.0160330492250384,-0.0162270802352974,-0.0164115262046347,-0.0165868493031566,-0.0167534739128144,-0.0169118984585199
"mu_Km",-0.0774097139604991,-0.0794252867504556,-0.0804647524349867,-0.081156632080312,-0.0817231152188266,-0.0822432346234506,-0.0827476423188315,-0.0832475531890439,-0.0837462597418684,-0.0842449466287579,-0.0847087147915661,-0.0851103763666868,-0.0854875149877926,-0.085860692329421,-0.086239472691582,-0.0866284008754205,-0.0870291988542033,-0.0874420197342953,-0.0878668680744729,-0.0883028671710952,-0.088749319177786,-0.0892055074576124,-0.0896707032691519,-0.0901438834311388,-0.0906241993686989,-0.0911114711491941,-0.0916048669658899,-0.092103565748922,-0.0926074784141472,-0.0931157399413336,-0.0936286971630796,-0.0941450124529002,-0.094664977548416,-0.0951882752079233,-0.0957143080221292,-0.0962432032309644,-0.0967744800501619,-0.0973080641307221,-0.0978438364202748,-0.0983813633403595,-0.098920860098961,-0.0994621207407733,-0.100004848344003,-0.1005490851013,-0.101094579973227,-0.101641281951989,-0.110886397820844,-0.119009595603894,-0.125730007306593,-0.131489918416757,-0.136721880325852,-0.141404118845229,-0.145682500062704,-0.149628601024256,-0.153378672787375,-0.153870192236458,-0.153867721531203,-0.153744885019799,-0.153567733412095,-0.15335946938946,-0.153101578694278,-0.152792182933412,-0.152435779579954,-0.152027722399728,-0.151555369422555,-0.15104813662404,-0.15045912908452,-0.149816578045522,-0.149094279111437,-0.148283151524356,-0.147376689570446,-0.146437991626021,-0.14543856376329,-0.144268132300294,-0.142951024099138,-0.141531592387434,-0.139877141695431,-0.138026659823555,-0.135903676531153,-0.133524201770426,-0.130877082275973,-0.127785974295818,-0.127947770704018,-0.128501662636504,-0.129074056819362,-0.129650710010162,-0.130227609831894,-0.130804039255739,-0.131379640499661,-0.131954988513707,-0.132530259233356,-0.133105376344566,-0.13368070642145,-0.134256130253759,-0.13483191356906,-0.1354079554035,-0.135984426027458,-0.13656122397069,-0.137138449250432,-0.137716071752189
"mu_Vmax",0.00263141790541778,0.00185979648147557,0.00102082087461497,0.000574811145506175,0.000338154126660115,0.000208968221747213,0.00013638976530585,9.53483825899753e-05,7.10917766823514e-05,5.67991391168477e-05,-1.30078824803377e-05,-0.000125082449392437,-0.000242777792642087,-0.000357197787998544,-0.000465258494430557,-0.000565565801928741,-0.000658438946260006,-0.000743268241340971,-0.000821197345390132,-0.000892935031032593,-0.000958785008818694,-0.00101942513666032,-0.00107532438472691,-0.00112680732200354,-0.0011744443781658,-0.00121861070650618,-0.00125988565234699,-0.00129788698392315,-0.00133367386443416,-0.00136715365248301,-0.00139856880489232,-0.00142799760199432,-0.00145574996225302,-0.00148236409507635,-0.00150719870699874,-0.00153108440887823,-0.00155369561458065,-0.00157538747617899,-0.00159628839215192,-0.00161603230124658,-0.00163531225274492,-0.0016538086945755,-0.00167169556785518,-0.00168903975664155,-0.00170603634688111,-0.00172207555961386,0.00249909950452707,0.00236948858864874,0.0019551477036088,0.00166025619059981,0.00131257677364378,0.00103539451596724,0.000764311114343073,0.000575874636917973,0.000437528805076241,-0.00151663672738725,-0.00180788776714526,-0.0019834999141831,-0.00207109980461247,-0.00214917678343377,-0.00222502711790304,-0.00228063246913931,-0.00233933806823727,-0.00240500222127642,-0.00245714101640991,-0.00251914195288057,-0.00258441169214807,-0.00264794227133586,-0.00272265597939422,-0.00280471344958858,-0.00288265471295462,-0.00287771619415598,-0.00297059206512753,-0.00309782914499324,-0.00319897091257799,-0.00331948170545212,-0.00345978380352356,-0.0035302068036514,-0.00374538368862503,-0.00383240206466806,-0.00407332583421254,-0.0045186688081924,-0.00252741191886479,-0.00235879000309411,-0.00228574637120899,-0.00225348630921137,-0.002241354242103,-0.00223964535864036,-0.00224345460750294,-0.00225020462405287,-0.00225887744701264,-0.00226842620925575,-0.00227865271691743,-0.00228916035559966,-0.00230001616983722,-0.00231091453075187,-0.00232195653637289,-0.0023331200371569,-0.00234421151608517,-0.00235535365246658
"mu_m_K_ALDO",-0.293356316372815,-0.324574222050358,-0.341341309845921,-0.350744063029253,-0.356328134842668,-0.359843863184286,-0.36219925765259,-0.36388601768811,-0.365178021995979,-0.366233104451429,-0.367338380081362,-0.36868139138931,-0.370123032248595,-0.371585124619269,-0.373032643143448,-0.374449659272688,-0.375829693249336,-0.377171136139854,-0.378475513465869,-0.379744436710199,-0.380980905762488,-0.382187602660273,-0.383367058369496,-0.384522246643871,-0.385655280546468,-0.386768186922788,-0.38786319325407,-0.388942322572156,-0.390006608963875,-0.391058184585408,-0.392097916197535,-0.393126707503628,-0.394146755938075,-0.395157639517016,-0.396161229766703,-0.397157565544067,-0.398147483657951,-0.399132145184141,-0.400111255741024,-0.40108576835633,-0.402056133184815,-0.403022693246828,-0.403985783494021,-0.404945672034907,-0.4059025048544,-0.406857364244827,-0.415673685034116,-0.425426060068923,-0.433302773265737,-0.439225196165426,-0.444576039726779,-0.448902935311747,-0.452498176782448,-0.455716350462699,-0.458809918966165,-0.461037419404205,-0.462026484193813,-0.462499922273312,-0.462719880254119,-0.462854381905952,-0.462906999120506,-0.462880232173621,-0.462842561541678,-0.462790210753721,-0.462648948537023,-0.462496947207993,-0.462238350254875,-0.461921795721329,-0.461518259041417,-0.460990231067902,-0.460316209754955,-0.459721643344094,-0.45921172268607,-0.458465200346248,-0.457425919652814,-0.456179801894624,-0.454480919547666,-0.452509692569165,-0.45011634569915,-0.447259716415015,-0.444048394998022,-0.439606558825527,-0.437526006281493,-0.437267135517848,-0.437545155379598,-0.438098118607911,-0.438801065494211,-0.439588976347424,-0.44042716719629,-0.441295343926779,-0.442181972696412,-0.443080405394665,-0.443986415752423,-0.444897159827275,-0.445811012239511,-0.446726893915358,-0.447644030052872,-0.448561958442837,-0.449480402858944,-0.450399015094292
"mu_P_ECF",0.0397995511309225,0.0408653090785099,0.0331010092624034,0.0251485955531733,0.0188130904306418,0.0141469943303947,0.0108146072320308,0.00846287468924477,0.00680831051682029,0.00564273021411557,0.00475951672272885,0.00384846240873468,0.00281822585090497,0.00170475333128398,0.00055690339063257,-0.000590264861065364,-0.00171380504331286,-0.00280003909281697,-0.00384357700792016,-0.0048416786622231,-0.00579436047421848,-0.00670368519112476,-0.00757215424550205,-0.00840280217641248,-0.0091983762020879,-0.00996250229336812,-0.0106975546632557,-0.0114064520789991,-0.0120917684868794,-0.0127557650349952,-0.0134005203346673,-0.0140279283918482,-0.014639655843402,-0.0152375454031232,-0.0158227543467588,-0.0163966372630169,-0.0169598193079186,-0.017513925398104,-0.0180596199998676,-0.0185977761074274,-0.0191291075133572,-0.0196540479629005,-0.0201736615307059,-0.0206879418003964,-0.0211976481290396,-0.0217030390706428,-0.0203000019857926,-0.0173375744521548,-0.0153499089699789,-0.0144873275600169,-0.0144417501067763,-0.0148955278883508,-0.0156339927660878,-0.0165210489900091,-0.0174522570950411,-0.0192380707037684,-0.0217503668964869,-0.0240222053344286,-0.0258876388704416,-0.0273827557382991,-0.0285926827398042,-0.0296015071882407,-0.0304660363861936,-0.0312306025047381,-0.0319297551713867,-0.0325791608207086,-0.0331964918656414,-0.0337932081214025,-0.0343730313478998,-0.0349422105611872,-0.0355139614548565,-0.0360845465446507,-0.0366461670276763,-0.0372260401886552,-0.0378339818460489,-0.0384364344260263,-0.0390447503058122,-0.0396734480383923,-0.0403206996232433,-0.0409784927378733,-0.0416590732537159,-0.042374771173371,-0.0426495617968285,-0.0421638976726073,-0.0417297155010171,-0.0415096585074106,-0.0414855572524848,-0.0416095213373496,-0.0418377221183976,-0.04213742745922,-0.0424862724781382,-0.0428682417112139,-0.0432730954249114,-0.0436934487677426,-0.0441246661436498,-0.044563198152363,-0.0450068471843825,-0.0454540874043352,-0.0459036709829316,-0.0463550429599117
"mu_FF",-0.000627563412362236,-0.00138935863696314,-0.00213268586853275,-0.0028180123230221,-0.00343493385503307,-0.00398430846691909,-0.00447011824029912,-0.00489855558223157,-0.00527554560999057,-0.0056068107740021,-0.00578898037992035,-0.00585276526455179,-0.00588333265220581,-0.0058985523720957,-0.00590643139931567,-0.00591029942115462,-0.00591220620122785,-0.00591300273185375,-0.00591303183036334,-0.00591244267500946,-0.00591170403384305,-0.00591096841517205,-0.00591003394403094,-0.00590896867810223,-0.00590781738056339,-0.00590687977356143,-0.00590581603437266,-0.00590472376296053,-0.00590352966817805,-0.00590245900869506,-0.00590136635941214,-0.00590025823067994,-0.00589901454346708,-0.00589817594190922,-0.00589695249286385,-0.0058958491129025,-0.0058947124585508,-0.00589372559844958,-0.00589243489817921,-0.00589143003030773,-0.00589018100383585,-0.00588915801050958,-0.00588804161892266,-0.00588689860666438,-0.00588581645530795,-0.00588502703864202,-0.00588552010130766,-0.00588576413020267,-0.00588569763816686,-0.00588542328279388,-0.00588513770382579,-0.0058847451589749,-0.00588424828934005,-0.00588372206692222,-0.0058829304700956,-0.00588191011406784,-0.00588088510631543,-0.00587942146642365,-0.00587812298444456,-0.00587688018711174,-0.00587563935636645,-0.00587440115098912,-0.00587316152354075,-0.00587187675564496,-0.00587060865698951,-0.00586933608664063,-0.00586807311705879,-0.00586671303873273,-0.00586547542419157,-0.00586419371351721,-0.00586279960717491,-0.0058614115731439,-0.00586019720849679,-0.00585886630397011,-0.00585740844085642,-0.0058556572612886,-0.00585405405276113,-0.005852966020468,-0.00585120750828951,-0.00584965359860071,-0.00584802979553942,-0.00584618403962945,-0.00584532614635764,-0.00584416592720732,-0.00584326633493566,-0.00584204584539046,-0.00584098398480175,-0.00583993691607832,-0.00583872700888347,-0.00583765814477892,-0.00583655888843511,-0.00583548918022689,-0.00583435061225559,-0.00583333063636982,-0.00583219657511596,-0.00583109832344421,-0.00583003592331116,-0.00582892291147742,-0.00582782761299997,-0.00582677824426074
