"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",-1.07749820505987e-08,1.49879405406672e-08,-9.24359328919877e-08,-9.73760001272694e-08,1.97543023435109e-07,-1.34252317439021e-07,-1.61100257314306e-07,-2.26297772237149e-07,-1.39437213163784e-07,-1.04388916550446e-06,-2.25457880909064e-06,-2.79999557846722e-06,-1.75890540540458e-06,-1.8767670940214e-06,-1.95960542180873e-06,-1.99701357577919e-06,-1.96243043982425e-06,-1.77098505315965e-06,-1.82893531180439e-06,-1.90076523221305e-06,-2.13410293930827e-06,-2.19025440594267e-06,-1.86217970330954e-06,-1.48914397733702e-06,-1.37427305941329e-06,-1.29738371214166e-06,-1.26362490389331e-06,-8.81197335913686e-07,-5.22188634633186e-07,-4.34405977247116e-07,-4.15579560079649e-07,-5.29955426421897e-07,-4.99585067313194e-07,-3.79978321409444e-07,-2.47875468746092e-07,-6.64457037387739e-08,-8.29571656041014e-08,-3.70079398632969e-08,-6.89941619322481e-08,-4.41956317264944e-08,7.4867157132192e-08,1.81563908939374e-07,1.38806702935007e-07,6.81475062720739e-08,4.17418576596218e-08,3.42277449244374e-07,4.34198505690731e-06,8.85502032563322e-07,1.05178599731133e-05,6.36953574399612e-06,7.99273417770863e-06,9.2254760414967e-06,7.78324471062319e-06,3.89011980983156e-06,4.77470760102427e-06,3.08248921304788e-06,1.16435463013609e-06,-4.61283530053257e-07,1.55305714000331e-06,2.63101739142435e-06,1.41514883885652e-06,-1.85620962144915e-07,8.12616954642299e-07,4.944782227998e-07,3.00007401721203e-07,6.10612778112251e-07,8.28067197955029e-07,1.66643476498773e-06,9.33525879682317e-07,2.23804277509054e-06,3.11846265036086e-06,3.86668799895296e-06,5.5391825305322e-06,5.34489242185465e-06,5.73791573334736e-06,4.94860148783988e-06,4.323528425004e-06,3.53111829710856e-06,3.14132504105996e-06,3.1502324846974e-06,3.20039722923598e-06,2.88337855559143e-06,2.63365553825309e-06,2.38848372414405e-06,2.32144862641703e-06,2.24128884571072e-06,2.16517998390085e-06,2.03755096546371e-06,1.94198670205921e-06,1.80113737271531e-06,1.72269873957234e-06,1.67613812399241e-06,1.65130866725863e-06,1.52027040177878e-06,1.43192828283787e-06,1.21007718891173e-06,9.44215127433881e-07,7.22261553552962e-07,6.54563654440235e-07,6.1056226272633e-07
"mu_V_inter",2.42402974253153e-08,1.43690909023331e-07,9.23700054524801e-08,8.77624527171327e-08,-1.75875741982079e-07,-1.94628266143582e-07,-1.33325914884353e-07,-2.77077251682467e-07,-2.66630907153065e-07,-6.1373438402601e-07,2.31895229573986e-06,1.97524376843639e-06,2.18569232463395e-06,2.2936697193654e-06,2.51874510487271e-06,3.05696349999063e-06,2.66475720240345e-06,3.12930092023545e-06,3.35736362867178e-06,2.93341605006003e-06,2.16499760983413e-06,1.84396894306427e-06,2.01709774722964e-06,2.12561175891396e-06,1.98364941129514e-06,1.51236186964826e-06,1.2493636280031e-06,1.21819882699925e-06,1.13110548721518e-06,1.00866907481656e-06,9.71822256088135e-07,8.61101430086401e-07,7.17554479916158e-07,5.93854480044884e-07,5.7241047993277e-07,4.90812914938702e-07,4.53815196625199e-07,4.47046571496315e-07,4.16962890038793e-07,4.7198838781698e-07,4.79393626588103e-07,3.68116237604573e-07,2.41510736711304e-07,1.51874094044404e-07,5.23143809169903e-08,3.33092588031622e-07,-1.74921839796837e-07,-2.8819193894023e-06,-3.36104308848563e-06,-3.78461052145341e-06,-2.26428728921846e-06,-4.12581468330587e-06,-2.95473037828847e-07,1.56134385884243e-06,2.29583242113307e-06,5.93367936799715e-06,6.10594106464823e-06,5.16299598072933e-06,4.14863797186093e-06,3.93361700970551e-06,4.07318468626538e-06,2.39181773259211e-06,9.05620993572493e-07,-9.67750747342237e-07,-5.2404831572606e-07,-5.93690317715284e-07,-3.0900037478943e-07,-6.78068803317893e-07,-1.40336843107725e-06,-1.81852799269589e-06,-3.55789392565646e-07,-4.19710244696007e-07,4.52918956375555e-07,9.20202869111538e-07,4.81320735129406e-07,3.10991922373768e-07,3.5316388542844e-07,2.9867334558614e-07,1.35134831541814e-07,1.31565261595938e-07,4.53086988399602e-07,6.18466238728075e-07,6.11862905564558e-07,4.68786518742103e-07,3.59877238597316e-07,4.13422172927099e-07,4.16773412945089e-07,3.38669145517986e-07,1.93313264930036e-07,5.46102996742258e-08,1.24404529959605e-07,-2.24130686053154e-08,-1.64622866786736e-07,-1.43338152619431e-07,5.19870463660562e-08,1.42062816236743e-07,1.96617964961912e-07,1.85709713649812e-07,2.51425765683249e-07,3.12191694921113e-07
"mu_V_muscle",-1.55707617199852e-09,9.23676906561256e-09,3.92846535062218e-08,2.22166659549216e-08,-1.09482702140174e-07,-2.56728678344143e-07,3.12183003248201e-07,5.70663382108982e-07,1.04566606156276e-06,-1.06350005366185e-07,3.44727470129591e-08,5.48735748955753e-07,5.25534601244716e-07,1.94588341348112e-06,1.72017963260207e-06,1.98528858910163e-06,2.31134140242028e-06,1.84188078924341e-06,1.3235414885111e-06,7.41841086450145e-07,5.02325233829759e-07,6.02456071247315e-07,4.84267479566369e-07,3.39045423008278e-07,2.32544351811249e-07,1.23619401264486e-07,4.09401904850283e-07,3.14154346212071e-07,1.97900191313134e-07,1.11720683533379e-07,2.24833864568814e-07,2.88486255457938e-07,2.64843471410023e-07,2.0795742307915e-07,2.6091179058399e-07,2.73149786835875e-07,2.99608234558567e-07,3.2180866481589e-07,3.96178082902321e-07,3.43199634039886e-07,1.7652111504329e-07,8.60753687963181e-08,4.44747023698077e-08,3.42362435602625e-08,7.09889982887863e-08,3.40819396039187e-07,1.7438347093055e-06,-3.27548566525948e-06,-1.9519148060521e-05,-1.62236223491909e-05,-1.28293128060584e-05,-1.19386251071347e-05,-1.29282343927244e-05,-1.41582841225727e-05,-1.36149030973414e-05,-1.17485728639757e-05,-1.10341741888149e-05,-1.1236136345973e-05,-8.66510366572281e-06,-7.6456168801231e-06,-5.95716097439247e-06,-4.81044869941316e-06,-6.14524265794402e-06,-6.50838271725495e-06,-6.9911718264537e-06,-7.455506254749e-06,-8.3608641960895e-06,-8.11219691747311e-06,-7.94406219356958e-06,-8.49479189675705e-06,-7.313203008947e-06,-6.96807238840835e-06,-6.19483541358612e-06,-6.12585369389673e-06,-5.8206428923605e-06,-5.53882736594496e-06,-5.07406028512236e-06,-4.62317735157214e-06,-4.21292703739357e-06,-3.95117643098453e-06,-3.97800463023243e-06,-3.85301650491959e-06,-3.47561905174565e-06,-3.16852998986167e-06,-2.91670503761833e-06,-2.98176650867125e-06,-3.00275833763597e-06,-2.82107445504343e-06,-2.75827037984949e-06,-2.6192797276476e-06,-2.47078335824703e-06,-2.33791090645881e-06,-2.22264824577142e-06,-2.06040083808407e-06,-1.86686779736007e-06,-1.67172374771608e-06,-1.57634223080985e-06,-1.48450513886111e-06,-1.40398570230792e-06,-1.33674657811967e-06
"mu_kgut",-0.416698250402663,-0.795038324361335,-1.13941220477004,-1.45364579092714,-1.74107592147761,-2.0046158520565,-2.24681350954878,-2.46989831577103,-2.67582639151501,-2.86630737496476,-3.02238859312655,-3.13005671587196,-3.19733038478382,-3.23104953787061,-3.2370445204813,-3.2202765516806,-3.184965701796,-3.13469345092304,-3.0724951960348,-3.0009378495605,-2.92218911633735,-2.83807362270586,-2.75012222532134,-2.65961524875363,-2.56761946961575,-2.47501867601301,-2.38254142242952,-2.29078411099309,-2.20023080922852,-2.11126997485339,-2.02420987437663,-1.93928991450376,-1.85669227172939,-1.77655087149507,-1.698958974722,-1.62397590313862,-1.55163289799087,-1.48193798279409,-1.41488002443123,-1.35043223246283,-1.28855536840487,-1.22919996733618,-1.17230872694162,-1.11781807840888,-1.06565989990567,-1.01576491219359,-1.45958627214764,-2.76502499472622,-4.76779857899822,-6.83710269783925,-8.48711994217046,-9.78248346307888,-10.7785279310122,-11.5226154828071,-12.0552367382711,-12.4109972898669,-12.6194334509247,-12.7057341912671,-12.6913592171373,-12.5945689222845,-12.4308840688246,-12.2134681818783,-11.9534712314572,-11.6603176005444,-11.3419437071655,-11.0050345939324,-10.6551900254511,-10.2970787098449,-9.93458867716959,-9.57093437510989,-9.20875939744686,-8.85021800661294,-8.49705685274867,-8.15066852743399,-7.81214325612203,-7.48233432840189,-7.16187328367937,-6.85121919974093,-6.55068141320376,-6.2604480547413,-5.98060240942525,-5.71114379416072,-5.4520017702562,-5.2030501076945,-4.96411774482679,-4.73499783691983,-4.51545462125448,-4.30523079006041,-4.10405302498705,-3.91163724125661,-3.7276917951619,-3.55192103501092,-3.38402783795729,-3.22371602793696,-3.07069255015505,-2.92466778617356,-2.78535808563867,-2.65248572045275,-2.5257800555232,-2.40497803203756
"mu_Km",-1.90918540976526e-08,1.00136076670585e-08,5.02246285281059e-08,7.52628797684459e-09,1.47622189028862e-07,2.55773932913427e-07,-3.25085936729868e-08,1.49963137328068e-07,4.63340421790193e-07,1.48030729929973e-07,4.81666217411193e-07,1.69084538105624e-06,1.07473945315295e-06,8.83117355149788e-07,1.06955718933088e-06,1.66987019864129e-06,1.10971240021529e-06,8.47991864231902e-07,5.51096130076314e-07,3.23289854618826e-07,1.71114949326979e-07,-1.91011652569961e-07,-3.60927416528433e-07,-1.74031113874317e-07,7.41593406853321e-08,2.75692339953671e-07,2.82000096941404e-07,2.2363995979452e-07,4.1776830129392e-07,4.5509014009712e-07,4.7193211819227e-07,4.37123909954138e-07,3.71944301631622e-07,4.63192890378606e-07,4.86177275367373e-07,4.34290464102441e-07,3.1184416108069e-07,3.08773700887902e-07,3.52529827715984e-07,3.62991880290938e-07,3.24508181828037e-07,2.44597052327971e-07,2.6989867297169e-07,2.47824817124477e-07,2.37086833340141e-07,3.5348033402566e-07,-2.3615368239156e-06,-4.14029875919653e-06,1.53774217391599e-06,5.51390741606283e-06,6.07280057121073e-06,4.56907450488941e-06,7.91385340214923e-06,6.80202413135511e-06,3.6767332748937e-06,5.50679578973501e-06,4.92422806577775e-06,3.70498904121242e-06,2.90040259280212e-06,1.78379216047732e-06,3.0748582974205e-06,2.1702736288618e-06,2.0608623858962e-06,1.2669805181198e-06,7.86309152213782e-07,1.01835507010639e-06,1.3315521798154e-06,2.38410899948626e-06,2.22562562091766e-06,5.62708809970001e-07,1.50361495317164e-06,1.88877237096496e-06,-1.3968735315351e-07,-2.14136520788282e-07,-4.21704605590438e-07,-3.49843115721764e-08,1.07212796163987e-07,2.21218713517542e-07,3.44672552731458e-07,4.43070307911543e-07,5.70559466493116e-07,7.42932844449897e-07,8.70853035487698e-07,7.77765036490349e-07,6.68596500048132e-07,5.60275288597587e-07,4.50389723585226e-07,4.08271480533876e-07,4.21320055134703e-07,5.17713394474045e-07,5.23706665558835e-07,5.27362635704706e-07,5.17480695067552e-07,4.00724794150912e-07,3.25068395766899e-07,1.95836706460269e-07,5.93335964234772e-08,-6.55651047247231e-08,-9.75799642003393e-08,-1.50912113089714e-07
"mu_Vmax",-3.22798779706109e-10,-2.23278391575654e-08,-4.28947628616783e-09,-2.06072624340692e-07,-2.38682950024494e-07,-4.25003827603021e-07,-6.17323665270231e-07,-5.38520278298371e-07,-4.21704117757659e-07,-1.00891550330217e-07,-3.67320611431809e-06,-2.90509898536895e-06,-3.14360877779718e-06,-3.22105291135122e-06,-4.1852503617108e-06,-4.87650816984098e-06,-6.32193967198247e-06,-7.48184007700081e-06,-7.72624856444348e-06,-7.99898872557125e-06,-7.52656013961683e-06,-7.14602519691421e-06,-6.78273619484215e-06,-6.42333185363808e-06,-5.84779432882815e-06,-5.09252754407441e-06,-4.46867206785556e-06,-4.08291262454005e-06,-3.58232169123349e-06,-3.03014742687707e-06,-2.6498770511158e-06,-2.34091829061077e-06,-2.23597290899465e-06,-2.1673875690037e-06,-2.00509660016276e-06,-1.82687908725576e-06,-1.63344376978384e-06,-1.60834867521627e-06,-1.55764870957749e-06,-1.53431915562238e-06,-1.5088386661841e-06,-1.45315331827656e-06,-1.4487933982627e-06,-1.4441134996431e-06,-1.33594366811034e-06,-1.37018037992272e-06,-1.47380980953749e-06,9.18990836900948e-07,-1.48846616916103e-05,-3.18371573186305e-05,-2.79579744548997e-05,-2.32835469282158e-05,-2.32733520528878e-05,-2.09849987457229e-05,-2.18206052056367e-05,-2.05482778663431e-05,-2.1402680859107e-05,-2.33341233600184e-05,-2.31706248285528e-05,-2.24663861231456e-05,-1.99943092322741e-05,-1.70872395542761e-05,-1.4619640111361e-05,-1.40365782064316e-05,-1.361188349401e-05,-1.21627152979562e-05,-9.89578483532961e-06,-1.03763474680472e-05,-1.00513170313958e-05,-9.32235014522154e-06,-9.16256434842167e-06,-8.56117137756007e-06,-7.33978524403012e-06,-6.76078484031006e-06,-6.13531002844814e-06,-5.67102740086206e-06,-5.01049757367311e-06,-4.1056577168529e-06,-3.69794043890909e-06,-3.6411205838888e-06,-3.54736741423364e-06,-2.9692083134559e-06,-2.51508506607442e-06,-2.09023684724377e-06,-1.77418542597441e-06,-1.80669806693427e-06,-1.81089170792712e-06,-1.708449538368e-06,-1.46696480515818e-06,-1.23639628585928e-06,-1.02862955184823e-06,-9.12686490696306e-07,-9.22561444387377e-07,-9.23777950394899e-07,-8.47935803458346e-07,-8.67041674216612e-07,-9.05349787102185e-07,-8.15544725437132e-07,-7.63811878994936e-07,-7.12084043551668e-07
"mu_m_K_ALDO",1.03075589088064e-07,-1.55745040756106e-07,-2.48031471837162e-07,-3.1602776990125e-07,-1.05292907257137e-07,6.31102126198434e-08,5.22914393581874e-07,3.08954806086614e-07,-2.20943699044352e-07,-2.34452239361893e-06,-3.37604039855144e-06,-4.53088606797269e-06,-4.53712852707833e-06,-5.13848387317961e-06,-4.03869455891725e-06,-3.02199430879191e-06,-2.07410293637222e-06,-1.90010107297045e-06,-1.77420777294268e-06,-1.86270102464314e-06,-2.22865140970618e-06,-2.4550603992457e-06,-2.36698991507223e-06,-2.21321798616603e-06,-2.12633244389215e-06,-1.96673448819046e-06,-1.78981262284594e-06,-1.69526885180193e-06,-1.59203493504215e-06,-1.41923493999446e-06,-1.2037001777066e-06,-1.02258228537284e-06,-9.24767850724761e-07,-7.39113539882166e-07,-6.14630168935259e-07,-5.29230620872692e-07,-4.748577385425e-07,-5.37934482203552e-07,-4.82794701981544e-07,-3.85342385718988e-07,-3.42414691930949e-07,-3.41062686150931e-07,-3.1647212989808e-07,-2.70436162011341e-07,-2.79633701455371e-07,-3.83154939688506e-07,-1.30756833899603e-06,-1.71258660660811e-07,-6.39103330862057e-06,-1.23563868214767e-05,-8.43816043128599e-06,-7.14398154054408e-06,-4.35485197295194e-06,-4.74370112303114e-06,-2.82332864258806e-06,-9.96782085927357e-07,-1.82689801135012e-07,-4.0270162995677e-06,-6.11922570170265e-06,-4.70437538761904e-06,-4.19927599052717e-06,-2.90696820187054e-06,-1.12677185043176e-06,-1.31392492845484e-06,-6.01339966729513e-07,1.55456537540783e-07,-9.40899613881593e-08,7.15818974325041e-07,5.86339082682571e-07,1.50259714359202e-06,1.14046417355506e-06,2.28588444386111e-07,7.82941816089842e-07,-3.63629179697144e-08,-1.56688855910158e-08,2.48235130056449e-07,1.92121470956151e-07,4.44521836383214e-07,4.64924388473008e-07,3.29477625601175e-07,2.55415154523429e-07,1.34553690926185e-07,4.00229514075353e-08,6.44643391485e-08,1.53404430034739e-07,2.07550224989402e-07,2.83502931495704e-07,3.25750465657373e-07,3.05384910598393e-07,2.23126378432768e-07,2.12861656100709e-07,2.7574521945426e-07,2.36041554117619e-07,3.29868716245365e-09,-1.72113425638641e-07,-2.09091492941481e-07,-1.69531835813853e-07,-1.93785405552292e-07,-3.3183233698746e-07,-4.357175659139e-07
"mu_P_ECF",9.9536631896768e-09,9.94395397224667e-09,-7.46279139485219e-08,-1.36980005242648e-07,-4.01335486372112e-07,-4.97199344207999e-07,7.44531790140006e-08,3.47503658936433e-07,1.64231352333566e-07,-1.63427701607999e-06,-2.55886690081033e-07,-1.19688421633682e-07,-1.07173819003892e-06,-1.86009910296603e-06,-8.41101949824898e-07,-9.38067139726349e-08,4.83451575414626e-07,5.24574200843506e-07,8.11224330270456e-08,7.13138486633225e-08,-1.03292761276298e-07,3.32489881637024e-08,5.54855058224053e-08,3.13883356295064e-07,2.66957022565739e-07,1.18510717063313e-07,-8.48646962628432e-08,-2.74307492025089e-07,-2.45987472291792e-07,-1.66931437564716e-07,-1.67522298542611e-07,-1.9400758434962e-07,-2.39670672445846e-07,-3.67236617838579e-07,-3.95673755454393e-07,-3.26740257940508e-07,-3.15045763697272e-07,-2.32366932212548e-07,-2.34031047142091e-07,-2.98309846135415e-07,-2.53120210280882e-07,-1.91891033497225e-07,-4.94726110852883e-08,-6.62426185749632e-08,-9.98277641040164e-08,1.06609020672791e-08,-2.02435546818336e-06,8.54408678208072e-07,-1.27826573467864e-05,-1.99380054122678e-05,-2.08177381929709e-05,-2.08684680872082e-05,-1.78448415703017e-05,-1.65612049713193e-05,-1.1800041819857e-05,-7.1816387306143e-06,-9.466754310429e-06,-7.16144365891137e-06,-8.37095110240772e-06,-9.25647937393405e-06,-1.09962793842007e-05,-9.65267238769042e-06,-9.10279070828413e-06,-8.10513188680862e-06,-8.41391564807693e-06,-9.58595912938676e-06,-7.57006446490305e-06,-5.98043500749524e-06,-5.08358490939665e-06,-3.56492192246894e-06,-4.51681712840835e-06,-4.85117440417371e-06,-3.79851622440952e-06,-4.15875130678845e-06,-3.77064108844005e-06,-3.56258288093148e-06,-3.42178051254183e-06,-3.03123222730906e-06,-2.56542043735325e-06,-2.21933542386593e-06,-1.78204981270125e-06,-1.5619944887946e-06,-1.89534514673187e-06,-2.01008529765712e-06,-2.04600996447696e-06,-1.91611952589267e-06,-1.86095371782641e-06,-1.75029293477304e-06,-1.64833317573171e-06,-1.53988772229852e-06,-1.40442861193429e-06,-1.40543963190678e-06,-1.41999714319421e-06,-1.16987431799393e-06,-1.14008551873557e-06,-1.05283948829069e-06,-1.11992400531317e-06,-1.20417988985748e-06,-1.0881407478048e-06,-9.81821860736979e-07
"mu_FF",4.61775369942075e-09,5.15422160152213e-08,8.22605046919556e-08,2.4803970909204e-08,8.77543418051909e-08,2.13437582336162e-07,3.55984388934694e-07,2.60550161813811e-07,3.76502513841804e-07,8.846730845411e-07,-2.80694082984921e-07,-2.97759232790165e-08,-6.86806239878045e-10,-3.09400059141039e-07,2.91188184009084e-07,3.662732844123e-07,2.68552795939182e-07,2.19451796256044e-07,6.51748000465636e-07,9.08691455849931e-07,8.20440054464245e-07,5.5219079121105e-07,6.58551977813671e-07,8.08014362535859e-07,6.56147759186988e-07,4.75579319230203e-07,2.46015671059364e-07,2.61755498315919e-07,2.41119593390571e-07,2.66572583520891e-07,2.86333995256627e-07,2.61678255953413e-07,3.02848379630627e-07,2.84959806246293e-07,2.59908200652581e-07,2.05826668888062e-07,1.71179534963442e-07,1.80017323035249e-07,2.58963519804784e-07,3.03305686589366e-07,2.13869239516662e-07,3.92462277250088e-08,-5.46688918472148e-08,-4.15761037918966e-08,-3.40553348213041e-08,1.03708739085714e-07,5.06007085144589e-07,-1.88062849884929e-06,7.57989103675526e-06,1.48483929866749e-05,1.03444613768637e-05,1.16656668964765e-05,1.34037182976616e-05,1.10791829634902e-05,1.07673627136613e-05,9.59327655130514e-06,5.39165881049629e-06,6.36167987221102e-06,4.0434249043546e-06,3.71403775990674e-06,2.19840017996996e-06,2.74498346181317e-06,4.27808244978544e-06,6.16205487578191e-06,6.49543554901743e-06,4.62149553556567e-06,1.49281818913982e-06,7.9772322842197e-07,1.5118994497314e-06,2.73401136966633e-06,2.07824640714571e-06,3.26706391371134e-06,4.41596179908932e-06,3.53927986667823e-06,3.24400599811947e-06,2.72701740163012e-06,2.48018041409992e-06,2.61955147356468e-06,2.62871379578861e-06,2.1946314967832e-06,2.28415268313306e-06,2.2518962571598e-06,2.42850199003436e-06,2.36474064248029e-06,2.36540636042931e-06,2.1824053128106e-06,1.96747203891408e-06,1.81028064279462e-06,1.77116184093219e-06,1.6149111072054e-06,1.56302421698063e-06,1.41346858400033e-06,1.25316431477746e-06,1.18332496804241e-06,1.22256578326351e-06,1.2566932634721e-06,1.24275507965545e-06,1.03995084934708e-06,8.85417385020099e-07,8.91890468178133e-07
