"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",-4.22240048045808e-08,-4.35924059409842e-08,-1.24422198540142e-07,-1.46179295384297e-07,-5.53134582736981e-08,-4.09354344405699e-07,-7.54595598962293e-07,-6.93829063338924e-07,-7.39104725110629e-07,-2.76863456337839e-06,-3.69101270187056e-06,-3.85844581816208e-06,-2.9276906601039e-06,-2.76145624463897e-06,-3.14508436059113e-06,-3.51316963875248e-06,-3.47583234621474e-06,-3.00288350438793e-06,-2.51362117183385e-06,-2.34080167924833e-06,-2.5092982999454e-06,-2.35192383008964e-06,-1.87088909329175e-06,-1.46556759406935e-06,-1.26504155335205e-06,-1.20846546344461e-06,-1.3200893543181e-06,-1.11764423593028e-06,-7.60790114019944e-07,-5.50224134093891e-07,-5.0948338894441e-07,-5.95745031772801e-07,-5.4675240464197e-07,-4.25003033720311e-07,-3.83177731222775e-07,-2.63137432859717e-07,-3.28949510083984e-07,-2.82065218221397e-07,-2.3115411002874e-07,-1.8133115285756e-07,-1.02194905505035e-07,-7.06773000263352e-08,-1.06605562482841e-07,-1.05733186979318e-07,-7.25769457139321e-08,3.18456638323231e-08,2.53938433655243e-06,-5.12646529099214e-07,9.9673115462977e-06,1.77941709258533e-06,1.12976304842504e-06,5.30236021704055e-06,2.80203144995461e-06,-1.80074326872237e-06,-8.58434874710668e-06,-9.48144940849538e-06,-9.77455115071635e-06,-1.00389752343215e-05,-7.33776521664975e-06,-7.17484014737391e-06,-5.92777601599792e-06,-4.62637290569745e-06,-1.42712911548326e-06,-5.08109292912452e-07,3.65840899826163e-07,3.68920698546214e-07,3.64184074117535e-07,9.17055552819956e-07,1.2683056364029e-06,2.861982962441e-06,4.23618317311925e-06,4.12439428239397e-06,4.08312343625439e-06,4.77737511903575e-06,5.51038020002559e-06,5.78587761354676e-06,5.62844089929987e-06,5.07559563482424e-06,4.76119574810224e-06,4.59067422931123e-06,4.32484608060713e-06,4.21080799439699e-06,3.97913077543802e-06,3.84670242135135e-06,3.81065645826585e-06,3.49255569268798e-06,3.13726850482492e-06,2.51233482648323e-06,2.24379601355892e-06,2.19883192641276e-06,2.20831078952162e-06,2.24197192632872e-06,2.14324713222601e-06,2.2491801247233e-06,2.18572309079132e-06,1.92619038525949e-06,1.60170256688497e-06,1.3692054723204e-06,1.28189420999689e-06,1.22962363157784e-06
"mu_V_inter",1.25347804136304e-10,7.82087675381682e-08,-2.15587767637971e-08,6.45147047544368e-08,-1.12003885618162e-07,-1.05889772430423e-07,5.94577096357788e-09,4.88374377898283e-08,1.58246867250078e-08,1.08137940817878e-07,4.03014678824399e-06,3.70640756452723e-06,3.99574523654867e-06,3.74115803792408e-06,3.46946380099955e-06,3.61223154162915e-06,2.89205173333418e-06,3.39778422966808e-06,3.65588348437762e-06,3.28117425720298e-06,2.8563563694235e-06,2.6185095995841e-06,2.6885910189508e-06,2.55429382728395e-06,2.20620957681217e-06,1.92952978297334e-06,1.71055015229293e-06,1.54591758033135e-06,1.31464928118838e-06,1.17261086663781e-06,1.05371990473138e-06,9.51502189305176e-07,7.86029335769892e-07,6.51955664834711e-07,6.11271140188857e-07,5.72868112541453e-07,5.6026104441307e-07,5.44703870149932e-07,4.84896331268019e-07,4.39214219252977e-07,3.21125231024455e-07,1.94599628237973e-07,1.49282565982227e-07,9.02797097414902e-08,3.75289443590324e-09,4.36594864772552e-07,1.48727687680683e-06,9.72042821530293e-07,9.12714961699025e-06,7.30250685044711e-06,3.80328592558856e-06,1.78455719158778e-06,2.7096183318527e-06,-3.57915692379849e-07,-5.39461935613693e-06,-2.13362402366711e-06,-4.16653223306972e-06,-4.53670701619212e-06,-3.57185613166777e-06,-1.77641893272895e-06,-1.76982495657185e-06,-1.89214590903486e-06,-2.54630844798065e-06,-3.60182868385194e-06,-3.54599628844898e-06,-3.30792889279396e-06,-3.2646283534159e-06,-2.59303432876123e-06,-2.74227689016237e-06,-2.5285439070124e-06,-3.91825785174204e-06,-4.12240700706467e-06,-2.88553890695497e-06,-3.60951086503314e-06,-4.08568093764805e-06,-3.93941684647336e-06,-3.54867285164606e-06,-3.32452276712059e-06,-3.3746552652294e-06,-3.07978641104817e-06,-2.9056854205636e-06,-2.58463386173174e-06,-2.38188703884754e-06,-2.21121701309429e-06,-1.94352841007184e-06,-1.93527779809784e-06,-1.7657116024032e-06,-1.60602886178841e-06,-1.29648483957866e-06,-1.25821443951005e-06,-1.01040823734424e-06,-9.44751761267439e-07,-8.95340147691132e-07,-9.76735546990983e-07,-9.34072237312206e-07,-8.59824269865008e-07,-8.60739364769859e-07,-9.44234303270081e-07,-1.02198511912339e-06,-9.0733881988112e-07
"mu_V_muscle",-2.25977826051605e-09,-2.3829739101977e-09,8.29849279293518e-09,-2.79160088045849e-08,-1.26273277002653e-07,-4.24933861274291e-07,4.32189799308702e-08,3.97285934630176e-07,7.23932140953565e-07,-1.67282089700294e-06,-1.18627123762893e-06,-2.67210573951626e-07,-1.69982425683111e-07,6.4774184231542e-07,4.41419639598762e-07,7.94066992497955e-07,1.54885777986169e-06,9.9094061432492e-07,4.75797273078671e-07,2.72220389589962e-07,2.44863027573207e-07,3.19963224377552e-07,3.77147758540476e-07,5.52405739693564e-07,4.50420613905657e-07,1.52250099099528e-07,2.21587220076315e-07,1.58046233450755e-07,1.19994563214516e-07,9.13569321092667e-08,1.30461123349858e-07,7.2924337286535e-08,2.81949851629752e-08,-7.67738383188462e-08,-6.52236924991991e-08,1.21032941634021e-08,1.27020515803302e-07,9.08242795884878e-08,9.05536416917071e-08,5.9756266308292e-09,-1.51539927014107e-07,-2.3172533220939e-07,-2.64902417820962e-07,-2.64040732419118e-07,-2.16897527668902e-07,-4.15061019203879e-07,1.21393964798777e-06,-2.81966989174976e-06,-5.15292026718583e-06,-1.61071474519758e-05,-1.41196889400988e-05,-1.36553476486014e-05,-1.25706975106557e-05,-1.35702536476838e-05,-7.25009250986731e-06,-6.99503776857214e-06,-6.33987552336458e-06,-5.83178647609729e-06,-5.57330755469466e-06,-3.63717942568177e-06,-2.94443070156892e-06,-2.12264759596437e-06,-2.31134116967447e-06,-2.27622972827214e-06,-1.23189299628779e-06,-1.27233720313136e-06,-1.97941636258659e-06,-1.71335840091458e-06,-1.61046232162554e-06,-2.50405209652471e-06,-1.34027870421949e-06,-9.59960916147143e-07,3.35873166541265e-07,-1.66974981712255e-07,-8.22218655336827e-07,-9.72892209356869e-07,-1.04969661900906e-06,-1.40703372576401e-06,-1.22890099987166e-06,-1.22257661837916e-06,-1.1915204658825e-06,-1.2172651549863e-06,-1.03580870109638e-06,-8.42095179646785e-07,-8.08152880099154e-07,-7.07841833140433e-07,-7.53105262241635e-07,-7.22864601706938e-07,-6.36725606455391e-07,-4.9454564646976e-07,-5.16749385845811e-07,-5.62830230536917e-07,-7.36467470333507e-07,-8.99996964259492e-07,-8.41910347627502e-07,-6.84382528049546e-07,-5.70711428982181e-07,-5.45314047700387e-07,-5.20978143374316e-07,-5.19354060837798e-07
"mu_kgut",-0.416698224408099,-0.795038363194183,-1.13941220673941,-1.45364580236066,-1.74107585134126,-2.00461558132067,-2.24681310848222,-2.46989818289949,-2.67582648721386,-2.86630536809881,-3.02238764231162,-3.13005576327265,-3.1973293469849,-3.23104862878625,-3.23704313346255,-3.2202754268414,-3.18496519561025,-3.13469317714059,-3.07249499523541,-3.0009374522594,-2.92218858847512,-2.83807278540559,-2.75012129798097,-2.65961449974688,-2.5676189058943,-2.47501814080505,-2.38254089607005,-2.29078372283376,-2.2002305248694,-2.1112698050836,-2.02420963960073,-1.93928961009735,-1.85669198571858,-1.77655060430534,-1.69895870667182,-1.62397561681013,-1.55163262269006,-1.4819377665587,-1.41487990513448,-1.35043210096983,-1.28855516049809,-1.22919973635224,-1.1723085158975,-1.11781794098236,-1.06565981201856,-1.01576497648399,-1.45958489775701,-2.76501545952348,-4.76778934212953,-6.83711601359788,-8.48713664671158,-9.78250086269954,-10.7785499277857,-11.5226418632438,-12.0552687302263,-12.4110293190058,-12.6194618248551,-12.7057576282508,-12.6913786508222,-12.5945879932126,-12.4309005728415,-12.2134840871749,-11.9534855935757,-11.6603291773174,-11.3419550804524,-11.0050443951512,-10.6551971328591,-10.2970854591656,-9.93459477838985,-9.57093909782665,-9.20876335534702,-8.8502219390654,-8.49706081142993,-8.15067104839125,-7.81214680279134,-7.48233809489971,-7.1618768286591,-6.85122252072464,-6.55068509966834,-6.26045136575373,-5.98060500468977,-5.71114589432827,-5.45200381944743,-5.20305250913937,-4.9641206229858,-4.73500084735018,-4.51545764283408,-4.30523375865566,-4.10405601058791,-3.91164013248693,-3.72769470188527,-3.55192377650033,-3.38403060235531,-3.22371884930836,-3.07069529956883,-2.9246703940541,-2.78536042072731,-2.65248781453921,-2.52578182827516,-2.40497950893856
"mu_Km",-5.49105315617026e-09,5.95170214352513e-08,3.10518078530108e-08,-1.08614608207436e-07,1.32551203964937e-07,-5.94957319410861e-09,-2.5501616020085e-07,-1.02217001439087e-07,2.09454612997817e-07,-1.41070475190608e-06,-6.75429948707062e-07,1.58767626146084e-07,-5.1482296474692e-07,-3.90938555347999e-07,-2.7559641527697e-07,-2.15504107489162e-07,-7.00292189631081e-07,-2.75256325274809e-07,-3.42616806395802e-07,-4.42116607388245e-07,-5.76716415243707e-07,-4.68098707261834e-07,-1.31761629927286e-07,1.50864322520038e-07,3.1179786679547e-07,3.61653934577655e-07,2.05995000830073e-07,9.1975000436534e-08,2.87583329612845e-07,2.6464691365008e-07,2.72297623008871e-07,3.12181060058092e-07,3.18323312952146e-07,3.49317207323022e-07,2.8555263881333e-07,2.78769261793738e-07,2.80648559063228e-07,3.13505407989537e-07,3.29075194954933e-07,2.80494132587871e-07,2.8029216364886e-07,2.74025596094054e-07,3.47504119050067e-07,3.03248678464426e-07,2.55408425278613e-07,1.00819436575672e-07,-1.00132241842134e-07,-1.20084463307535e-06,6.46353427484315e-06,3.02725716618539e-05,2.73320250939797e-05,2.22615796495411e-05,2.48323933683423e-05,2.14512202726436e-05,1.91821175557045e-05,1.95656029260754e-05,1.88199139601961e-05,1.53864389476119e-05,1.33907255382733e-05,1.27394979516566e-05,9.84582401764468e-06,9.73286618070058e-06,1.06890994863265e-05,1.12444293435696e-05,1.14025061169647e-05,9.52191412606807e-06,9.34090105600905e-06,9.04229142504298e-06,9.0856007168938e-06,8.65041871262529e-06,1.01919897567981e-05,9.41027190098742e-06,6.36818128460648e-06,6.02273820181576e-06,5.84032316802363e-06,5.79012243719934e-06,4.87524984567261e-06,4.52475890859033e-06,4.11434308531783e-06,3.69029942257667e-06,3.65238709850604e-06,3.78448397895067e-06,3.7356960841603e-06,3.60138805335261e-06,3.39960808861657e-06,3.19459515841869e-06,2.80314325763029e-06,2.6329318485563e-06,2.53471354171852e-06,2.11206095210737e-06,1.80858518652743e-06,1.74874244683387e-06,1.59645158405354e-06,1.488647429982e-06,1.36379792010682e-06,1.35827087211273e-06,1.31470750280572e-06,1.2322354079845e-06,1.09007136128517e-06,8.47597365788331e-07
"mu_Vmax",-2.45321922855979e-08,1.03044118258122e-07,1.20580955364602e-07,-8.86171389509195e-08,-2.95967427174304e-07,-7.0300395169598e-07,-7.91178127700576e-07,-5.87056635811489e-07,1.47277640762944e-08,1.50620177886029e-06,-1.99528681618588e-06,-1.07125694619015e-06,-1.34622221667469e-06,-1.62945801036552e-06,-3.1885753251828e-06,-3.49669757659621e-06,-4.2776083010212e-06,-5.81624845474271e-06,-6.16340555239048e-06,-6.23386078241561e-06,-5.773521054242e-06,-5.40533633468554e-06,-4.94119936266257e-06,-4.71040486984103e-06,-4.18891630085405e-06,-3.47431342726262e-06,-2.82375519698885e-06,-2.41981102951686e-06,-2.02208590906497e-06,-1.68276050309563e-06,-1.489344106191e-06,-1.29721381449446e-06,-1.20125506765018e-06,-1.2756238950215e-06,-1.17575451942951e-06,-1.01259631210206e-06,-8.81777807346919e-07,-8.16585678281773e-07,-7.58448817854127e-07,-7.95450542758751e-07,-8.05979871855902e-07,-7.87637235438177e-07,-7.86722252846702e-07,-7.94269129211666e-07,-6.98358678819029e-07,-1.19960397661538e-06,-1.00411166832437e-06,-1.88425176840567e-06,-2.63199718933116e-05,-3.57433482604073e-05,-2.96969247399801e-05,-2.36935755258507e-05,-2.59463523318946e-05,-2.20652277802813e-05,-1.69802793323406e-05,-1.566854068742e-05,-1.28165454670164e-05,-1.15813084220227e-05,-1.22708581405151e-05,-1.16038984514057e-05,-1.1235769432929e-05,-9.71156052522071e-06,-8.87301230026338e-06,-8.75176382117448e-06,-8.88744759107407e-06,-9.02773444103078e-06,-8.26178978701675e-06,-8.34717690978115e-06,-7.79596186434927e-06,-7.16466098523072e-06,-6.13694413230736e-06,-5.76560673452442e-06,-5.84592485271173e-06,-5.57288410571976e-06,-4.58845899007942e-06,-4.17231365023124e-06,-3.38906606690836e-06,-2.81023698749455e-06,-2.65706541302951e-06,-2.58247165629455e-06,-2.74818171073312e-06,-2.69664405824321e-06,-2.60963330187824e-06,-2.49740246688379e-06,-2.36932750613407e-06,-2.05588599264872e-06,-1.64760073911173e-06,-1.59531085983795e-06,-1.37751830731469e-06,-1.14366086415404e-06,-1.04101201716901e-06,-9.17240277603738e-07,-9.96415121523235e-07,-9.80754743237426e-07,-1.01498955374239e-06,-9.09248429164243e-07,-7.45229318392315e-07,-6.28883535552956e-07,-5.61533839980979e-07,-5.45718278986127e-07
"mu_m_K_ALDO",7.09384521044854e-08,-1.25127861468233e-07,-1.8525857956897e-07,-1.82100956078291e-07,2.67610396718521e-07,2.12013324412563e-07,4.69609609203392e-07,2.86223226116267e-07,-1.35664521021095e-07,-1.9151330853413e-06,-2.55849257828933e-06,-3.94153941632425e-06,-3.49118388453329e-06,-4.02658379031928e-06,-3.4625145972571e-06,-3.08356574950186e-06,-2.60935762629688e-06,-2.07470456404191e-06,-1.99464530256066e-06,-2.11617699373334e-06,-1.98309682360354e-06,-2.06940643383635e-06,-1.91538074781034e-06,-1.56722780993079e-06,-1.34617500720385e-06,-1.20212207582993e-06,-1.1455784625084e-06,-1.15501463451867e-06,-1.1899623322314e-06,-1.07723467913903e-06,-8.89854798144796e-07,-7.37658388313925e-07,-6.00458258573772e-07,-4.57953868811034e-07,-3.16131901770628e-07,-2.10584504023309e-07,-2.09215890056777e-07,-2.50831205245334e-07,-2.39253403661821e-07,-1.93929658823401e-07,-2.65450658355933e-07,-2.83497834564109e-07,-2.0974622066202e-07,-1.47896510713823e-07,-1.92651062222587e-07,-4.15013646571594e-07,-6.77377044359773e-07,2.09785425258602e-06,-1.14680007727195e-05,-1.97460410115404e-05,-1.67845103111546e-05,-1.43304466716856e-05,-1.31854948322836e-05,-9.66616412534549e-06,-8.14688197503521e-06,-8.43485709320291e-06,-8.01409089835658e-06,-7.12937067414732e-06,-6.38247815493909e-06,-3.82602014005151e-06,-1.346271495132e-06,-1.08919176107936e-06,-3.56245062341555e-07,-2.37432984037778e-07,-4.74207979523922e-08,-1.37839098451221e-07,-4.82290437586754e-08,-9.07977717158782e-07,-6.13132924287997e-07,4.90384386835573e-07,-3.56019462810511e-08,-7.02678236747968e-07,-1.23569774492494e-06,-1.18854500960464e-06,-1.28845426659918e-06,-1.41351781989663e-06,-1.84820237641764e-06,-1.48333321366678e-06,-1.34269683955096e-06,-1.11510099716644e-06,-8.5756041308266e-07,-8.47084602599581e-07,-7.41154382971067e-07,-7.25371020713907e-07,-4.85998140721631e-07,-4.41463553442449e-07,-5.17356510563936e-07,-5.54301669454625e-07,-4.54666938890542e-07,-4.85828295990102e-07,-5.05547536228044e-07,-4.3198075539315e-07,-4.67465196521466e-07,-4.92072796397299e-07,-5.53322779508085e-07,-5.60608333845751e-07,-5.35462895396241e-07,-4.88320301140867e-07,-4.31562527075172e-07,-3.82239929074619e-07
"mu_P_ECF",-4.39010981967414e-09,4.53962791357903e-10,-1.43738870502119e-07,-2.07349225145759e-07,-4.3028661859168e-07,-8.57539529622198e-07,-2.01574815455352e-07,1.61360474134398e-07,2.58869261327011e-07,-4.45143730268605e-07,1.10922609058672e-06,1.27414544583493e-06,4.92358768571677e-07,-2.99517621464851e-07,5.57871311546111e-09,6.48710303226884e-07,1.89609297829829e-06,1.84428881001819e-06,1.69740025261678e-06,1.88618171812272e-06,1.73728980620802e-06,1.45030968379811e-06,1.26942487787091e-06,1.31345192392729e-06,9.53773778343549e-07,5.46014220812908e-07,2.57139338249225e-07,1.09788618278096e-07,2.61547503474819e-07,3.64279573900118e-07,3.10576426221288e-07,2.12888520001814e-07,1.14668245395467e-07,1.61743086661587e-09,9.65026248624128e-09,1.45527418414018e-07,1.24520486344162e-07,1.60695082188855e-07,9.97238564562493e-08,5.09089035548098e-08,8.9613696497841e-08,1.24355170456714e-07,1.94858003946488e-07,8.73615410305966e-08,1.68847117990408e-09,4.12450861937258e-07,-1.67023858248072e-06,-1.68562143062801e-06,-1.41533588620213e-05,-2.06378997185226e-05,-2.0041957291884e-05,-1.83818390742694e-05,-1.83810883198348e-05,-1.38497258028938e-05,-1.47285862676014e-05,-1.03600914600595e-05,-1.3692232285762e-05,-1.30744526099065e-05,-1.35614953592294e-05,-1.42661969148907e-05,-1.32502281290865e-05,-1.26328879090267e-05,-1.04953043130895e-05,-1.01557670590249e-05,-9.65316409050887e-06,-9.53266359864813e-06,-7.2820355279839e-06,-6.27181620283724e-06,-6.54596488724702e-06,-5.75790373413687e-06,-5.67398152485199e-06,-5.80959678009263e-06,-5.92073963882001e-06,-5.78439394031449e-06,-4.93027792657408e-06,-4.17528428362901e-06,-4.48841564169889e-06,-4.05578940330631e-06,-3.3351992377027e-06,-3.449085308598e-06,-3.27254781911712e-06,-2.95465732228142e-06,-3.05460897876614e-06,-2.90174506729318e-06,-2.75357410181579e-06,-2.34415649121893e-06,-2.11088824062738e-06,-2.24181701342054e-06,-2.05770055006717e-06,-1.56016408944332e-06,-1.43423232634177e-06,-1.51012045365751e-06,-1.51360958070498e-06,-1.35609519484079e-06,-1.40473112724674e-06,-1.34358172766318e-06,-1.2104623229191e-06,-1.12020485363768e-06,-9.05147204958796e-07,-7.3640670786982e-07
"mu_FF",3.06802860716715e-09,-2.93713993726463e-08,9.23792667961719e-09,2.81279365439424e-08,7.27346949469522e-08,1.95078442044139e-07,5.18353102421099e-07,6.30984920449329e-07,6.22417070739624e-07,9.15270011101479e-07,2.2677437219665e-07,4.23938394257475e-07,4.04812219249709e-07,-3.68213330326196e-08,7.72666179793992e-07,5.91105869677701e-07,7.71887995854705e-07,5.94264925800393e-07,6.63340605319696e-07,9.54366235652261e-07,8.81870460217483e-07,7.26036110440199e-07,6.61486770313192e-07,6.44198155494936e-07,4.69562832630778e-07,3.18963961133401e-07,1.80619873167477e-07,2.40554440075925e-07,2.22065985035991e-07,2.40812463853019e-07,2.23603988731891e-07,1.96091252530742e-07,2.27512874900638e-07,2.35046045133247e-07,1.87101083249722e-07,1.58733941320155e-07,1.16781940260727e-07,1.27826288436481e-07,2.28441765014714e-07,2.50753921419121e-07,1.37122480161261e-07,-3.208090772586e-08,-1.32223639451798e-07,-1.32453859674402e-07,-8.22265357241918e-08,9.91922370914384e-08,7.66356055702744e-07,-1.99313102041998e-06,5.39547791475314e-06,1.64207642581324e-05,1.24318496917653e-05,1.23255436263428e-05,1.12247888577279e-05,7.50192431430108e-06,7.08360358053639e-06,6.22911739674237e-06,4.93676072059568e-06,6.22476552929996e-06,5.48002200489784e-06,2.80331831863024e-06,2.47731059566103e-06,2.29745067494003e-06,1.20753281796127e-06,1.12291349702698e-06,2.7127198591197e-06,2.50993623648199e-06,1.07753412253287e-06,2.51899867854677e-06,1.61624126940585e-06,3.66613747023603e-06,3.12090491055495e-06,3.03728483243315e-06,2.26122065278867e-06,2.60776810907504e-06,2.52378543867005e-06,2.22828914803203e-06,1.72348663292116e-06,1.80921754432312e-06,1.93614798497977e-06,2.0672797992779e-06,2.03476509366171e-06,2.02622668834818e-06,2.1651747310848e-06,2.13391780956424e-06,2.20268729450897e-06,2.07615967146821e-06,1.85033019973831e-06,1.6999551372926e-06,1.37585757325305e-06,1.173339529474e-06,9.50627932783874e-07,9.75776434874975e-07,8.82951128111654e-07,6.0287655544615e-07,4.49349318212251e-07,5.70069148963699e-07,6.6518501059049e-07,5.06804420226392e-07,2.65440383085502e-07,2.2787172542025e-07
