"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",0.0910490808163082,0.121651097376424,0.141711964727093,0.154076661702496,0.161642871414192,0.166307759506986,0.16921530919137,0.171048187975796,0.172214406494506,0.17296111893331,0.173543198889494,0.174246698311979,0.175069742647809,0.175942824177176,0.17681542604324,0.177657098846527,0.178453219760501,0.179197297196841,0.179887761009925,0.180526146113969,0.181115285028311,0.181658331087757,0.182159267889944,0.182621511036918,0.183048816147541,0.183444602115642,0.183811619000142,0.184152983607306,0.184470862452057,0.184768175415261,0.185046424747452,0.185307706030203,0.185553683130596,0.185785916848649,0.186005723302307,0.186214121698399,0.186412627695826,0.186601787855401,0.186782759427203,0.186956318986532,0.18712283607264,0.187283586559739,0.187438594222222,0.18758841312353,0.187733892046946,0.187875116455113,0.193237255803783,0.196026242880776,0.197099843639742,0.198257696877885,0.202195557302114,0.208183752718607,0.215268573696657,0.222814521996104,0.230559425324364,0.235953789662318,0.239530541940561,0.241772443174024,0.243087076655674,0.243760837111531,0.243933326053277,0.243702391157591,0.243141023586372,0.242287499628479,0.241170257237464,0.239869691821556,0.238378003562925,0.23672389862358,0.234911796056499,0.232928739018068,0.230769814952802,0.228508590152596,0.226127506039765,0.223504062667687,0.22062788500062,0.217599057868005,0.214224310133116,0.210531416782585,0.206354517408536,0.201602901267844,0.19626448239045,0.190111580283144,0.18679436790166,0.18497246794731,0.183985043155279,0.18351064841565,0.183335106074761,0.183331008742235,0.183423921794248,0.183570682673545,0.18374618561703,0.183936009192157,0.184131054672493,0.184326859014478,0.184519989908463,0.184708988877927,0.184893199476767,0.185072220356406,0.185245766685406,0.185414106003397
"mu_V_inter",0.392796619184615,0.389112466904712,0.388473961200915,0.388612076108169,0.388904118460055,0.389173754389099,0.389382744407909,0.389533568537609,0.389638487903003,0.389709181834956,0.389766869061506,0.389819482093948,0.389898927595855,0.390012314778939,0.390155778143794,0.390324036069217,0.390513007205967,0.390719115954021,0.390939260805605,0.391171869863465,0.391414703496364,0.391666757001412,0.391926838716993,0.392194336633244,0.392467744377654,0.392746969247626,0.393031303389215,0.393320328786633,0.393613447635144,0.393910011160593,0.394210227048593,0.394513585960447,0.394819568098926,0.395127923589124,0.395438885285324,0.39575161065958,0.396066607855466,0.396383102561077,0.396701281871723,0.397020919302423,0.397341626112,0.397663836484957,0.397987007567359,0.398311278236751,0.398636271432229,0.398962220555677,0.438788071004671,0.472699823992464,0.49931495676852,0.521217188020185,0.540270134750342,0.556943737169234,0.571950165139026,0.585451026003989,0.598230874206851,0.595255022512303,0.590587378402148,0.585825341934259,0.581054773747652,0.576265999495936,0.571316145635228,0.566204361123595,0.560934455936575,0.555439944906267,0.549715079485338,0.543929725900891,0.537831657152832,0.531522508402348,0.524951355006606,0.51804566743498,0.510726278534275,0.503325135286348,0.495669216598457,0.487316627660304,0.478428956754693,0.469394212163265,0.459455325173681,0.448731466823099,0.436984360330369,0.424245999554976,0.410319024452097,0.394698467397002,0.393177095525259,0.39344817835465,0.393666760148769,0.393891167000999,0.394132480317888,0.394389516097473,0.394658916880558,0.394937953646302,0.395224189777067,0.395516202233883,0.395812707109914,0.396113060180491,0.396416550279689,0.3967226951675,0.397031247554502,0.397341838916481,0.397654116646287,0.397968310995126
"mu_V_muscle",-0.596913029398102,-0.622974660948828,-0.634252397054132,-0.638962327412578,-0.640547412390775,-0.640568858493197,-0.639781251558063,-0.638567536455841,-0.637130140060358,-0.635580373921499,-0.633495273835403,-0.629920331894158,-0.624685110618341,-0.617844049823782,-0.609510200699824,-0.59981083922881,-0.588873347608286,-0.576816428429603,-0.563749983421168,-0.549773897278426,-0.534978240609165,-0.519443965372384,-0.503244251261326,-0.486444312769482,-0.469103146313563,-0.451273355308877,-0.433002356684635,-0.414333045549658,-0.395303574901191,-0.375948117009671,-0.356298249538524,-0.336381210928307,-0.316222733604818,-0.295845381124509,-0.275269431203201,-0.254514091689627,-0.233595036192877,-0.212528014611207,-0.191327106682951,-0.170004084030932,-0.148570389997452,-0.127036483778093,-0.105411226456656,-0.0837033821107323,-0.0619206320473068,-0.0400696735327492,-0.0929150275186791,-0.158330274843476,-0.23297724924419,-0.31244077169461,-0.388343591250555,-0.457306418517656,-0.519558395562887,-0.575898157189331,-0.627262520073146,-0.650110135776641,-0.665772917187455,-0.67703331891921,-0.684898249598102,-0.68995962555323,-0.692423487442253,-0.692546169869214,-0.690593177454301,-0.686703332213581,-0.68088876637314,-0.673375364153579,-0.663875373046975,-0.652436897966799,-0.639137436900458,-0.62396259653496,-0.606850878388865,-0.588256483645761,-0.568095754078706,-0.54556853027104,-0.520923952749261,-0.494769140206742,-0.466042227767953,-0.434981956225447,-0.401351654801473,-0.365152667920466,-0.325771982018418,-0.282250841531432,-0.261095417141207,-0.242645937744025,-0.224477182364082,-0.206243166900426,-0.187806697702324,-0.169118548822932,-0.150167380840597,-0.130958773962716,-0.111505441095697,-0.0918223422560011,-0.0719263927762596,-0.0518332648171885,-0.0315584779789932,-0.011116700786525,0.00947882332865256,0.0302157434670396,0.051082512046231,0.0720685322991894
"mu_kgut",0.00932956412598109,0.0211077469582955,0.0331041586577581,0.0446903116735313,0.0556484828589824,0.0659192020949038,0.0755098620271095,0.0844538619999776,0.0927940761501382,0.100575734469266,0.107621620796415,0.113217219450338,0.117159267493394,0.119588788622025,0.120702330442562,0.12070052129998,0.119769474100168,0.118075326753345,0.115762650744134,0.112955961903124,0.109762089775802,0.106271585022409,0.102561011252661,0.0986945881326163,0.0947268541145133,0.0907023428752609,0.0866586361915622,0.0826263477100913,0.0786302635158788,0.074691222965973,0.0708252377419468,0.0670451215979566,0.0633611921524462,0.0597804135052717,0.0563086477048477,0.0529494633875592,0.049705094154476,0.0465770433377142,0.0435647416441545,0.0406683063005075,0.0378858284917368,0.0352155903641029,0.0326554700647781,0.0302027275502283,0.0278544162731697,0.0256078030912015,0.0324485453779884,0.0632463564931886,0.123596817166583,0.201210311128914,0.275847677147417,0.343159458778629,0.402035128677608,0.452598911742504,0.495435266633809,0.531603211339466,0.561538146329362,0.585937869512192,0.605491958936704,0.620820782861081,0.6324757645722,0.640939015743411,0.646631515311872,0.64984802670085,0.650423672103803,0.648464000691005,0.644193095691629,0.637875751959408,0.629808912536548,0.620201722266905,0.609179969389777,0.596936907346634,0.583621024824099,0.569337166838001,0.55464785771398,0.540038642115085,0.525680620177071,0.511666861271941,0.498041038419659,0.484833012265986,0.472061840381095,0.459735437537773,0.448025900624321,0.436784339554286,0.425987175493765,0.415626684425507,0.405693960854455,0.396178024184391,0.387067647451832,0.378350696321987,0.370014522785085,0.362046224121009,0.354432904885065,0.347161290239162,0.340218471553293,0.333591493239116,0.327267676783995,0.321234598384706,0.315480140946219,0.309992578961141
"mu_Km",-0.0755939935857147,-0.077184787198605,-0.077993095407378,-0.0785540024241338,-0.0790388876920844,-0.0795029320978678,-0.0799648748996633,-0.0804294023871942,-0.0808972164127909,-0.0813680039422825,-0.081804254127838,-0.0821776647171644,-0.0825263208326602,-0.0828707052799136,-0.0832220468873584,-0.0835838639741828,-0.0839580797675417,-0.084345074730809,-0.084744477415605,-0.0851557509097826,-0.0855778424285248,-0.0860100656954009,-0.0864513428384148,-0.0869012433279981,-0.087358782931306,-0.0878232179244164,-0.088293958212627,-0.0887703814283824,-0.0892521570443581,-0.0897387857690633,-0.0902297687136667,-0.0907244990618797,-0.0912231754205477,-0.0917249305049329,-0.0922299248453992,-0.092737386504962,-0.0932477981804314,-0.0937605200064527,-0.0942751822044348,-0.0947923180473616,-0.0953111333234294,-0.0958315111121197,-0.0963538256173239,-0.0968774998804713,-0.0974026677045559,-0.0979290982308054,-0.108430830765077,-0.118276950973511,-0.12683404253294,-0.134096472184779,-0.140247689800403,-0.145556932673197,-0.150308971497452,-0.154640554571468,-0.158712721757593,-0.159445749686832,-0.159638369528682,-0.159656711970084,-0.159573863267608,-0.159418857568042,-0.159178071478523,-0.158852911268533,-0.158451989554498,-0.157974195451174,-0.157404654671626,-0.156777503628177,-0.156044741698696,-0.155238912582945,-0.15433758133708,-0.153335945678496,-0.152229775644386,-0.151084592923073,-0.149874763085441,-0.148487777200371,-0.146950579650691,-0.145307600718347,-0.143427450898123,-0.141349279382154,-0.138992455377602,-0.136371271665686,-0.133467634578015,-0.130090418523095,-0.130131467272925,-0.130582778442731,-0.131056555749455,-0.131538677040489,-0.132025002034876,-0.132514540084438,-0.133007142330502,-0.133502693007118,-0.134000940580992,-0.134502127467054,-0.135005993510713,-0.135512101577261,-0.13602110724999,-0.136532111911934,-0.137045516865312,-0.137560817437446,-0.138078130839116,-0.138597333172667
"mu_Vmax",0.00380825692472368,0.00211914316937251,0.00115133472884702,0.000657675102607101,0.000395814969038156,0.000252214279678469,0.000171061471824544,0.000123910255156744,9.60419918542073e-05,7.96053679747786e-05,6.56774495703872e-06,-0.000108433218331101,-0.000228836881288771,-0.000345894775263361,-0.000456099897038783,-0.000558204802553007,-0.000652513633718968,-0.000738983268683313,-0.000818409039094647,-0.00089125042492627,-0.000958193465635873,-0.00101976918730992,-0.00107652862625171,-0.00112896065061337,-0.00117733793326028,-0.00122220471195988,-0.00126399960266903,-0.00130291688234834,-0.00133916349581774,-0.00137310151351282,-0.00140506968317422,-0.00143518435102202,-0.00146334725078135,-0.00149019989566943,-0.00151539106404134,-0.00153976413178331,-0.00156291679342591,-0.00158485457337771,-0.0016059192480086,-0.00162629263042652,-0.00164577482358278,-0.00166446774511141,-0.001682891447307,-0.00170039311506672,-0.00171740819760453,-0.0017340866942303,0.00389417735314026,0.00487281385500611,0.00558835158380025,0.00570603207612621,0.00536886211311344,0.00498044543711728,0.00454045146064027,0.00415841300326707,0.00381293942536345,0.00178679421087514,0.00134058514216181,0.00100710275590627,0.000766743465535598,0.000548852077008704,0.00034780052142699,0.000178675743842433,1.85885789199603e-05,-0.000137991530805351,-0.000274025293373,-0.000418965668978146,-0.000565884536027951,-0.000711178993630739,-0.000864807627727032,-0.00102318995511104,-0.00117605047666224,-0.00124540933057931,-0.00141177834212111,-0.00160879608402,-0.0017761157778192,-0.00195901692166426,-0.0021586311953714,-0.00229337533649031,-0.00255563837616825,-0.0027139225625629,-0.00302065453149949,-0.00351002569861431,-0.00152966416837984,-0.0014007006773804,-0.00136065229539781,-0.00135798443683936,-0.00137246034087489,-0.00139458102649772,-0.00142017269239021,-0.00144701231788396,-0.00147390823877114,-0.00150029889488968,-0.00152599808527938,-0.00155051532763882,-0.0015745420245719,-0.00159753643223932,-0.00161949591323055,-0.00164097868251385,-0.00166165595397715,-0.00168170257807405
"mu_m_K_ALDO",-0.286703303623273,-0.316619466406398,-0.332374292629114,-0.341187223635166,-0.346431510230676,-0.349754168419022,-0.352005505541497,-0.353640872861175,-0.35491410881924,-0.355970274570604,-0.357085690863552,-0.358441187970262,-0.359897408062239,-0.361376595043159,-0.36284277643191,-0.364280513076215,-0.365683384377487,-0.367049391791006,-0.368379335019967,-0.369675778347731,-0.370940881131395,-0.372177034749111,-0.373387093858641,-0.374573584917169,-0.375738768637383,-0.376884732880752,-0.378013389165041,-0.379126640267535,-0.380225624782151,-0.381312305624316,-0.382387609363176,-0.383452688796629,-0.38450864528534,-0.385556266374234,-0.386596452399745,-0.387629918268563,-0.388657403566033,-0.389679300900265,-0.390696345443871,-0.391708739066521,-0.392717250929868,-0.39372177133533,-0.394723178215686,-0.3957214111213,-0.396716985142813,-0.397709850138645,-0.403038601926529,-0.405515276808494,-0.404339315753234,-0.402464672159454,-0.402894722949046,-0.403809849097306,-0.404894523850165,-0.406105641865876,-0.407554120456034,-0.407948367573829,-0.407389024074447,-0.406548924127444,-0.405664744031626,-0.404879941738899,-0.40416890203668,-0.403515140987986,-0.402961223046473,-0.402486298768637,-0.402026695526671,-0.401675625975902,-0.401310655549633,-0.400967840945322,-0.400590195812541,-0.40012456812024,-0.399538279797675,-0.399062669877501,-0.398680667002138,-0.398041289214021,-0.397086244942796,-0.395904604974377,-0.394213663150444,-0.392187223062179,-0.389635466245533,-0.386503637324901,-0.382848623430797,-0.377794709767733,-0.375823029152931,-0.375728632590174,-0.376180364200349,-0.376906755945111,-0.377776751248165,-0.378723576948135,-0.379711265947585,-0.380721035636019,-0.381741149396794,-0.382765491461998,-0.383790334285684,-0.384814201908699,-0.385835202535372,-0.386852858789425,-0.387867363811747,-0.388878212038202,-0.389885648168048,-0.390889871049501
"mu_P_ECF",0.0360199211192934,0.0371574895709512,0.0300787124746678,0.0228019590671365,0.0170050387935588,0.0127381804561595,0.00969324108590514,0.00754584902276714,0.00603561406140022,0.0049717047560201,0.00416086377978128,0.00330469540297773,0.00231806444430858,0.00124097215729003,0.000123684179923074,-0.000997160538188496,-0.00209744817891981,-0.00316411066897767,-0.00418998693196706,-0.00517239919560974,-0.00611146949946972,-0.00700842844658611,-0.00786612101868265,-0.00868676607644761,-0.00947376442787653,-0.0102298470752654,-0.0109577751571135,-0.0116602984658455,-0.0123397378424728,-0.0129985963566978,-0.0136383703286759,-0.0142614924020384,-0.014869599759708,-0.0154637014379287,-0.0160454385144358,-0.0166162260749944,-0.0171767000463927,-0.0177283745158627,-0.0182716151350289,-0.018807620155377,-0.0193369535520705,-0.0198601510733078,-0.0203778456424326,-0.020890649733527,-0.0213987817685537,-0.02190292704316,-0.0188379121156537,-0.00961083495514835,0.0018557202650081,0.0133777883590146,0.0218021824371405,0.0268551630390937,0.0293450467898274,0.0300829016872499,0.0297120973773882,0.0272652661171024,0.0236260364822665,0.0200169607011916,0.016740698617921,0.0138476466740082,0.0113033353750349,0.00905370293532315,0.00705759416700211,0.00527550040821711,0.00366069175543731,0.00217524643178282,0.000770466448358491,-0.000577789070838548,-0.0018847956845608,-0.00316443007963188,-0.00443511043405675,-0.005692939612712,-0.00693188036494442,-0.00818476033163576,-0.00945418552033209,-0.0106971848068477,-0.0119218215340975,-0.0131338702522862,-0.0143300115079197,-0.0154978210108329,-0.0166498036796546,-0.0178022932053645,-0.0183992609479745,-0.0181912502532357,-0.0180103121565323,-0.0180219017007445,-0.0182100262398271,-0.0185280946330456,-0.0189340348623581,-0.0193962429491134,-0.0198940433472311,-0.0204126469400615,-0.0209427787412601,-0.0214782360804282,-0.0220151209979923,-0.0225511231374354,-0.0230844682381062,-0.0236143758594188,-0.024140361880167,-0.024662504278975
"mu_FF",-0.000627944771394013,-0.00138554330989702,-0.00212358242939359,-0.00280342768014067,-0.00341519449393086,-0.00395961448881259,-0.00444127555628836,-0.00486591155789171,-0.00523946005577287,-0.00556783510951706,-0.00574702878124747,-0.00580919501496935,-0.00583868417909012,-0.00585357824234977,-0.0058610788268504,-0.00586482513102557,-0.00586670458185235,-0.0058672132799211,-0.00586696590024366,-0.00586660687838681,-0.00586587226712922,-0.00586489232857997,-0.00586401035434169,-0.00586301720305593,-0.00586188120622794,-0.00586072537740866,-0.00585974903435707,-0.00585845054078814,-0.0058574971301664,-0.00585632027547347,-0.00585514455250437,-0.005854093142889,-0.00585287401912463,-0.00585184152476121,-0.00585073518609829,-0.00584969994328803,-0.00584846425313661,-0.00584737306171319,-0.00584623765617387,-0.00584512023555345,-0.00584391570131739,-0.0058429001348913,-0.00584172954605993,-0.00584058381207301,-0.00583948176091906,-0.00583837584805915,-0.00770375552481758,-0.0230553674958716,-0.0557814217122067,-0.0994929584985503,-0.142955979422038,-0.183573342121784,-0.220520318547792,-0.253632746853882,-0.283016315730621,-0.309141901252555,-0.33207371100082,-0.35204701362221,-0.369314723260138,-0.384116063893349,-0.396672213699931,-0.407184602241383,-0.415836631153452,-0.422798865410869,-0.428268430505666,-0.432477380349124,-0.435644358431009,-0.437963011699181,-0.439596507680832,-0.440683129273932,-0.441350635931807,-0.441718155549257,-0.441875210072865,-0.44190857623657,-0.44187413981948,-0.441806860899153,-0.44172210676006,-0.44162718728983,-0.441525404502071,-0.441417619616075,-0.441306506198109,-0.441193328459519,-0.441121583521834,-0.441045887757816,-0.440967263986323,-0.440887122138099,-0.440806113104309,-0.440724627844047,-0.440643253930906,-0.440561475332704,-0.440479733529941,-0.440397957364329,-0.440316083155102,-0.440234465185837,-0.440152744028905,-0.440071241966664,-0.439989602927928,-0.439908048976329,-0.439826665560522,-0.439745214094775
