"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",-4.22240048045808e-08,-4.35924059409842e-08,-1.24422198540142e-07,-1.46179295384297e-07,-5.53134582736981e-08,-4.09354344405699e-07,-7.54595598962293e-07,-6.93829063338924e-07,-7.39104725110629e-07,-2.76863456337839e-06,-3.69101270187056e-06,-3.85844581816208e-06,-2.9276906601039e-06,-2.76145624463897e-06,-3.14508436059113e-06,-3.51316963875248e-06,-3.47583234621474e-06,-3.00288350438793e-06,-2.51362117183385e-06,-2.34080167924833e-06,-2.5092982999454e-06,-2.35192383008964e-06,-1.87088909329175e-06,-1.46556759406935e-06,-1.26504155335205e-06,-1.20846546344461e-06,-1.3200893543181e-06,-1.11764423593028e-06,-7.60790114019944e-07,-5.50224134093891e-07,-5.0948338894441e-07,-5.95745031772801e-07,-5.4675240464197e-07,-4.25003033720311e-07,-3.83177731222775e-07,-2.63137432859717e-07,-3.28949510083984e-07,-2.82065218221397e-07,-2.3115411002874e-07,-1.8133115285756e-07,-1.02194905505035e-07,-7.06773000263352e-08,-1.06605562482841e-07,-1.05733186979318e-07,-7.25769457139321e-08,-2.51446589190511e-07,-3.10785248771414e-07,-3.24151435618697e-07,-3.25265420236405e-07,-3.79570667714206e-07,-2.39364221607461e-07,-1.38655493292255e-07,-1.20644727699874e-07,-1.32990829191862e-07,-1.6258170168825e-07,-1.81134820281882e-07,-1.9201718372278e-07,-1.99052839595345e-07,-1.92697169975632e-07,-1.50890684511681e-07,-1.08211104344717e-07,-1.39252245387095e-07,-2.09840834600526e-07,-2.30938296695382e-07,-2.08038440179801e-07,-1.86077819711848e-07,-1.51605853327961e-07,-1.34411851152997e-07,-1.10868183498371e-07,-1.10731792387152e-07,-1.13635387854986e-07,-7.55082140384284e-08,-4.60927967842968e-08,-3.21096050145173e-08,-4.11143125687126e-08,-4.69068019589361e-08,-4.68520599398772e-08,-3.34854671321181e-08,-2.44376973736491e-08,-2.21234051703658e-08,-1.96998483609724e-08,-1.68216727270489e-08,-9.82986305808002e-09,-8.72749442848068e-09,-1.48270931300142e-08,-1.62375569777833e-08,-1.02267380419363e-08,3.34555232472623e-09,3.36046283610992e-08,3.15983440420427e-08,1.11291681887295e-08,-4.82850417209621e-09,-1.36151009133807e-08,2.79392513225315e-09,2.10005603364937e-08,2.80244935566423e-08,2.25747724634778e-08,1.33739764559177e-08,6.13678066809874e-09,4.84900684841379e-09
"mu_V_inter",1.25347804136304e-10,7.82087675381682e-08,-2.15587767637971e-08,6.45147047544368e-08,-1.12003885618162e-07,-1.05889772430423e-07,5.94577096357788e-09,4.88374377898283e-08,1.58246867250078e-08,1.08137940817878e-07,4.03014678824399e-06,3.70640756452723e-06,3.99574523654867e-06,3.74115803792408e-06,3.46946380099955e-06,3.61223154162915e-06,2.89205173333418e-06,3.39778422966808e-06,3.65588348437762e-06,3.28117425720298e-06,2.8563563694235e-06,2.6185095995841e-06,2.6885910189508e-06,2.55429382728395e-06,2.20620957681217e-06,1.92952978297334e-06,1.71055015229293e-06,1.54591758033135e-06,1.31464928118838e-06,1.17261086663781e-06,1.05371990473138e-06,9.51502189305176e-07,7.86029335769892e-07,6.51955664834711e-07,6.11271140188857e-07,5.72868112541453e-07,5.6026104441307e-07,5.44703870149932e-07,4.84896331268019e-07,4.39214219252977e-07,3.21125231024455e-07,1.94599628237973e-07,1.49282565982227e-07,9.02797097414902e-08,3.75289443590324e-09,6.06665348619786e-08,1.2776155963691e-07,4.39183610763516e-08,3.14485418873701e-08,-3.85080267255553e-08,-3.13330894121179e-08,-5.62213261375608e-08,-5.27922988998582e-08,-5.18062497012688e-08,7.13599053800923e-08,7.05858944144786e-08,7.17371897083517e-08,7.18401919670311e-08,6.65395100733647e-08,5.8688467767211e-08,1.98157846252958e-10,-2.94909094488194e-08,1.66689631153546e-09,5.75742051968223e-09,-3.56304730798529e-09,1.81489494546633e-08,3.08639001437131e-08,2.82516804714476e-08,1.59198447917403e-08,3.37614325871403e-08,4.38146807155758e-08,2.18817385773654e-08,-3.89097005003933e-10,-5.87924077132731e-09,-1.65592006862492e-08,-4.49526104449788e-09,9.86423116685573e-10,6.98474281656873e-09,2.29930280478127e-08,4.48573807176503e-08,4.94632544118218e-08,5.34833340278428e-08,5.55381640941713e-08,7.01373294714429e-08,7.43600665628582e-08,8.05432169926089e-08,8.21117975401487e-08,7.68359299372893e-08,7.1074692879746e-08,7.20891546607321e-08,4.01917745191834e-08,7.39430658572546e-09,-1.78490453094635e-08,-2.28445020928095e-08,-2.23573633794399e-08,-2.24890361436347e-08,-1.92786926391468e-08,-1.49350351526914e-08,-1.42514916654385e-08,-6.66992642274331e-09
"mu_V_muscle",-2.25977826051605e-09,-2.3829739101977e-09,8.29849279293518e-09,-2.79160088045849e-08,-1.26273277002653e-07,-4.24933861274291e-07,4.32189799308702e-08,3.97285934630176e-07,7.23932140953565e-07,-1.67282089700294e-06,-1.18627123762893e-06,-2.67210573951626e-07,-1.69982425683111e-07,6.4774184231542e-07,4.41419639598762e-07,7.94066992497955e-07,1.54885777986169e-06,9.9094061432492e-07,4.75797273078671e-07,2.72220389589962e-07,2.44863027573207e-07,3.19963224377552e-07,3.77147758540476e-07,5.52405739693564e-07,4.50420613905657e-07,1.52250099099528e-07,2.21587220076315e-07,1.58046233450755e-07,1.19994563214516e-07,9.13569321092667e-08,1.30461123349858e-07,7.2924337286535e-08,2.81949851629752e-08,-7.67738383188462e-08,-6.52236924991991e-08,1.21032941634021e-08,1.27020515803302e-07,9.08242795884878e-08,9.05536416917071e-08,5.9756266308292e-09,-1.51539927014107e-07,-2.3172533220939e-07,-2.64902417820962e-07,-2.64040732419118e-07,-2.16897527668902e-07,-3.59048245003343e-07,-4.79225245068687e-07,-4.2526133131617e-07,-4.37250513157668e-07,-3.98185599022691e-07,-3.76986449568537e-07,-3.26285208212282e-07,-2.60046130260277e-07,-2.90414940315056e-07,-2.44566665905983e-07,-2.21016276792698e-07,-1.92319540680454e-07,-1.68007037629141e-07,-1.69449472483572e-07,-1.29447515688755e-07,-1.00368504317687e-07,-6.65453046499585e-08,-6.52030993214412e-08,-4.14710735513861e-08,-2.23109682690842e-08,-7.6854647883991e-08,-1.06191503207624e-07,-8.60084822143992e-08,-8.17400011399265e-08,-5.80229801175925e-08,-4.29752965447482e-08,-4.16434628755182e-08,-9.63099236676632e-09,1.71905177389173e-08,2.89027911348468e-08,3.90749944680507e-08,2.71636555008448e-08,9.79015246784084e-09,-1.49228421728815e-08,-3.08583008520158e-08,-2.92982454072171e-08,-2.08201475224923e-08,-1.57992199159817e-08,-8.42787184477692e-09,2.69440404568602e-09,2.99609817705211e-08,5.85466031114535e-08,8.47575851673589e-08,1.12683170159193e-07,1.18373963670057e-07,1.00647008392768e-07,9.02599576208137e-08,8.87328631798058e-08,8.06731642019494e-08,6.86183739518337e-08,5.41891120718965e-08,4.24117863608853e-08,3.52490210503461e-08,2.95765202851643e-08,2.15807512009595e-08
"mu_kgut",-0.416698224408099,-0.795038363194183,-1.13941220673941,-1.45364580236066,-1.74107585134126,-2.00461558132067,-2.24681310848222,-2.46989818289949,-2.67582648721386,-2.86630536809881,-3.02238764231162,-3.13005576327265,-3.1973293469849,-3.23104862878625,-3.23704313346255,-3.2202754268414,-3.18496519561025,-3.13469317714059,-3.07249499523541,-3.0009374522594,-2.92218858847512,-2.83807278540559,-2.75012129798097,-2.65961449974688,-2.5676189058943,-2.47501814080505,-2.38254089607005,-2.29078372283376,-2.2002305248694,-2.1112698050836,-2.02420963960073,-1.93928961009735,-1.85669198571858,-1.77655060430534,-1.69895870667182,-1.62397561681013,-1.55163262269006,-1.4819377665587,-1.41487990513448,-1.35043210096983,-1.28855516049809,-1.22919973635224,-1.1723085158975,-1.11781794098236,-1.06565981201856,-1.01576303529151,-0.968053404886841,-0.922456091622083,-0.878895603110817,-0.837296339915267,-0.797583318536796,-0.759682352917347,-0.723520439481823,-0.689026410475674,-0.656130746506367,-0.624765203103604,-0.594864215771204,-0.566364052104133,-0.539203097754528,-0.513321886510383,-0.488663087273577,-0.465171571624061,-0.442794294837081,-0.421480387264969,-0.401180899545057,-0.381849107262657,-0.363440125402609,-0.345910947221534,-0.3292204258304,-0.313329293927323,-0.298200040690296,-0.28379674148621,-0.270085039514333,-0.257032239743242,-0.244607110945824,-0.23277980188667,-0.221521849286634,-0.210806123242457,-0.200606762996923,-0.190899106056883,-0.181659625481468,-0.172865904597645,-0.164496577631251,-0.156531300361792,-0.148950681494995,-0.141736227523798,-0.134870342966852,-0.128336286772433,-0.122118090630747,-0.116200554296958,-0.110569184688876,-0.105210193622076,-0.100110435277153,-0.0952574400111673,-0.0906393048890066,-0.0862446747571519,-0.0820627465743364,-0.078083272189289,-0.0742964770304329,-0.0706930544166274
"mu_Km",-5.49105315617026e-09,5.95170214352513e-08,3.10518078530108e-08,-1.08614608207436e-07,1.32551203964937e-07,-5.94957319410861e-09,-2.5501616020085e-07,-1.02217001439087e-07,2.09454612997817e-07,-1.41070475190608e-06,-6.75429948707062e-07,1.58767626146084e-07,-5.1482296474692e-07,-3.90938555347999e-07,-2.7559641527697e-07,-2.15504107489162e-07,-7.00292189631081e-07,-2.75256325274809e-07,-3.42616806395802e-07,-4.42116607388245e-07,-5.76716415243707e-07,-4.68098707261834e-07,-1.31761629927286e-07,1.50864322520038e-07,3.1179786679547e-07,3.61653934577655e-07,2.05995000830073e-07,9.1975000436534e-08,2.87583329612845e-07,2.6464691365008e-07,2.72297623008871e-07,3.12181060058092e-07,3.18323312952146e-07,3.49317207323022e-07,2.8555263881333e-07,2.78769261793738e-07,2.80648559063228e-07,3.13505407989537e-07,3.29075194954933e-07,2.80494132587871e-07,2.8029216364886e-07,2.74025596094054e-07,3.47504119050067e-07,3.03248678464426e-07,2.55408425278613e-07,2.14567134722116e-07,1.0253856932998e-07,6.98816448856245e-08,1.07204062332911e-07,1.24323900556701e-07,1.65672303849603e-07,2.05895303680029e-07,1.70126545541793e-07,1.24174432594655e-07,1.72693289069014e-07,1.46888964784022e-07,1.2217621454758e-07,1.03641342612624e-07,8.23396806064246e-08,5.39455595040403e-08,9.98220293773375e-09,1.62454773150577e-08,1.10389092643895e-08,4.67119211219467e-08,3.82491542006399e-08,1.09119750811421e-08,1.3431310109925e-08,5.07660875355516e-09,-3.48830430368804e-08,-4.50871281698671e-08,-2.9850853014792e-08,-2.81938360634064e-08,-2.46583659636938e-08,-2.69902535540193e-08,-3.00097220876517e-08,-3.66636335176766e-08,-2.53988390129429e-08,-2.14063227967496e-08,-3.51244124551625e-08,-4.22588017823684e-08,-4.72413725431884e-08,-3.99170499052648e-08,-3.63174129441173e-08,-3.20127932195797e-08,-2.92941151665194e-08,-4.00615686298382e-08,-5.85462740768785e-08,-6.78885415382849e-08,-6.53465929361386e-08,-5.82382481616687e-08,-5.44877343071052e-08,-4.6195929021029e-08,-2.95328446723465e-08,-8.29647326392924e-09,8.53556166684454e-09,1.55106315587593e-08,1.36985454893724e-08,9.2040049497444e-09,8.54626843996443e-09,1.05931802495799e-08
"mu_Vmax",-2.45321922855979e-08,1.03044118258122e-07,1.20580955364602e-07,-8.86171389509195e-08,-2.95967427174304e-07,-7.0300395169598e-07,-7.91178127700576e-07,-5.87056635811489e-07,1.47277640762944e-08,1.50620177886029e-06,-1.99528681618588e-06,-1.07125694619015e-06,-1.34622221667469e-06,-1.62945801036552e-06,-3.1885753251828e-06,-3.49669757659621e-06,-4.2776083010212e-06,-5.81624845474271e-06,-6.16340555239048e-06,-6.23386078241561e-06,-5.773521054242e-06,-5.40533633468554e-06,-4.94119936266257e-06,-4.71040486984103e-06,-4.18891630085405e-06,-3.47431342726262e-06,-2.82375519698885e-06,-2.41981102951686e-06,-2.02208590906497e-06,-1.68276050309563e-06,-1.489344106191e-06,-1.29721381449446e-06,-1.20125506765018e-06,-1.2756238950215e-06,-1.17575451942951e-06,-1.01259631210206e-06,-8.81777807346919e-07,-8.16585678281773e-07,-7.58448817854127e-07,-7.95450542758751e-07,-8.05979871855902e-07,-7.87637235438177e-07,-7.86722252846702e-07,-7.94269129211666e-07,-6.98358678819029e-07,-7.71437253146327e-07,-7.92345497455376e-07,-6.03009763421644e-07,-5.9249258439641e-07,-5.59400156021652e-07,-5.42018155853381e-07,-5.52597079237194e-07,-5.88402626486609e-07,-5.14380309673823e-07,-3.14961038197383e-07,-3.09512409377663e-07,-3.12490782155226e-07,-3.03711501300213e-07,-2.40430198799888e-07,-1.77597697470377e-07,-1.5917569219621e-07,-1.72218076431959e-07,-1.36539985817338e-07,-1.13504806831255e-07,-1.29766672840128e-07,-1.28542365361167e-07,-8.10891104338845e-08,-5.9505874151104e-08,-3.05555654228654e-08,-2.81489190121064e-08,-5.20939540113747e-08,-6.77007343102143e-08,-5.72714737908082e-08,-4.70775177856831e-08,-3.26728722992929e-08,-3.04512661157593e-08,-2.13778065140863e-08,-3.08702923677188e-08,-2.98373137286975e-08,-3.88852121506034e-08,-4.98605323493368e-08,-4.84112949503952e-08,-4.47992388060822e-08,-3.97297060425048e-08,-3.40896769595411e-08,-2.95948028302499e-08,-1.76623713094041e-08,-2.68846163723184e-08,-4.31473184152742e-08,-3.55581216136845e-08,-6.68041026063902e-09,5.04852687055022e-09,-1.38415174674621e-08,-2.55940938555538e-08,-3.18682654856047e-08,-2.59241305327691e-08,-2.19705192595346e-08,-1.58240153550735e-08,-1.94719883505527e-08,-2.26694507045546e-08
"mu_m_K_ALDO",7.09384521044854e-08,-1.25127861468233e-07,-1.8525857956897e-07,-1.82100956078291e-07,2.67610396718521e-07,2.12013324412563e-07,4.69609609203392e-07,2.86223226116267e-07,-1.35664521021095e-07,-1.9151330853413e-06,-2.55849257828933e-06,-3.94153941632425e-06,-3.49118388453329e-06,-4.02658379031928e-06,-3.4625145972571e-06,-3.08356574950186e-06,-2.60935762629688e-06,-2.07470456404191e-06,-1.99464530256066e-06,-2.11617699373334e-06,-1.98309682360354e-06,-2.06940643383635e-06,-1.91538074781034e-06,-1.56722780993079e-06,-1.34617500720385e-06,-1.20212207582993e-06,-1.1455784625084e-06,-1.15501463451867e-06,-1.1899623322314e-06,-1.07723467913903e-06,-8.89854798144796e-07,-7.37658388313925e-07,-6.00458258573772e-07,-4.57953868811034e-07,-3.16131901770628e-07,-2.10584504023309e-07,-2.09215890056777e-07,-2.50831205245334e-07,-2.39253403661821e-07,-1.93929658823401e-07,-2.65450658355933e-07,-2.83497834564109e-07,-2.0974622066202e-07,-1.47896510713823e-07,-1.92651062222587e-07,-1.43754014162726e-07,-8.56166461032057e-08,-1.54871177332475e-09,-6.55383032178956e-08,-5.40106400724552e-08,-1.96431846268515e-09,1.01562849675798e-08,7.93573813477567e-08,1.0688086123953e-07,1.51692134124924e-07,1.39167365788714e-07,1.2051497860053e-07,1.0593459165892e-07,1.07468027141418e-07,1.00145558717785e-07,1.00184307463665e-07,3.22536889736946e-08,4.9651412657926e-08,1.06276439753702e-07,1.31843698580326e-07,1.5308415425982e-07,1.4015408498969e-07,9.53016201830522e-08,9.34944198031685e-08,8.81658030809791e-08,8.73729696044708e-08,9.06601999910289e-08,7.86515718943435e-08,6.58136210716112e-08,8.49390416823802e-08,9.74374737332897e-08,8.44919679261653e-08,6.93525824466577e-08,6.33361143772591e-08,7.97885822141666e-08,9.11362050668969e-08,8.55574719980833e-08,7.87424470954283e-08,8.28796104678757e-08,8.38676600585705e-08,6.42628868266571e-08,6.05597219855143e-08,5.04897302810441e-08,3.81400135516491e-08,3.60260065505009e-08,4.00716016242544e-08,3.3118496703178e-08,3.04564884786881e-08,8.45500837263611e-09,6.23048425944548e-09,2.17530770614263e-08,4.19119632176248e-08,5.16862785822821e-08,4.79960315186219e-08,4.62165278855792e-08
"mu_P_ECF",-4.39010981967414e-09,4.53962791357903e-10,-1.43738870502119e-07,-2.07349225145759e-07,-4.3028661859168e-07,-8.57539529622198e-07,-2.01574815455352e-07,1.61360474134398e-07,2.58869261327011e-07,-4.45143730268605e-07,1.10922609058672e-06,1.27414544583493e-06,4.92358768571677e-07,-2.99517621464851e-07,5.57871311546111e-09,6.48710303226884e-07,1.89609297829829e-06,1.84428881001819e-06,1.69740025261678e-06,1.88618171812272e-06,1.73728980620802e-06,1.45030968379811e-06,1.26942487787091e-06,1.31345192392729e-06,9.53773778343549e-07,5.46014220812908e-07,2.57139338249225e-07,1.09788618278096e-07,2.61547503474819e-07,3.64279573900118e-07,3.10576426221288e-07,2.12888520001814e-07,1.14668245395467e-07,1.61743086661587e-09,9.65026248624128e-09,1.45527418414018e-07,1.24520486344162e-07,1.60695082188855e-07,9.97238564562493e-08,5.09089035548098e-08,8.9613696497841e-08,1.24355170456714e-07,1.94858003946488e-07,8.73615410305966e-08,1.68847117990408e-09,3.74299219246751e-07,3.3531372786212e-07,5.40041696151606e-08,9.94133152501088e-08,1.03690509836338e-07,1.14563218318096e-07,1.08135858561228e-07,1.4216286959841e-07,1.99303253327408e-07,7.5952184516109e-08,7.40471335764655e-08,7.52512680760292e-08,8.84703341324226e-08,8.10032637612566e-08,3.58923543268649e-09,-2.12785986104081e-08,-8.66570672598746e-09,3.34403550161128e-08,5.30389276838026e-08,9.42406935003886e-08,1.13128305485874e-07,1.0813629716132e-07,9.20933195360412e-08,9.85547921353836e-08,1.03586570888377e-07,1.17671526395107e-07,1.1739769065265e-07,1.26905879850109e-07,1.25246401292909e-07,1.49564220551603e-07,1.48651778165865e-07,1.5603734070957e-07,1.50897558409594e-07,1.56347899168327e-07,1.59228266194113e-07,1.54101797253689e-07,1.41707645493459e-07,1.39471836408294e-07,1.39343535204427e-07,1.38577098751605e-07,1.29905337376169e-07,1.12190333618088e-07,9.72570413161758e-08,8.59121954396735e-08,8.05316657599932e-08,8.21169563072161e-08,9.45994152681991e-08,1.03216497726376e-07,1.12147997501419e-07,1.26909000668246e-07,1.24385810158966e-07,1.09969157519628e-07,1.00778285460868e-07,9.25705995596532e-08,8.51856285439385e-08
"mu_FF",3.06802860716715e-09,-2.93713993726463e-08,9.23792667961719e-09,2.81279365439424e-08,7.27346949469522e-08,1.95078442044139e-07,5.18353102421099e-07,6.30984920449329e-07,6.22417070739624e-07,9.15270011101479e-07,2.2677437219665e-07,4.23938394257475e-07,4.04812219249709e-07,-3.68213330326196e-08,7.72666179793992e-07,5.91105869677701e-07,7.71887995854705e-07,5.94264925800393e-07,6.63340605319696e-07,9.54366235652261e-07,8.81870460217483e-07,7.26036110440199e-07,6.61486770313192e-07,6.44198155494936e-07,4.69562832630778e-07,3.18963961133401e-07,1.80619873167477e-07,2.40554440075925e-07,2.22065985035991e-07,2.40812463853019e-07,2.23603988731891e-07,1.96091252530742e-07,2.27512874900638e-07,2.35046045133247e-07,1.87101083249722e-07,1.58733941320155e-07,1.16781940260727e-07,1.27826288436481e-07,2.28441765014714e-07,2.50753921419121e-07,1.37122480161261e-07,-3.208090772586e-08,-1.32223639451798e-07,-1.32453859674402e-07,-8.22265357241918e-08,4.01137962012557e-08,-2.6798977075642e-08,-1.7397718227469e-08,-7.93467219598917e-08,-1.40187359830177e-07,-9.49784006576204e-08,-7.23115011455434e-08,-5.05532355376699e-08,-4.24391849370585e-08,-2.57128215416988e-08,-1.94574835959436e-08,-5.95136331772787e-09,1.73160981869916e-10,1.86297741331395e-10,1.35510434401113e-08,8.88037279383498e-09,-1.99415654981613e-08,-3.92867624279641e-08,-5.02289336622536e-08,-3.84458107324918e-08,-2.50029411886801e-08,-7.24052839332994e-09,2.00465163000295e-09,3.87738327695906e-09,-2.9023965001851e-09,-4.43050987014072e-09,-4.54756412503075e-09,-2.36474014565743e-09,2.9952490306526e-10,-7.62054764266794e-10,-5.43086773874555e-09,-7.57895739042551e-09,-8.28274660274186e-09,-1.13966439551773e-08,-1.67966278824113e-08,-1.897834214438e-08,-1.60547570868542e-08,-2.88584422655473e-08,-4.00962349496807e-08,-5.02837949630131e-08,-5.76938328194614e-08,-5.29050117492027e-08,-4.00866096157586e-08,-1.81253021209096e-08,-1.5280556839191e-08,-1.36814847380278e-08,-1.99762568201179e-08,-2.12238349291685e-08,-2.49600661622949e-08,-2.70143260712708e-08,-2.54669450176962e-08,-2.34061595478099e-08,-2.1582381903509e-08,-2.15765679298404e-08,-2.11739219419975e-08
