"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",-0.109966645873164,-0.0692381121982359,-0.0408617740001165,-0.0230454742132409,-0.012060477370062,-0.00526393703094553,-0.00101673692600555,0.00166562695850199,0.00337602247604337,0.00447317408604476,0.00524980910857805,0.00622750353211449,0.00748144536874771,0.00887522503447724,0.0102981900182291,0.0116837269688063,0.0129954560789113,0.0142165910550886,0.0153415061479688,0.0163705280130581,0.0173077025035838,0.0181590392542108,0.0189308022106683,0.0196300913097131,0.0202628417602361,0.0208352273913937,0.0213533864521323,0.0218220226339506,0.0222467074566995,0.0226308007259969,0.022979096028455,0.023294785115328,0.0235808010541765,0.0238405212032925,0.0240762767955279,0.0242905940834872,0.0244849738852662,0.0246622691304192,0.0248233775165439,0.0249696662371169,0.0251037043659742,0.0252249570956908,0.0253359502161373,0.0254372977483054,0.0255294959754035,0.0256138260983238,0.0119540269364909,0.00640040046959317,0.00518865321719684,0.00565419844069722,0.00660799152185527,0.00797811036342437,0.00939096775021382,0.0106560323363999,0.0115488720628659,0.0165790553406225,0.020567175286077,0.0232251350972299,0.0249458479690097,0.0260691013663935,0.0268843894950185,0.0275102818862747,0.0280141328019587,0.0284511194522404,0.0288680022152534,0.0292113351574681,0.0295879161619184,0.0299489044582131,0.030315506129346,0.0307199750869463,0.0311623127629975,0.03148199331946,0.0318354553882969,0.0324128993571662,0.0330441100526169,0.0335100602880553,0.0342511212152148,0.0350591242345385,0.0361750288088603,0.0375451554156433,0.0390964708717341,0.0410436078843921,0.0363297027592744,0.0324743922086097,0.030135856492683,0.0287368767416967,0.0278927377718442,0.0273749907086981,0.0270519346826209,0.0268472512631792,0.0267146859498726,0.0266274192098981,0.0265691563211521,0.0265295676102039,0.0265019043782757,0.026482387830084,0.0264681400355249,0.0264575433758569,0.0264492339913276,0.0264427727715198
"mu_V_inter",0.0702947137144147,0.0350684378185129,0.0204289528042928,0.0140416035501425,0.0111509666793533,0.00981805313229549,0.00920410426784317,0.00893274831011504,0.00882867392729663,0.008805556643006,0.00818640182480943,0.00676741980455774,0.00515724965032815,0.00358318774364381,0.00211837154437551,0.000782924339020161,-0.000424223439780652,-0.00151118730394925,-0.00248789659193698,-0.0033656513557984,-0.0041536741506645,-0.00486170418303216,-0.00549822518438445,-0.00607102730839375,-0.00658557656757428,-0.00704899462542172,-0.00746619394016949,-0.00784202665292931,-0.00818058133529657,-0.00848511686124837,-0.00875978081681832,-0.00900750110518138,-0.00923041606413323,-0.00943092181708872,-0.00961207074364582,-0.00977446688724452,-0.00992118744697789,-0.0100525767590981,-0.0101708719544345,-0.0102770528461202,-0.010371741412196,-0.0104568682259504,-0.0105327368014922,-0.0106004563911108,-0.0106603341618836,-0.0107138311129079,0.00649811929338189,0.00866377581005382,0.00874872139380805,0.00816608566681573,0.00757149513968901,0.00711793742544061,0.00669398461178425,0.00644010355841542,0.00632372025115632,0.000492527122958708,-0.00139814749477348,-0.00243729097373081,-0.00303467914411768,-0.00349182850568979,-0.00391350205877212,-0.00429148720514948,-0.0046888768926494,-0.00511664873416466,-0.00552779207603847,-0.00591596407148587,-0.00637512907412274,-0.00684687298623133,-0.00734454955477991,-0.00791635865425906,-0.008544594378502,-0.00898404716604586,-0.00964086945000299,-0.0104977484883181,-0.0112085914209162,-0.011939397919816,-0.0129544446954896,-0.0140013242021019,-0.0151680390452024,-0.0165799656339618,-0.0181816215297098,-0.0200964382399243,-0.0135834821443682,-0.0118974322302517,-0.0112229311544423,-0.0109301955893898,-0.0107919153441395,-0.0107183173588058,-0.0106737252392669,-0.0106423839625261,-0.0106168004418766,-0.0105935460864206,-0.0105715647290517,-0.0105497414411269,-0.0105280539685514,-0.0105061239853473,-0.0104840606478925,-0.010461665103904,-0.0104391975335797,-0.0104165959386225
"mu_V_muscle",-0.0159275907444623,-0.0168015563709349,-0.0171182913785849,-0.0171963197229293,-0.0171785140205699,-0.0171201846220795,-0.0170459288681911,-0.0169656745196474,-0.0168841408131771,-0.0168027196399221,-0.0167087550509911,-0.0165656211385853,-0.0163626449426711,-0.0161018997909893,-0.0157869260330935,-0.0154222066763823,-0.0150121483008171,-0.0145617657484423,-0.0140749360754295,-0.0135551138460356,-0.0130053696095113,-0.0124291751253324,-0.0118285126214306,-0.0112063996208057,-0.0105643989932786,-0.00990470844643282,-0.00922923395400956,-0.00853876363748772,-0.00783495648857484,-0.00711983072912069,-0.00639320113605322,-0.00565734489860155,-0.00491213398157762,-0.00415901720562721,-0.003398583277064,-0.00263062371866028,-0.00185749716388074,-0.00107885479733521,-0.000294223013530539,0.000494556530476264,0.00128751399917729,0.00208478670495899,0.0028851189232407,0.00368898772466836,0.00449599203805831,0.00530495168860364,0.00418026007654958,0.00316016964031533,0.00249091165566339,0.00204296244740506,0.00170618017294978,0.00152010455421065,0.00143783307919708,0.00140852255076243,0.00141413146123292,0.00215610692170792,0.00307821037409722,0.00403483407916445,0.00500785943518619,0.00598891244163909,0.00698328166486574,0.00799111472727924,0.00900974023819264,0.0100406299540802,0.0110924628609763,0.012156513256133,0.0132449202742846,0.0143580779860628,0.0154920412302219,0.0166488987143512,0.0178339457528311,0.0190327795923899,0.0202423096517594,0.0215011242063484,0.0228037104458598,0.0241202171002666,0.0254998507928463,0.0269405082357487,0.0284595581295077,0.030058388767498,0.0317422678227997,0.0335220873637364,0.0344632371415349,0.0352824962242773,0.0361090126360812,0.0369411907618582,0.0377773215616639,0.0386151604985073,0.0394542809505817,0.0402941900117339,0.0411347107781773,0.0419759337951848,0.0428172689309865,0.0436590772954618,0.0445009033551481,0.0453427710167302,0.0461848516773364,0.047027019864699,0.0478691362533123,0.0487113531233459
"mu_kgut",-0.010500269214726,-0.0144840624448406,-0.0154297875912985,-0.0150697934192567,-0.0141480228195917,-0.0130001762752196,-0.0117883877664536,-0.0105894153209143,-0.00943939683978166,-0.00835519495888956,-0.00701894690573437,-0.00489131230969204,-0.00250870908215651,-0.000251403549016881,0.00174759082951477,0.00345194777295092,0.00486803371368846,0.0060190124610296,0.0069342457719959,0.00764386461669873,0.00817612705214682,0.00855704246578317,0.00881021330059052,0.00895622017062809,0.00901213883017802,0.00899411142091504,0.00891468155225344,0.00878575599767681,0.00861698513896797,0.00841627997515016,0.0081906698094281,0.00794662099871198,0.00768806603607763,0.00742049940238626,0.0071463607381953,0.00686906249807808,0.0065910597530585,0.00631396270831728,0.00604001702114242,0.00576985317774463,0.00550510390576582,0.00524636031917466,0.00499404971288556,0.00474906535754677,0.00451157505810358,0.00428196509202999,0.00391687058156522,0.00360559565321281,0.00333175041103166,0.00308711725790797,0.00286407808727093,0.00265856743815796,0.00246788053843056,0.00229012354107079,0.00212385955391798,0.00200283969350406,0.00188730803938494,0.00177491755838785,0.00166686369543697,0.00156275377657156,0.00146282249802963,0.0013674946078054,0.00127612200592579,0.00118857136718165,0.00110483318485166,0.00102493428438709,0.000948504502557771,0.000875603724609312,0.000805848720188987,0.000739723683170782,0.000676057016360707,0.00061592064513996,0.000558187374208194,0.000503927558317808,0.000451538176554302,0.000401885871879194,0.000354768058690581,0.000309170942144813,0.000266726662441959,0.000226755933432802,0.000187851463959869,0.000152159758666129,0.000109377491718927,6.83461522564266e-05,2.9994318020426e-05,-6.73994919988988e-06,-4.13707652671487e-05,-7.48112730472959e-05,-0.000106344307356385,-0.000136201914275285,-0.000164696292282744,-0.000191828855642811,-0.000217628523685814,-0.000242216987763434,-0.000265459741195586,-0.000287652510621602,-0.000308832954267597,-0.000328952046704229,-0.000348055866702396,-0.000366231302152992
"mu_Km",0.138858737437756,0.128469631574902,0.123783566360008,0.121551257863272,0.120438212328802,0.119862593670031,0.119554838509268,0.119386349727011,0.119292001482137,0.119238325829702,0.119126049126519,0.118909162192565,0.118670940398634,0.118445321425532,0.118244538304446,0.118069273175,0.117919182455397,0.117792287291417,0.117686690233665,0.117600460008511,0.117530975658745,0.117477174648098,0.117436763262723,0.11740912841401,0.117392509831778,0.117385748068069,0.11738799031651,0.117398225372135,0.117415613246614,0.117439958401235,0.117470095229167,0.117505217479829,0.11754572411896,0.117590169741108,0.117638804625365,0.117690628433937,0.117746023124793,0.117804488455102,0.117865129661921,0.117928963987381,0.117994583114549,0.118061959913532,0.118131582053973,0.118202655427061,0.118275321494427,0.118349438996635,0.137197783522174,0.150492768771995,0.160283578804054,0.168168543265307,0.175123008802653,0.181097557770972,0.186414612246471,0.191197046675648,0.195646561821605,0.193544222536739,0.191490919225802,0.189659170787047,0.187943447341827,0.186274491763684,0.184574208568959,0.182826630785527,0.181021070985843,0.179139391869409,0.177165218818842,0.175160856850348,0.173019351304055,0.170793625883437,0.168442463579784,0.165949140468077,0.163311228549404,0.160662704697392,0.157898149123407,0.154821181039698,0.151537125510363,0.1481144947918,0.144285375066551,0.14015730423075,0.135532539406112,0.130443842503712,0.124904545849868,0.118628142464148,0.119674619728238,0.120475188959661,0.120883000720356,0.121125376784324,0.121292214959693,0.12142328088501,0.121535924127573,0.121638935012989,0.121736493130049,0.121830961081856,0.121923700094436,0.122015453847775,0.122106500650053,0.122197382763111,0.122288044421923,0.122378510727413,0.122469000388267,0.122559345963991
"mu_Vmax",-0.000708870219464486,-0.000300955751396772,5.77809516762446e-05,0.000192986740350031,0.00023837535748086,0.000250582408374633,0.000250574395539961,0.000246234923815178,0.000240867703589094,0.000235061988309284,0.000357255551165388,0.000548960242355109,0.000735458302990219,0.000908394121501196,0.00106598798705026,0.00120822804412048,0.0013367716222688,0.00145223930903008,0.00155612915698643,0.0016498722115773,0.00173418548726282,0.00181020826619336,0.00187887287450704,0.0019407870716253,0.00199654418713902,0.00204709805784338,0.00209297578132692,0.00213432037073436,0.00217183034564693,0.00220571842435412,0.00223669051038757,0.002264871566838,0.00228996803052626,0.00231332949721749,0.00233392499367098,0.00235348643800593,0.00237106908214612,0.00238678718460474,0.00240118266267712,0.00241459758559033,0.00242658516779155,0.00243750590076465,0.00244787854091979,0.00245681564053142,0.00246499025390758,0.00247259796449542,-0.00509224666460914,-0.00383171815414941,-0.00283109211182178,-0.0022073314894202,-0.00156712161588424,-0.00114054584347278,-0.000763274088723778,-0.000501480446009528,-0.000276081065679504,0.00290129752877243,0.00303035837675654,0.0031086665402101,0.00312634428671026,0.00316705643394876,0.00322514327015255,0.00326171027247556,0.00331235521833379,0.00338096861811942,0.0034257638482644,0.00348816943420206,0.00355984447106566,0.00363760830424212,0.00372251309851985,0.00382178388917955,0.00391026469696654,0.00387819486858295,0.00402152425707041,0.00420487525512714,0.00429858275275982,0.0044641121557025,0.00464809689833683,0.00469356871617092,0.00501332277120602,0.00521628561388296,0.0056450267734851,0.00635171397502178,0.00254463985332655,0.00252382657468768,0.00252861509989292,0.00253460987842664,0.00254000433051469,0.00254373795953584,0.00254610340445163,0.00254743082838473,0.00254847113109,0.00254899435507267,0.00254919126378623,0.00254935916784133,0.00254922231066033,0.0025493047542965,0.00254905627392027,0.00254901135366481,0.00254879198295474,0.00254846950266183
"mu_m_K_ALDO",0.531015852691361,0.540194683490775,0.543083311795143,0.543767288348593,0.543746805396746,0.543539578019828,0.543320433901639,0.543137632323869,0.542997687700002,0.54289521296924,0.543234701309916,0.544176750730915,0.545316623403953,0.546483284382272,0.547612963930731,0.548684220848782,0.549690642693946,0.550632527376266,0.551513972233654,0.552340591891747,0.553116791295991,0.553847396878395,0.5545371152555,0.5551903444699,0.555810600671898,0.556401392699202,0.556965591664051,0.557506091152098,0.558024876382638,0.558524750366692,0.559007133979269,0.559473809183259,0.559926639955101,0.560366285205374,0.560794725816111,0.561212282738121,0.561621123153853,0.562020763503248,0.562413146933831,0.562798078781222,0.563177005182942,0.563549540270753,0.56391713798717,0.564279519661163,0.564637883254908,0.564992504432898,0.582656223707494,0.598628207529325,0.609781131331531,0.617342651812662,0.623716336214642,0.628547180590462,0.632403408343572,0.635797927401896,0.639162479114347,0.641335115012432,0.641612896746659,0.641242466156981,0.640651142514518,0.640064428226198,0.639412856104108,0.638663239566787,0.637882607116795,0.637076134639576,0.636105990025182,0.635138713927234,0.633965350072405,0.63268546555028,0.631286239936031,0.629661280590438,0.627759459176798,0.625947583761138,0.624152788890387,0.62183427174778,0.619005656427006,0.615959299969222,0.612079203356655,0.607746725798073,0.602525622991168,0.596408095554457,0.589629271647384,0.580501651029089,0.577360375072426,0.576956132922877,0.577001068632653,0.577208871071596,0.577478651146464,0.577771572591244,0.578072701701477,0.57837611833858,0.578679525804034,0.578982116698609,0.579283658086833,0.579584241025378,0.579883801044002,0.580182423643485,0.580480419824524,0.580777732892197,0.581074354892296,0.581370452996942
"mu_P_ECF",0.0623413648538088,0.0588327809732636,0.0443809563515101,0.0309562611113387,0.0206979021090569,0.013354030104056,0.00823195814488841,0.00470165082547577,0.00228192477433904,0.000629461862278067,-0.000689968440596118,-0.00234976185388229,-0.00441192270921233,-0.00669806655005428,-0.00904997595641429,-0.0113619010811324,-0.0135722941669308,-0.0156467884597298,-0.0175709037333042,-0.0193416024164314,-0.0209620756472029,-0.0224403208002421,-0.0237844979715836,-0.0250056611423539,-0.0261136102173092,-0.0271184495107508,-0.0280295159893722,-0.0288557085398756,-0.0296051323543081,-0.0302847793630339,-0.0309023922075654,-0.0314630350311898,-0.0319719610130221,-0.0324355270730287,-0.0328573566742865,-0.033241264391265,-0.0335915131024348,-0.0339106005717618,-0.0342021703788167,-0.0344682251795588,-0.0347116318625488,-0.03493427700594,-0.0351381519611522,-0.0353248582013245,-0.0354962978090894,-0.035653386590135,-0.0295056722835658,-0.0234103737588627,-0.0199180910483243,-0.0182387807286065,-0.0175840968416683,-0.0174770802235704,-0.0176499375476104,-0.0179461590965084,-0.0182361846994667,-0.0203575480044527,-0.0233227495994452,-0.0259034358006079,-0.0279351753938555,-0.0294791315506145,-0.0306678677533494,-0.0316180239418184,-0.0323960607894341,-0.033059958914704,-0.0336687030350595,-0.034212362482819,-0.0347473194162024,-0.0352623522340009,-0.0357677481072436,-0.0362894070111862,-0.0368575049853659,-0.0374236035507368,-0.0379944772274736,-0.0386842894617694,-0.039488495395488,-0.0402584599914762,-0.0411427885559749,-0.0421031623440319,-0.0431957938388517,-0.044406454352208,-0.0458178602130261,-0.0475884282700124,-0.0464677957612817,-0.0440443133354588,-0.0420351405431969,-0.0405985451146019,-0.0396178218710498,-0.0389593707603916,-0.0385178224876054,-0.0382214203486786,-0.0380214947081821,-0.0378866885576584,-0.0377950362362967,-0.0377333239629629,-0.0376916768429055,-0.0376641377327223,-0.0376462909314006,-0.037634843567491,-0.0376282626217688,-0.037624627525039
"mu_FF",0.000683102523201215,0.000903278521742544,0.00091859633260716,0.000852157064416867,0.000755987831655863,0.000652099690456347,0.000550631254810708,0.000456480950951874,0.000370219860614866,0.000292828317775107,8.56552798967274e-05,-5.98608889758074e-05,-0.000128827598808991,-0.000164055103934405,-0.000183082807906793,-0.000194232905724091,-0.000200325289853794,-0.000204304651062159,-0.000206890371727619,-0.000208302163485385,-0.000209310272904234,-0.000210142035364573,-0.000210360611563447,-0.000210650500392503,-0.000211026048631467,-0.000211277353337774,-0.000211123234637182,-0.000211472450780951,-0.000211367002717769,-0.000211524450438738,-0.000211598039027327,-0.000211446185444989,-0.000211659345480845,-0.000211720828714175,-0.000211461313378281,-0.000211423902195313,-0.00021170076589981,-0.000211534445456752,-0.00021166428371359,-0.000211619184861779,-0.000211764073733377,-0.000211536392348392,-0.000211709647856528,-0.000211758861049988,-0.000211640260025561,-0.000212311758156712,-0.000208586876637761,-0.000206713280341843,-0.000205428913147947,-0.000204536945512063,-0.000203557888693045,-0.000202792055306617,-0.000201941479275483,-0.000201121064351839,-0.000200003924560749,-0.000201119353249289,-0.000201759349412191,-0.000202367915110744,-0.000202767008333813,-0.000203080178785469,-0.000203232867692272,-0.000203630140403198,-0.000203889451037603,-0.000204189528932103,-0.000204777579267105,-0.000204896047259478,-0.000205198459703163,-0.000205407811758631,-0.000205930030473254,-0.000206104192487255,-0.000206695308604659,-0.000207224927561258,-0.000206846618068877,-0.000207349963005286,-0.000208392693333405,-0.000209287296422746,-0.000209545383583739,-0.000210173906298633,-0.00021020271231054,-0.000211201724176856,-0.000212031146835033,-0.000212588885565875,-0.000212149566411404,-0.000211853665679171,-0.000211834302703225,-0.000212039754797764,-0.000211698714827364,-0.000211783382850518,-0.000211532508650656,-0.000211762453916357,-0.000211659600174771,-0.000211839072187956,-0.000211810928175459,-0.000211815346577929,-0.000211835503169593,-0.000211792024310364,-0.000211762908849991,-0.000211747265275601,-0.000211762361326641,-0.000211760996966188
