"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",0.0910490808163082,0.121651097376424,0.141711964727093,0.154076661702496,0.161642871414192,0.166307759506986,0.16921530919137,0.171048187975796,0.172214406494506,0.17296111893331,0.173543198889494,0.174246698311979,0.175069742647809,0.175942824177176,0.17681542604324,0.177657098846527,0.178453219760501,0.179197297196841,0.179887761009925,0.180526146113969,0.181115285028311,0.181658331087757,0.182159267889944,0.182621511036918,0.183048816147541,0.183444602115642,0.183811619000142,0.184152983607306,0.184470862452057,0.184768175415261,0.185046424747452,0.185307706030203,0.185553683130596,0.185785916848649,0.186005723302307,0.186214121698399,0.186412627695826,0.186601787855401,0.186782759427203,0.186956318986532,0.18712283607264,0.187283586559739,0.187438594222222,0.18758841312353,0.187733892046946,0.187875174023677,0.195931107628966,0.20570438406928,0.216062339750918,0.226287941625039,0.236130900664229,0.245230871256867,0.253542069073803,0.261133568764872,0.26823417134056,0.272232319368632,0.274135113406562,0.274625315624469,0.27421327990079,0.273245481542155,0.271888461073824,0.270253617817283,0.268416969585555,0.266412726450597,0.264249142515627,0.261976302178325,0.259560685887807,0.257020985897077,0.254355777132925,0.251547623030499,0.248586327913008,0.245545875140316,0.242409762646449,0.239049590260668,0.235464169329576,0.231762016516666,0.227754779242413,0.22347460426364,0.218754916029062,0.213507257162195,0.20771505644048,0.201150455360882,0.197463931400469,0.195314131129209,0.194035141609898,0.193300771497806,0.192891565761986,0.192676466460858,0.192578091407379,0.192550450218641,0.192567140933638,0.192611520233674,0.192673515862744,0.192747050695337,0.192828246366625,0.192914377140467,0.193003851791512,0.193095581303601,0.193188868430862,0.193283070569156
"mu_V_inter",0.392796619184615,0.389112466904712,0.388473961200915,0.388612076108169,0.388904118460055,0.389173754389099,0.389382744407909,0.389533568537609,0.389638487903003,0.389709181834956,0.389766869061506,0.389819482093948,0.389898927595855,0.390012314778939,0.390155778143794,0.390324036069217,0.390513007205967,0.390719115954021,0.390939260805605,0.391171869863465,0.391414703496364,0.391666757001412,0.391926838716993,0.392194336633244,0.392467744377654,0.392746969247626,0.393031303389215,0.393320328786633,0.393613447635144,0.393910011160593,0.394210227048593,0.394513585960447,0.394819568098926,0.395127923589124,0.395438885285324,0.39575161065958,0.396066607855466,0.396383102561077,0.396701281871723,0.397020919302423,0.397341626112,0.397663836484957,0.397987007567359,0.398311278236751,0.398636271432229,0.398962480622208,0.43895753152658,0.473277999527091,0.500819435064754,0.52394829242486,0.544430975614505,0.562382125600962,0.578465146185206,0.592866033477187,0.606409108163961,0.604119863454536,0.600057131881554,0.595858786491486,0.591610204233855,0.587307167192542,0.582810604516344,0.57812340795869,0.573254468728437,0.568139330254883,0.562774786825228,0.557332022029096,0.551557364618659,0.545552459660859,0.539266101499854,0.532626629769939,0.52555659310657,0.518388466625334,0.510949767897318,0.502799148161544,0.494098059709671,0.485236446771946,0.475457966790384,0.464882134543879,0.453275097196523,0.440670731969711,0.426872153966518,0.411377857409076,0.409932948552405,0.410275617436059,0.410559081534882,0.41084168209193,0.411136256988861,0.411441937786127,0.411755899619679,0.412075957200304,0.412399962266982,0.41272658063853,0.413055050977,0.413384539666309,0.413714844668339,0.414045581434911,0.414376775470605,0.41470804757673,0.415039436240023,0.415370922251135
"mu_V_muscle",-0.596913029398102,-0.622974660948828,-0.634252397054132,-0.638962327412578,-0.640547412390775,-0.640568858493197,-0.639781251558063,-0.638567536455841,-0.637130140060358,-0.635580373921499,-0.633495273835403,-0.629920331894158,-0.624685110618341,-0.617844049823782,-0.609510200699824,-0.59981083922881,-0.588873347608286,-0.576816428429603,-0.563749983421168,-0.549773897278426,-0.534978240609165,-0.519443965372384,-0.503244251261326,-0.486444312769482,-0.469103146313563,-0.451273355308877,-0.433002356684635,-0.414333045549658,-0.395303574901191,-0.375948117009671,-0.356298249538524,-0.336381210928307,-0.316222733604818,-0.295845381124509,-0.275269431203201,-0.254514091689627,-0.233595036192877,-0.212528014611207,-0.191327106682951,-0.170004084030932,-0.148570389997452,-0.127036483778093,-0.105411226456656,-0.0837033821107323,-0.0619206320473068,-0.0400697044302921,-0.0809042269474385,-0.114182257653978,-0.138834936555384,-0.15737863632206,-0.172321315611967,-0.182887456104486,-0.190214739267153,-0.195317449690431,-0.199045643210291,-0.177329094328474,-0.151593996298076,-0.124419263029492,-0.0965371898017765,-0.068268989947327,-0.0395662724709427,-0.0104517426710268,0.019016487508127,0.0488845959772872,0.0792552944904016,0.109938659992809,0.14124490451789,0.173151207428578,0.205611156128182,0.238675607466022,0.272431100276236,0.306444647819328,0.340839441592717,0.376455041621984,0.413092273331267,0.450202142738452,0.488935137992051,0.529132145596874,0.571094904749433,0.614885804031123,0.661181240229343,0.711014755441262,0.738129791667093,0.76201167766656,0.785141961789685,0.807913926514945,0.830504086196813,0.852995961197341,0.87543138033463,0.89783195857712,0.920209279800684,0.942569903193808,0.964917633589201,0.987254376675175,1.00958147159546,1.03189968875888,1.05420930087483,1.07651061180478,1.09880375008395,1.12108874494359
"mu_kgut",0.00932956412598109,0.0211077469582955,0.0331041586577581,0.0446903116735313,0.0556484828589824,0.0659192020949038,0.0755098620271095,0.0844538619999776,0.0927940761501382,0.100575734469266,0.107621620796415,0.113217219450338,0.117159267493394,0.119588788622025,0.120702330442562,0.12070052129998,0.119769474100168,0.118075326753345,0.115762650744134,0.112955961903124,0.109762089775802,0.106271585022409,0.102561011252661,0.0986945881326163,0.0947268541145133,0.0907023428752609,0.0866586361915622,0.0826263477100913,0.0786302635158788,0.074691222965973,0.0708252377419468,0.0670451215979566,0.0633611921524462,0.0597804135052717,0.0563086477048477,0.0529494633875592,0.049705094154476,0.0465770433377142,0.0435647416441545,0.0406683063005075,0.0378858284917368,0.0352155903641029,0.0326554700647781,0.0302027275502283,0.0278544162731697,0.025607526081463,0.0235238081597127,0.0215254997617082,0.0196070988190216,0.0177666021828158,0.0160035227423094,0.0143158849812013,0.0127021006383673,0.0111597095148919,0.00968631872141936,0.00826347517018268,0.00690389519194639,0.00560750991046756,0.00437157085084366,0.0031942521115881,0.00207279752887471,0.00100443880724743,-1.2731028803453e-05,-0.000981433166175388,-0.00190364211260777,-0.00278143149071641,-0.00361704561291084,-0.00441241636465571,-0.00516944219607734,-0.00588996239913274,-0.00657553791235541,-0.0072281335343509,-0.00784885881695713,-0.00843983351126338,-0.00900188070095075,-0.0095364271017592,-0.0100456160130949,-0.010529282629831,-0.0109901804042418,-0.0114286271845701,-0.0118450419616581,-0.012242126272983,-0.0126160410146029,-0.0129712088622761,-0.0133088863875492,-0.0136298109455593,-0.0139349040626256,-0.0142251814326688,-0.0145010500083978,-0.0147634053909574,-0.0150128682511434,-0.0152500750580344,-0.0154756461569319,-0.0156900546927401,-0.0158939641205231,-0.0160877689069674,-0.016271976516687,-0.016447082202376,-0.0166135109630244,-0.0167717168276712
"mu_Km",-0.0755939935857147,-0.077184787198605,-0.077993095407378,-0.0785540024241338,-0.0790388876920844,-0.0795029320978678,-0.0799648748996633,-0.0804294023871942,-0.0808972164127909,-0.0813680039422825,-0.081804254127838,-0.0821776647171644,-0.0825263208326602,-0.0828707052799136,-0.0832220468873584,-0.0835838639741828,-0.0839580797675417,-0.084345074730809,-0.084744477415605,-0.0851557509097826,-0.0855778424285248,-0.0860100656954009,-0.0864513428384148,-0.0869012433279981,-0.087358782931306,-0.0878232179244164,-0.088293958212627,-0.0887703814283824,-0.0892521570443581,-0.0897387857690633,-0.0902297687136667,-0.0907244990618797,-0.0912231754205477,-0.0917249305049329,-0.0922299248453992,-0.092737386504962,-0.0932477981804314,-0.0937605200064527,-0.0942751822044348,-0.0947923180473616,-0.0953111333234294,-0.0958315111121197,-0.0963538256173239,-0.0968774998804713,-0.0974026677045559,-0.0979291011753881,-0.107587159026895,-0.116015507171198,-0.122954623562244,-0.128887018369621,-0.134271925548403,-0.139083208317867,-0.143479982223803,-0.147534439964976,-0.151382164900657,-0.151839807389508,-0.151795382728698,-0.151625769606772,-0.15139948275187,-0.15114040926034,-0.150830208960344,-0.150466662487747,-0.150055061099731,-0.149591875746097,-0.14906175356017,-0.148497336425706,-0.147847894717418,-0.147142369043132,-0.146354196427169,-0.145473783780861,-0.144494396233433,-0.143481711227521,-0.142405829396563,-0.141150752414955,-0.139743370345502,-0.138226889467293,-0.136466083014487,-0.13450056861085,-0.132249154565551,-0.129725863913191,-0.126912587968461,-0.123617661399203,-0.123734229974091,-0.124265330719708,-0.12481667763384,-0.12537298579656,-0.125930189627123,-0.126486890871799,-0.127042969353717,-0.12759887161395,-0.12815455166049,-0.128710248178,-0.129266152343155,-0.129822230117083,-0.130378575730283,-0.130935373748189,-0.131492472297546,-0.132049983771101,-0.132607948299077,-0.133166237812622
"mu_Vmax",0.00380825692472368,0.00211914316937251,0.00115133472884702,0.000657675102607101,0.000395814969038156,0.000252214279678469,0.000171061471824544,0.000123910255156744,9.60419918542073e-05,7.96053679747786e-05,6.56774495703872e-06,-0.000108433218331101,-0.000228836881288771,-0.000345894775263361,-0.000456099897038783,-0.000558204802553007,-0.000652513633718968,-0.000738983268683313,-0.000818409039094647,-0.00089125042492627,-0.000958193465635873,-0.00101976918730992,-0.00107652862625171,-0.00112896065061337,-0.00117733793326028,-0.00122220471195988,-0.00126399960266903,-0.00130291688234834,-0.00133916349581774,-0.00137310151351282,-0.00140506968317422,-0.00143518435102202,-0.00146334725078135,-0.00149019989566943,-0.00151539106404134,-0.00153976413178331,-0.00156291679342591,-0.00158485457337771,-0.0016059192480086,-0.00162629263042652,-0.00164577482358278,-0.00166446774511141,-0.001682891447307,-0.00170039311506672,-0.00171740819760453,-0.00173393789824165,0.00256049380520001,0.00231910483084147,0.00186858078245729,0.00158259898045848,0.00123677533351295,0.000968708631353863,0.000704309221902619,0.000517946408386393,0.000372699108752656,-0.00154702087083106,-0.00182377568715157,-0.00199284028298432,-0.00207839210931765,-0.00215514710876178,-0.00222885106390154,-0.00228345454029488,-0.00234160731347558,-0.00240666626996189,-0.00245685331632765,-0.0025165785445008,-0.00258059690931796,-0.00264257588974269,-0.00271613710837299,-0.00279660685218447,-0.00287378774410061,-0.00286720974622813,-0.00295909137083112,-0.00308558240397546,-0.00318400896374023,-0.00330282809786489,-0.00344269235151603,-0.00352148988126569,-0.00373499367725319,-0.00384831366390139,-0.00411379028343876,-0.00456891757855406,-0.00254091323723989,-0.00237512143358073,-0.00230296827158389,-0.00227140859701548,-0.00225988604040576,-0.00225852391163809,-0.00226261959743628,-0.00226974919477657,-0.00227865030139954,-0.00228852573547412,-0.0022989347667951,-0.00230977576773711,-0.00232075050908117,-0.00233187310170371,-0.00234306688269793,-0.00235440102352406,-0.00236568364355796,-0.00237699627640239
"mu_m_K_ALDO",-0.286703303623273,-0.316619466406398,-0.332374292629114,-0.341187223635166,-0.346431510230676,-0.349754168419022,-0.352005505541497,-0.353640872861175,-0.35491410881924,-0.355970274570604,-0.357085690863552,-0.358441187970262,-0.359897408062239,-0.361376595043159,-0.36284277643191,-0.364280513076215,-0.365683384377487,-0.367049391791006,-0.368379335019967,-0.369675778347731,-0.370940881131395,-0.372177034749111,-0.373387093858641,-0.374573584917169,-0.375738768637383,-0.376884732880752,-0.378013389165041,-0.379126640267535,-0.380225624782151,-0.381312305624316,-0.382387609363176,-0.383452688796629,-0.38450864528534,-0.385556266374234,-0.386596452399745,-0.387629918268563,-0.388657403566033,-0.389679300900265,-0.390696345443871,-0.391708739066521,-0.392717250929868,-0.39372177133533,-0.394723178215686,-0.3957214111213,-0.396716985142813,-0.397710184259273,-0.407560712103479,-0.417777448180494,-0.425946219053947,-0.432139056007333,-0.437747163771973,-0.44229114935443,-0.446103285644492,-0.449478996347706,-0.452705817470896,-0.454908073833827,-0.455922172991116,-0.456416270338448,-0.456655410910558,-0.45680953701855,-0.456879165887733,-0.456865894735977,-0.456829339778413,-0.456762945031066,-0.45660239994151,-0.456438512457101,-0.456163270268627,-0.455830288133443,-0.455403182531099,-0.454844211103349,-0.454134535303281,-0.453508107249871,-0.452962743222172,-0.452168238398088,-0.451077135180545,-0.449789151367242,-0.448039563950377,-0.446001396521601,-0.443498939166107,-0.440484071268357,-0.437017882779239,-0.432245655520479,-0.430202956568144,-0.429961296726382,-0.430266982935179,-0.430854406671288,-0.431595206294054,-0.432422455033591,-0.433300232865931,-0.43420850504548,-0.435135357779325,-0.436073866065971,-0.437019678796121,-0.437970285882993,-0.438923957147271,-0.439879482332295,-0.440836247839404,-0.441793763215578,-0.442751784313403,-0.443710011487062
"mu_P_ECF",0.0360199211192934,0.0371574895709512,0.0300787124746678,0.0228019590671365,0.0170050387935588,0.0127381804561595,0.00969324108590514,0.00754584902276714,0.00603561406140022,0.0049717047560201,0.00416086377978128,0.00330469540297773,0.00231806444430858,0.00124097215729003,0.000123684179923074,-0.000997160538188496,-0.00209744817891981,-0.00316411066897767,-0.00418998693196706,-0.00517239919560974,-0.00611146949946972,-0.00700842844658611,-0.00786612101868265,-0.00868676607644761,-0.00947376442787653,-0.0102298470752654,-0.0109577751571135,-0.0116602984658455,-0.0123397378424728,-0.0129985963566978,-0.0136383703286759,-0.0142614924020384,-0.014869599759708,-0.0154637014379287,-0.0160454385144358,-0.0166162260749944,-0.0171767000463927,-0.0177283745158627,-0.0182716151350289,-0.018807620155377,-0.0193369535520705,-0.0198601510733078,-0.0203778456424326,-0.020890649733527,-0.0213987817685537,-0.0219029525628716,-0.0204570305849044,-0.0174201219219065,-0.0153965594718157,-0.0145287813704938,-0.0144886963483303,-0.0149515519215904,-0.0156996192706643,-0.0165958594604289,-0.0175345333459685,-0.0193425926678661,-0.0218825348691633,-0.024175040929836,-0.0260546820465738,-0.0275593167783947,-0.0287753085922714,-0.029787857427597,-0.0306549190674954,-0.0314214639125529,-0.0321220496066549,-0.0327727515342757,-0.0333910057359154,-0.0339883692351444,-0.0345688094772977,-0.0351387803263214,-0.0357112577849284,-0.0362829422413651,-0.0368446302857749,-0.0374245785834502,-0.0380332790411684,-0.038637471491756,-0.039246575380946,-0.0398777330547534,-0.0405280514650204,-0.0411906563710167,-0.0418753997148019,-0.0425974466677925,-0.0428736800505202,-0.0423736477377006,-0.0419252063185927,-0.0416937718952301,-0.0416619268586888,-0.0417801592443315,-0.0420045218989948,-0.0423015088740955,-0.0426483054526802,-0.0430288180148871,-0.0434325841893992,-0.0438520368076308,-0.0442825247646058,-0.0447204434837266,-0.0451635354712111,-0.0456102302954288,-0.0460593515913288,-0.0465102744899932
"mu_FF",-0.000627944771394013,-0.00138554330989702,-0.00212358242939359,-0.00280342768014067,-0.00341519449393086,-0.00395961448881259,-0.00444127555628836,-0.00486591155789171,-0.00523946005577287,-0.00556783510951706,-0.00574702878124747,-0.00580919501496935,-0.00583868417909012,-0.00585357824234977,-0.0058610788268504,-0.00586482513102557,-0.00586670458185235,-0.0058672132799211,-0.00586696590024366,-0.00586660687838681,-0.00586587226712922,-0.00586489232857997,-0.00586401035434169,-0.00586301720305593,-0.00586188120622794,-0.00586072537740866,-0.00585974903435707,-0.00585845054078814,-0.0058574971301664,-0.00585632027547347,-0.00585514455250437,-0.005854093142889,-0.00585287401912463,-0.00585184152476121,-0.00585073518609829,-0.00584969994328803,-0.00584846425313661,-0.00584737306171319,-0.00584623765617387,-0.00584512023555345,-0.00584391570131739,-0.0058429001348913,-0.00584172954605993,-0.00584058381207301,-0.00583948176091906,-0.00583807466497427,-0.0058391940162619,-0.00583948970422178,-0.00583948017094099,-0.00583923516139093,-0.00583896346096864,-0.00583850319438501,-0.00583814131362964,-0.00583761970560055,-0.00583752687786401,-0.00583585189660734,-0.00583450009858189,-0.00583323352729436,-0.00583181567289036,-0.00583047305067407,-0.00582940123591783,-0.00582827149881089,-0.00582686995823271,-0.00582557681377156,-0.00582420148955737,-0.00582297946171474,-0.00582165561858848,-0.00582041908480623,-0.00581892539212565,-0.00581768760614519,-0.00581617209856118,-0.00581478793567396,-0.00581382649466191,-0.00581250749940483,-0.00581064211365855,-0.00580894526205596,-0.00580742083908935,-0.00580582382457089,-0.00580466616100665,-0.0058028931762284,-0.00580120358863459,-0.00579952314052574,-0.00579845617994786,-0.00579736891081925,-0.00579630235837225,-0.00579532718556088,-0.00579415861093335,-0.00579301241405591,-0.00579198908110716,-0.00579083366833371,-0.00578981758226031,-0.00578860051830836,-0.00578749695924535,-0.00578636071658225,-0.00578526354348952,-0.00578420095714306,-0.00578311735728464,-0.00578197595679372,-0.00578089391578077,-0.00577982730799768
