"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",-8.49779959999353e-09,-9.61306943807472e-08,-1.50862121683026e-07,4.37856429673645e-08,2.34189256615114e-07,3.03054456529674e-08,-6.83214230949857e-08,-5.51543021234391e-07,-1.65389766506152e-07,9.7237565646191e-07,3.02816736031986e-06,3.30507021801907e-06,3.55783850327374e-06,3.7421769652406e-06,2.22866842880931e-06,1.69608087092588e-06,1.52077523593541e-06,1.49762444034185e-06,1.70228642612258e-06,1.76804082235948e-06,1.8175582523059e-06,1.6342950235565e-06,1.2005837085014e-06,9.86271063223632e-07,1.11706542249135e-06,1.15210147916872e-06,1.18405943803945e-06,1.07244443650598e-06,8.93088560031313e-07,8.23061486348059e-07,8.0437108506215e-07,7.19373978756502e-07,6.00681688707666e-07,4.44505430746867e-07,3.82884061142147e-07,3.91839539919073e-07,4.7943527002018e-07,5.39617644416658e-07,5.45606733605493e-07,5.46183709064591e-07,4.22492172741741e-07,3.29643944143709e-07,3.24801767163735e-07,3.60138430707382e-07,3.50194331322953e-07,4.67265949363397e-07,3.36218703310464e-07,-1.33558917621456e-07,2.54157931858855e-06,1.11542435451283e-06,3.35119400421741e-07,-1.84916386523111e-08,1.93045364952659e-06,-2.48838273560992e-06,-5.69412379362788e-06,-6.47503626580282e-06,-4.76682144439256e-06,-3.70711107411381e-06,-2.48839120853628e-06,-3.51710874226186e-06,-2.56364807763277e-06,-1.65191764593287e-06,-1.25031761976269e-06,-2.06910970077923e-06,-9.18996262069262e-07,-1.94603425168306e-07,-3.12990638007273e-07,-1.59262919461845e-06,-1.47606567630688e-07,9.33511167730659e-07,2.43018676116946e-06,2.34454704385678e-06,2.17284868612322e-06,1.71036457797102e-06,1.9036464458807e-06,2.44123431815069e-06,2.52884958484994e-06,2.19694609861865e-06,1.13382595282596e-06,4.41174322997478e-07,6.91825829091191e-07,2.02118842023072e-06,2.02123802592427e-06,2.03507633785188e-06,2.12802937392277e-06,2.02101887505332e-06,1.79990209643105e-06,1.65911858859352e-06,1.20947258349446e-06,1.09134319698154e-06,1.0905098146547e-06,1.0827845511814e-06,9.98450673255969e-07,1.035924080731e-06,1.24327356503586e-06,1.27614644133113e-06,1.13106112649692e-06,9.87180694957068e-07,8.98021992071998e-07,8.4259162305871e-07
"mu_V_inter",-1.18020621835413e-08,8.44491978346787e-09,1.05127269765415e-07,9.61187412942265e-08,1.35596980879615e-07,1.57451182112301e-07,-3.02125660173846e-07,-2.65332266929708e-07,6.27498154025741e-07,-7.89489459675163e-07,9.15687803745958e-07,1.23135080195436e-06,3.18147947378833e-07,5.4955422850389e-07,5.53667181558025e-07,6.65451353628831e-07,1.36236209815999e-06,1.74220650026991e-06,1.55228330436974e-06,1.22023556197093e-06,8.15616671614117e-07,6.0762930625069e-07,3.59388390570759e-07,-3.91192253130778e-08,-4.63128578981897e-07,-6.12283694923665e-07,-5.27069711490635e-07,-3.9768946528182e-07,-4.28382271722483e-07,-4.46725468260189e-07,-3.30547220287747e-07,-1.98757300818753e-07,-1.87440842228673e-07,-1.73826937014274e-07,-1.77315164514996e-07,-1.11195583343673e-07,-6.72911517852828e-08,-4.09066150942606e-08,-1.46166074545124e-08,1.71461949095771e-08,5.33545150936538e-08,1.1005405421417e-07,1.58786358753424e-07,1.24990421368744e-07,3.95012862268591e-08,-1.21369372310815e-07,2.37273781886316e-07,-7.63814306971257e-07,8.50509414285128e-06,1.57288579053443e-05,1.37168540795258e-05,1.2453571012859e-05,1.09704425227903e-05,9.90047207119105e-06,9.52140176078581e-07,2.1633796233953e-06,3.11639731161683e-06,4.81362168765731e-06,3.20717115582613e-06,3.45152688366212e-06,4.45477666530447e-06,4.70685385333968e-06,4.9302731937999e-06,5.00067436535234e-06,3.42922703921511e-06,1.26103082430018e-06,1.24328384425265e-06,1.26078011580621e-06,1.39481288328902e-06,1.25330227541331e-06,-3.25736969807352e-08,-4.85267547478355e-07,-2.35424303085308e-06,-1.78548340433127e-06,-1.84928794678674e-06,-2.02244491988629e-06,-1.65903233118531e-06,-1.13483194995107e-06,-1.49408475556307e-06,-1.5823478119757e-06,-1.0845374614529e-06,2.71916600242531e-07,4.09213788074872e-07,7.357042871077e-07,1.0106948406284e-06,1.26434770280166e-06,1.387919783098e-06,1.31684435248148e-06,1.04287465432053e-06,8.14653713629701e-07,6.54882596004143e-07,4.8808668005723e-07,4.28666312490762e-07,3.40451673898636e-07,3.87667472655408e-07,4.49055806202084e-07,3.70527481367978e-07,2.89451760870525e-07,1.48654723866211e-07,-6.44072566295094e-08
"mu_V_muscle",-4.65155935369665e-09,-1.16863029373526e-08,-1.14521556997538e-08,-5.85940296682351e-09,-1.61523127245378e-07,3.31725820013086e-09,-1.81965246678573e-07,3.29547465364399e-07,4.42663250371122e-07,-1.20969095840365e-07,1.08618404374813e-07,-2.0653684234873e-07,5.91164935991536e-07,4.30067009508758e-07,7.40155643706772e-07,1.13206743838989e-06,7.39617744803353e-07,6.50834610110283e-07,4.47798077060966e-07,1.61758697831413e-07,-1.73907378337003e-07,-2.19694262468152e-07,-1.91468665946605e-07,-2.55085752685126e-07,-3.74882479180384e-07,-4.94234670550932e-07,-5.25988881541097e-07,-4.1774566899014e-07,-2.4849873394492e-07,-2.60540242634085e-07,-3.5898362947437e-07,-3.69106560448836e-07,-3.00528939653046e-07,-2.28945710233895e-07,-1.79082190371758e-07,-1.33062144177827e-07,-1.67965563696319e-07,-2.21554502885171e-07,-1.94147272607644e-07,-8.02534664962544e-08,-7.2053646028536e-08,-5.59569808771851e-08,-3.21064898407247e-08,-2.79540569062861e-08,-2.78102712888112e-08,-1.2994715895717e-07,1.67375974846351e-06,2.78253284979613e-06,8.21118295946021e-06,7.88633940225479e-06,7.26441222225914e-06,8.46455626720298e-06,1.04715331648517e-05,9.41247277545009e-06,8.47501259332795e-06,7.23421589358964e-06,6.22532755428651e-06,6.76853847788905e-06,4.64564074048912e-06,3.9105562073658e-06,3.07438943098681e-06,2.23245518972215e-06,3.02380650428757e-06,2.80495302032024e-06,3.0162555002895e-06,2.1543835137261e-06,2.90958130098362e-06,1.88070703995891e-06,1.27653577486164e-06,1.11384523118875e-07,-5.22792976762275e-07,-1.37568896727225e-06,-1.92620267434374e-06,-1.94200577644466e-06,-1.59918398383185e-06,-1.27229622729114e-06,-1.32696987758824e-06,-1.18449866875925e-06,-3.19224295730781e-07,-1.63493762116413e-07,-1.30412191725605e-07,-2.39536578433204e-07,-3.3688056331278e-08,1.32541530188906e-07,3.23666481981111e-08,-4.94962451729764e-08,-4.59239129132206e-07,-5.23958458609934e-07,-5.18616045903712e-07,-6.52159641009101e-07,-6.66219625596315e-07,-6.30527069348611e-07,-4.95828447883853e-07,-3.05658825928157e-07,-2.4531888774054e-07,-2.66242072238269e-07,-3.36328835484003e-07,-3.66186654195613e-07,-4.49028214244258e-07,-4.81612658123985e-07
"mu_kgut",-0.416293654574367,-0.793523091706324,-1.1362173137143,-1.44831818987965,-1.73325989681551,-1.99403774910197,-2.2332688272129,-2.45324009317924,-2.65595578609236,-2.84316333028851,-2.99596079022977,-3.10041848800116,-3.1646310462755,-3.19549340932576,-3.19887075352422,-3.17975045306082,-3.14236288726871,-3.09029534184262,-3.02658040757575,-2.95377759789354,-2.87404342598798,-2.78918828112403,-2.70072798138523,-2.6099264069001,-2.51783294732526,-2.42531419230628,-2.33308165868206,-2.2417152780737,-2.1516828842225,-2.06335794737206,-1.97703422194872,-1.89293792921297,-1.81123870718468,-1.73205867554648,-1.65548044737824,-1.58155364198871,-1.51030054452633,-1.44172113990591,-1.37579689449996,-1.31249461425022,-1.25176915119597,-1.19356579776816,-1.13782252202357,-1.0844718906596,-1.0334422969032,-0.984661372982868,-1.429259916949,-2.73370858542674,-4.73246197874274,-6.79415409968485,-8.43381319716332,-9.71707482108294,-10.7000680210011,-11.4307565895358,-11.9500950945242,-12.2930407189054,-12.4893827292097,-12.5644921380966,-12.539948006939,-12.4340842817391,-12.2624515206554,-12.0382141870367,-11.7725026930638,-11.4747041110867,-11.1527018736523,-10.8131225972338,-10.4615025214338,-10.1024469855808,-9.73976860959215,-9.37661615504462,-9.01556516662,-8.65870623072914,-8.3077244181927,-7.9639446779279,-7.62841128790828,-7.30191901585871,-6.98505414790755,-6.67823025143964,-6.38171707402296,-6.09566322443226,-5.82011939206842,-5.55505566408345,-5.30037052740242,-5.05591499794212,-4.82149561874513,-4.59688488190911,-4.38182994675559,-4.17605873100196,-3.97928488193075,-3.79121246226646,-3.61154013113526,-3.4399639956664,-3.2761801961371,-3.11988646408554,-2.97078479534793,-2.82858231553691,-2.692992200281,-2.56373488824445,-2.44053843172337,-2.32313901535402
"mu_Km",-3.62924710284307e-09,4.44413796603095e-08,2.34851723388552e-08,3.26775692465198e-08,-2.91110784358391e-08,1.54875842334868e-07,1.21306502319119e-07,2.46834044691724e-07,-2.28963815679162e-07,-6.55036405005305e-07,5.00435636362263e-07,4.26084319467019e-08,4.39539226811283e-07,-5.80655007230255e-07,-6.29964508564338e-07,-1.48082497898483e-06,-1.31828176391124e-06,-1.01580149735314e-06,-1.05050068171397e-06,-1.64345754614514e-06,-1.70443753088789e-06,-7.57816529764363e-07,-1.05418508661412e-07,-4.07071802830923e-08,-6.05744415811935e-08,-9.23216849363894e-08,-2.83831761783683e-08,2.66957036214339e-08,-4.05872427191988e-09,1.61969945685639e-08,3.96336677697131e-08,4.7256826731541e-08,3.2795212364518e-08,-1.35263260409846e-08,-1.41933818569435e-08,4.38232271758607e-08,2.16533093732883e-08,-4.10531470297199e-08,-1.61276373592928e-07,-2.87525456722114e-07,-2.73584391619067e-07,-1.8792731228797e-07,-1.19303403813334e-07,-8.44178094901303e-08,-6.77908645559763e-08,-5.1693229510647e-07,-1.0594466644136e-06,-1.18273305738015e-06,1.50824099874926e-06,1.68840390007006e-05,1.53665557695959e-05,1.56066921160196e-05,1.33393402812718e-05,7.89319599682694e-06,8.95162888668824e-06,8.91284737419088e-06,8.26166099944017e-06,7.77580425297322e-06,5.76791736155615e-06,6.22359752133763e-06,8.32232807589064e-06,8.69864440832614e-06,8.02327380969993e-06,7.32559310954752e-06,6.7405335508557e-06,6.85897884738253e-06,5.32053603339656e-06,6.08788497843206e-06,6.37821715060573e-06,5.58016314212041e-06,5.54918014730766e-06,4.73146268578451e-06,6.65768731517803e-06,6.37063717881948e-06,6.12584879324286e-06,5.65797673192654e-06,4.96421118303981e-06,4.55505616242008e-06,4.28800356319526e-06,4.65434521608843e-06,3.71248084102219e-06,3.15161876709952e-06,2.58010959514688e-06,2.20450184753693e-06,2.31880040352019e-06,2.40567351810881e-06,2.16589693735883e-06,2.06518461257302e-06,1.79758168737927e-06,1.72658204887384e-06,1.60304574619524e-06,1.53357951697012e-06,1.40035558244261e-06,1.31737965578514e-06,1.20655236159936e-06,1.04891257329655e-06,9.37680976460653e-07,8.0129177770121e-07,6.99685618893662e-07,6.20026673302851e-07
"mu_Vmax",5.52496785921619e-09,1.35887093217768e-08,6.7281911374284e-08,1.58456230177072e-08,-1.56657999984322e-07,-1.29475474313967e-07,-6.81131333751139e-07,-1.04635151369781e-06,-1.24872148854749e-06,-3.27102635343968e-06,-6.06117974167608e-06,-5.69875540975051e-06,-4.61392225073043e-06,-5.17085586888566e-06,-5.50198043246009e-06,-6.043407148415e-06,-6.86011550186505e-06,-6.55828310653561e-06,-6.03597749240459e-06,-5.62432899140919e-06,-5.50796321955782e-06,-4.74508285141084e-06,-3.81699451345141e-06,-3.36704942759769e-06,-3.11495227839126e-06,-2.86949353519572e-06,-2.5887796029126e-06,-2.32721769715691e-06,-2.17989557489898e-06,-2.10319642049356e-06,-1.93603167594186e-06,-1.65779997875808e-06,-1.49430346910971e-06,-1.45236453879177e-06,-1.47095604557647e-06,-1.47801970160282e-06,-1.32998557021873e-06,-1.20718509977452e-06,-1.06452213139049e-06,-8.95083501824698e-07,-7.78711941146038e-07,-7.0088076299191e-07,-7.21421731883099e-07,-7.05843332572086e-07,-6.91088304934508e-07,-1.26457037187348e-08,9.38592272111904e-07,-1.50030606626217e-06,-2.38777566076607e-05,-2.37129525152717e-05,-2.05967121368254e-05,-1.84479188460998e-05,-1.62738969067799e-05,-1.59831798261791e-05,-4.771853818486e-06,-4.38216308776163e-06,-5.10687116968268e-06,-5.72231260273882e-06,-5.40086444806054e-06,-5.33721363221851e-06,-4.64791776544172e-06,-5.33050454119977e-06,-4.03104612530081e-06,-2.49308193238163e-06,-2.74730729455142e-06,-2.31817286108904e-06,-1.64727434507106e-06,-1.97076319888301e-06,-2.49858322278684e-06,-3.35137349244774e-06,-2.82692265918439e-06,-2.92940608108916e-06,-4.20211281579786e-06,-4.20674954110356e-06,-3.63821438389789e-06,-3.07848837255998e-06,-2.59608517372639e-06,-2.39341240235586e-06,-2.22064425396573e-06,-2.52402195161852e-06,-1.92928001182108e-06,-1.70914860410443e-06,-1.85656889139546e-06,-1.74856411506652e-06,-1.59708672371815e-06,-1.55320997712315e-06,-1.59847943078458e-06,-1.20606222861235e-06,-7.31358187527483e-07,-4.85422144256233e-07,-5.44555700008589e-07,-5.92529370234256e-07,-7.18851202979398e-07,-8.02927499529476e-07,-6.80655800917873e-07,-5.10609257298425e-07,-4.16504943481587e-07,-4.36750757657982e-07,-4.53732677622599e-07,-3.77759525214248e-07
"mu_m_K_ALDO",-3.03071067841998e-08,-6.67546154393683e-08,3.36563024769809e-08,3.49881708885391e-08,4.90378803164049e-08,-3.08978961855999e-07,-5.13619709491486e-07,-1.71127552112793e-07,8.88292489005236e-08,-2.77540981356328e-06,-3.60080762461079e-06,-3.780531058454e-06,-3.20872529041116e-06,-3.08893128696219e-06,-2.94272675717933e-06,-2.51702285410271e-06,-2.46262367020722e-06,-2.32326185835063e-06,-2.4033943076347e-06,-2.3454266563796e-06,-2.1475144229709e-06,-2.00422539638589e-06,-1.51407822853078e-06,-1.30425971668041e-06,-9.5861254821683e-07,-5.31961423661464e-07,-3.28830282262993e-07,-3.60063325555909e-07,-3.04183845994371e-07,-1.88133864701456e-07,-1.08639415349526e-07,-1.44602800570728e-07,-2.34185819382865e-07,-2.23809506568515e-07,-1.75188829881004e-07,-6.61980844778033e-08,6.6624597603558e-08,1.40967240982975e-07,1.0702651017136e-07,1.01278301689843e-07,1.70407488169259e-07,2.59584362294732e-07,3.26307866534141e-07,2.97801734399635e-07,2.76121473951445e-07,2.95367817520001e-07,1.26848626503495e-06,3.66473801468459e-06,1.42418608008548e-05,1.72169296454783e-05,1.55510905656158e-05,1.52256030707711e-05,1.46881087845241e-05,1.80219458364821e-05,1.40456270976479e-05,1.38543816841903e-05,1.19679485918471e-05,1.05423548309993e-05,1.05089455406731e-05,7.90650347307587e-06,5.90917334390718e-06,7.1517135665955e-06,7.2346044309839e-06,6.6835875270872e-06,7.27569827826891e-06,7.0493019256459e-06,6.75564968529186e-06,6.49258885734505e-06,6.75729233428269e-06,7.09494955182089e-06,8.46927987810442e-06,6.87327650785707e-06,5.6283670576186e-06,5.23764068994703e-06,5.04921697807481e-06,4.96651615165877e-06,4.46044032579007e-06,3.50765213100329e-06,3.21481185397582e-06,2.86076159067578e-06,2.26361889660745e-06,2.72875073070214e-06,2.18404453881491e-06,1.61482866214793e-06,1.3790006625931e-06,1.52256949913705e-06,1.63211569369418e-06,1.76802364756265e-06,1.70836469260034e-06,1.69274441027199e-06,1.51427491259656e-06,1.44252939658975e-06,1.34531053838501e-06,1.27689979694025e-06,1.32153583853866e-06,1.31764484264851e-06,1.25907443758149e-06,1.1115443938859e-06,1.02813964370433e-06,9.96493894258681e-07
"mu_P_ECF",4.04233761583939e-08,5.2349780422567e-08,5.85851664220982e-08,1.01220425129611e-07,-2.863573818068e-10,5.16159256855885e-08,-1.79481395705669e-08,-2.4130240122044e-08,6.05698654260413e-07,-4.6718929653311e-07,1.806465045191e-07,2.50557643513022e-08,3.66456329481403e-07,-2.6111598633105e-07,1.01253833932335e-06,1.6280614530797e-06,1.40266985104942e-06,1.34218710602008e-06,1.2100567452844e-06,1.19548975370043e-06,1.0071098898754e-06,6.8972761792363e-07,5.6964973674134e-07,5.42605173766253e-07,6.34179716552997e-07,5.13752761379994e-07,5.51609654239505e-07,6.30834659269581e-07,6.661811921517e-07,6.51764510907899e-07,6.44613275234518e-07,7.14261436045194e-07,7.51986746426667e-07,8.24103098322482e-07,9.37040882987989e-07,9.21424397962612e-07,7.39930656843635e-07,5.8035668351078e-07,5.77794928214137e-07,5.66292532892983e-07,5.50964442970405e-07,5.12209729106008e-07,3.98139992124184e-07,2.9099966339078e-07,2.99727711983115e-07,-2.87891270684269e-07,-1.93319310591633e-06,-1.53465784010365e-06,-4.43212434452534e-06,-1.27908013518407e-05,-1.07386260348967e-05,-1.24754055378951e-05,-1.1659919238511e-05,-1.14333762207419e-05,-4.17136972873778e-06,8.97098018606709e-07,-3.46443449583323e-06,-2.53673099014585e-06,-3.26428531049583e-06,-2.87853170527708e-06,-1.94727025226094e-06,-1.15302088146452e-06,-5.47898563994401e-07,-1.48025203299218e-06,-1.65780966011342e-06,-2.15698511740259e-06,-1.8959576127715e-06,-1.65044373459589e-06,-1.93346634509561e-06,-2.58953052312561e-06,-1.38032612603123e-06,-1.1080545241019e-06,-2.06123346753961e-06,-1.44443255624349e-06,-1.17526336629947e-06,-1.34211443389226e-06,-1.34720596151228e-06,-6.85989410222743e-07,-3.03964534160428e-07,1.68201132132201e-07,8.93267933894326e-07,1.41662826330222e-06,1.49219057884609e-06,1.28662097675475e-06,9.08676396188037e-07,6.27694884207885e-07,8.96302474723942e-07,1.11432784431595e-06,1.41480948621753e-06,1.61056067281561e-06,1.55394457930492e-06,1.30812523858816e-06,1.04953085610322e-06,7.97727821135247e-07,5.87479668071367e-07,3.98940980413597e-07,3.01904192944353e-07,2.01243442912508e-07,1.71114086776883e-07,1.83809235963916e-07
"mu_FF",3.46809735090048e-08,-4.89248876331949e-08,-1.78648499673528e-08,7.57283994712313e-09,-5.12457699595181e-08,-2.20127556682659e-07,1.12608921051916e-07,1.08273925209623e-07,8.74146482598982e-08,6.22827812564172e-08,2.15137904702667e-06,2.76176835480868e-06,2.36853827248051e-06,1.84809703699895e-06,1.44519645332908e-06,1.23422477428847e-06,1.14540722189971e-06,1.06913160647892e-06,9.00977013286176e-07,7.89128014318519e-07,8.57723038253489e-07,8.18794172050885e-07,6.11669003763693e-07,3.60842002888273e-07,3.87519543179116e-07,3.64173810080415e-07,4.02337504362194e-07,4.07299415704249e-07,3.80359880292808e-07,3.54188098369901e-07,3.49488290553479e-07,2.78138189501689e-07,2.66710977745471e-07,2.53284061025885e-07,2.54641300166586e-07,2.51098278701747e-07,1.6219200382625e-07,3.89687994350115e-08,1.02329235819875e-08,9.80471780828578e-08,1.70529733604159e-07,1.56957063228179e-07,1.00987663257865e-07,6.4057156607379e-08,5.13756788846977e-08,1.75135398384932e-07,2.40819261791181e-06,-7.97752991729794e-07,-9.28538573495885e-06,-8.52217407798152e-06,-8.61052114949602e-06,-7.97819188630556e-06,-7.81134642533844e-06,-5.83147865760659e-06,7.95916046286033e-07,1.45066913950131e-06,4.15294796896415e-06,2.25097234380022e-06,3.30457349478052e-06,9.46321348075148e-07,6.9613058510409e-07,-1.62814640002121e-07,-1.33850720040885e-06,-2.27542020248173e-06,-2.36897882178955e-06,-4.10228999894136e-06,-3.12627067067317e-06,-3.51490695186985e-06,-3.05503462818035e-06,-3.00639111144974e-06,-2.56213997219224e-06,-2.45025938146337e-06,-4.46303791556935e-06,-4.34699611677636e-06,-3.91102924735798e-06,-3.5433213420561e-06,-2.86491232466879e-06,-2.523671648203e-06,-2.50445257308912e-06,-2.52900632148112e-06,-2.45587601478256e-06,-2.79338657431602e-06,-2.46607352159253e-06,-2.13631246839771e-06,-1.95438975030679e-06,-1.61768040075607e-06,-1.62706570191368e-06,-1.76205256004959e-06,-1.67954601591819e-06,-1.50631154321965e-06,-1.29159963820679e-06,-1.10259895591513e-06,-1.07203578262293e-06,-1.00724483386873e-06,-8.95522575873318e-07,-8.50525136564464e-07,-8.47557365325017e-07,-8.73627854139054e-07,-8.53820600485135e-07,-8.03571936166265e-07
