"","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","time39","time40","time41","time42","time43","time44","time45","time46","time47","time48","time49","time50","time51","time52","time53","time54","time55","time56","time57","time58","time59","time60","time61","time62","time63","time64","time65","time66","time67","time68","time69","time70","time71","time72","time73","time74","time75","time76","time77","time78","time79","time80","time81","time82","time83","time84","time85","time86","time87","time88","time89","time90","time91","time92","time93","time94","time95","time96","time97","time98","time99","time100"
"time",10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
"mu_V_plasma",-8.49779959999353e-09,-9.61306943807472e-08,-1.50862121683026e-07,4.37856429673645e-08,2.34189256615114e-07,3.03054456529674e-08,-6.83214230949857e-08,-5.51543021234391e-07,-1.65389766506152e-07,9.7237565646191e-07,3.02816736031986e-06,3.30507021801907e-06,3.55783850327374e-06,3.7421769652406e-06,2.22866842880931e-06,1.69608087092588e-06,1.52077523593541e-06,1.49762444034185e-06,1.70228642612258e-06,1.76804082235948e-06,1.8175582523059e-06,1.6342950235565e-06,1.2005837085014e-06,9.86271063223632e-07,1.11706542249135e-06,1.15210147916872e-06,1.18405943803945e-06,1.07244443650598e-06,8.93088560031313e-07,8.23061486348059e-07,8.0437108506215e-07,7.19373978756502e-07,6.00681688707666e-07,4.44505430746867e-07,3.82884061142147e-07,3.91839539919073e-07,4.7943527002018e-07,5.39617644416658e-07,5.45606733605493e-07,5.46183709064591e-07,4.22492172741741e-07,3.29643944143709e-07,3.24801767163735e-07,3.60138430707382e-07,3.50194331322953e-07,1.96535380777905e-07,1.63236506056942e-07,1.48065457004e-07,1.01521062131124e-08,6.14501892700319e-09,1.02610659951687e-08,2.25804724886953e-08,4.65581330741251e-08,3.54583780640478e-09,-1.16415739783621e-07,-1.30017573909563e-07,-1.19277589666909e-07,-1.182228553961e-07,-1.73412244889045e-07,-1.87416749515257e-07,-1.6702114326941e-07,-1.81974035338279e-07,-2.30429663682623e-07,-2.67139262893507e-07,-2.7642537294455e-07,-2.62020493852776e-07,-2.18447932287083e-07,-1.53176794137166e-07,-1.1342970774732e-07,-1.08151127642209e-07,-1.03447098669596e-07,-8.3883834860095e-08,-9.06737720278836e-08,-8.98336258288565e-08,-8.41862701872966e-08,-7.24216369915314e-08,-5.95198785526523e-08,-3.61107702856797e-08,9.1408746596274e-09,5.60378028483656e-08,8.81277642833726e-08,2.60526702792685e-08,-1.69208263032327e-09,-2.93780374674177e-08,-6.23489613498492e-08,-7.02807797753974e-08,-6.28547189121815e-08,-5.14814472419266e-08,-1.18885302359491e-08,3.40346876622393e-08,4.6436701651974e-08,2.57739386329417e-08,-3.54132964765981e-09,-9.12787518561487e-09,-1.41398013855493e-08,-2.22496022964551e-08,-1.96277819252448e-08,4.86947636552853e-09,3.30198402218775e-08,6.14037218680413e-08
"mu_V_inter",-1.18020621835413e-08,8.44491978346787e-09,1.05127269765415e-07,9.61187412942265e-08,1.35596980879615e-07,1.57451182112301e-07,-3.02125660173846e-07,-2.65332266929708e-07,6.27498154025741e-07,-7.89489459675163e-07,9.15687803745958e-07,1.23135080195436e-06,3.18147947378833e-07,5.4955422850389e-07,5.53667181558025e-07,6.65451353628831e-07,1.36236209815999e-06,1.74220650026991e-06,1.55228330436974e-06,1.22023556197093e-06,8.15616671614117e-07,6.0762930625069e-07,3.59388390570759e-07,-3.91192253130778e-08,-4.63128578981897e-07,-6.12283694923665e-07,-5.27069711490635e-07,-3.9768946528182e-07,-4.28382271722483e-07,-4.46725468260189e-07,-3.30547220287747e-07,-1.98757300818753e-07,-1.87440842228673e-07,-1.73826937014274e-07,-1.77315164514996e-07,-1.11195583343673e-07,-6.72911517852828e-08,-4.09066150942606e-08,-1.46166074545124e-08,1.71461949095771e-08,5.33545150936538e-08,1.1005405421417e-07,1.58786358753424e-07,1.24990421368744e-07,3.95012862268591e-08,6.76912563881381e-09,-1.79891763288555e-08,-2.0482242852735e-08,-3.88482969456622e-07,-3.38577930844625e-07,-2.98109986962829e-07,-2.60093645153906e-07,-2.5081255773597e-07,-1.61716645710497e-07,-1.2307037149999e-07,-7.67773523606778e-08,-5.5359463040846e-08,-2.2518535165417e-08,2.36796574626969e-08,5.28134892115358e-08,8.02287290462534e-08,2.69354206455636e-08,-6.4105809561439e-08,-8.05793782289839e-08,-1.9126771600726e-08,3.32096446076458e-08,6.42895415783281e-08,1.04108591567111e-07,1.61802491477439e-07,2.09218418288072e-07,2.4457364215615e-07,2.69080461150302e-07,3.59430153829214e-07,3.33095386073282e-07,3.09114555888431e-07,2.84748800984782e-07,2.64614702874955e-07,2.09205089686611e-07,1.84421708866955e-07,1.63946102891691e-07,1.48959250254961e-07,6.33882522398411e-08,5.88395008920517e-08,7.03375979882591e-08,8.2597493671719e-08,7.50420033156239e-08,6.63997435908322e-08,8.17207329667087e-08,5.24972000148159e-08,3.25137844815453e-08,3.90465765341884e-08,3.94361279733103e-08,3.71397399885537e-08,3.46106897228587e-08,4.0893053241206e-08,4.73792298647927e-08,5.58007287958209e-08,7.10684812903115e-08,8.29559258766475e-08,8.7654252174247e-08
"mu_V_muscle",-4.65155935369665e-09,-1.16863029373526e-08,-1.14521556997538e-08,-5.85940296682351e-09,-1.61523127245378e-07,3.31725820013086e-09,-1.81965246678573e-07,3.29547465364399e-07,4.42663250371122e-07,-1.20969095840365e-07,1.08618404374813e-07,-2.0653684234873e-07,5.91164935991536e-07,4.30067009508758e-07,7.40155643706772e-07,1.13206743838989e-06,7.39617744803353e-07,6.50834610110283e-07,4.47798077060966e-07,1.61758697831413e-07,-1.73907378337003e-07,-2.19694262468152e-07,-1.91468665946605e-07,-2.55085752685126e-07,-3.74882479180384e-07,-4.94234670550932e-07,-5.25988881541097e-07,-4.1774566899014e-07,-2.4849873394492e-07,-2.60540242634085e-07,-3.5898362947437e-07,-3.69106560448836e-07,-3.00528939653046e-07,-2.28945710233895e-07,-1.79082190371758e-07,-1.33062144177827e-07,-1.67965563696319e-07,-2.21554502885171e-07,-1.94147272607644e-07,-8.02534664962544e-08,-7.2053646028536e-08,-5.59569808771851e-08,-3.21064898407247e-08,-2.79540569062861e-08,-2.78102712888112e-08,-1.44496409197798e-07,-1.40103524403062e-07,-1.40078825989701e-07,-1.55705252948948e-07,-1.27901249633574e-07,-1.07391911402515e-07,-8.12498544551053e-08,-7.74427792909857e-08,-6.051835542614e-08,-5.18750388805059e-09,3.82880173753211e-08,3.58912914123651e-08,3.17355628660962e-08,-4.0279844619077e-09,-9.74634096462908e-08,-2.02987780925914e-07,-2.72105252269859e-07,-3.31800414409956e-07,-3.74134514091625e-07,-3.97710363442199e-07,-4.66174134098867e-07,-4.20917811653415e-07,-3.44352266093077e-07,-3.02045165887442e-07,-2.55473531503762e-07,-2.45155552167545e-07,-2.1573330935945e-07,-1.41854033357948e-07,-1.32022909771213e-07,-1.24939930520581e-07,-1.21079623195766e-07,-1.16411028798581e-07,-1.0330197110362e-07,-8.34179967141487e-08,-4.63635759181627e-08,-4.65937256695588e-08,1.78954599387007e-08,-1.98386453220424e-10,-1.6258662956997e-08,-1.78072976469843e-08,-3.31537553814947e-08,-2.5265458882529e-08,-1.9798391266725e-08,-3.00961441344991e-08,-2.65831655190671e-08,-1.82039098611942e-08,2.16168598905202e-09,1.57861805190526e-08,4.1169978920015e-08,5.05633104195438e-08,4.76757884890783e-08,4.06286315122901e-08,3.29573792840869e-08,2.19694198640232e-08,-2.47289250770272e-09
"mu_kgut",-0.416293654574367,-0.793523091706324,-1.1362173137143,-1.44831818987965,-1.73325989681551,-1.99403774910197,-2.2332688272129,-2.45324009317924,-2.65595578609236,-2.84316333028851,-2.99596079022977,-3.10041848800116,-3.1646310462755,-3.19549340932576,-3.19887075352422,-3.17975045306082,-3.14236288726871,-3.09029534184262,-3.02658040757575,-2.95377759789354,-2.87404342598798,-2.78918828112403,-2.70072798138523,-2.6099264069001,-2.51783294732526,-2.42531419230628,-2.33308165868206,-2.2417152780737,-2.1516828842225,-2.06335794737206,-1.97703422194872,-1.89293792921297,-1.81123870718468,-1.73205867554648,-1.65548044737824,-1.58155364198871,-1.51030054452633,-1.44172113990591,-1.37579689449996,-1.31249461425022,-1.25176915119597,-1.19356579776816,-1.13782252202357,-1.0844718906596,-1.0334422969032,-0.984659655774641,-0.938046819235657,-0.893527050531475,-0.851023641424154,-0.810457703944066,-0.77175382688068,-0.734836870297732,-0.699633137790013,-0.666070706515818,-0.634079529772879,-0.603591483990047,-0.574540753517616,-0.546863642735171,-0.520498587436373,-0.495386441959363,-0.471470108615884,-0.44869490492943,-0.427008215127071,-0.40635964078646,-0.386700899861876,-0.367985732355811,-0.350169728441047,-0.333210597086863,-0.317067936038153,-0.301703069019496,-0.287079048151062,-0.273160639027632,-0.259915039428431,-0.247308437427493,-0.235311105594857,-0.223893858404999,-0.213028869760832,-0.202689623771829,-0.192850838761906,-0.183488491907768,-0.174579593305867,-0.166102453833412,-0.158035935028217,-0.150360452022239,-0.143057076976392,-0.136107799329314,-0.129495527944181,-0.123203950484048,-0.117217602043979,-0.111521686584412,-0.106102140111138,-0.100945602587546,-0.0960393420065351,-0.0913712420499074,-0.0869297731919423,-0.0827039358986963,-0.0786832755451516,-0.0748578412907241,-0.0712181883517634,-0.0677553106607311
"mu_Km",-3.62924710284307e-09,4.44413796603095e-08,2.34851723388552e-08,3.26775692465198e-08,-2.91110784358391e-08,1.54875842334868e-07,1.21306502319119e-07,2.46834044691724e-07,-2.28963815679162e-07,-6.55036405005305e-07,5.00435636362263e-07,4.26084319467019e-08,4.39539226811283e-07,-5.80655007230255e-07,-6.29964508564338e-07,-1.48082497898483e-06,-1.31828176391124e-06,-1.01580149735314e-06,-1.05050068171397e-06,-1.64345754614514e-06,-1.70443753088789e-06,-7.57816529764363e-07,-1.05418508661412e-07,-4.07071802830923e-08,-6.05744415811935e-08,-9.23216849363894e-08,-2.83831761783683e-08,2.66957036214339e-08,-4.05872427191988e-09,1.61969945685639e-08,3.96336677697131e-08,4.7256826731541e-08,3.2795212364518e-08,-1.35263260409846e-08,-1.41933818569435e-08,4.38232271758607e-08,2.16533093732883e-08,-4.10531470297199e-08,-1.61276373592928e-07,-2.87525456722114e-07,-2.73584391619067e-07,-1.8792731228797e-07,-1.19303403813334e-07,-8.44178094901303e-08,-6.77908645559763e-08,-1.85397347315904e-07,-1.71042625541252e-07,-1.70702414881749e-07,-3.21964657364424e-07,-2.91829769823232e-07,-2.60723181235671e-07,-2.46051228794096e-07,-2.17401603801713e-07,-1.78710963725912e-07,-3.61650471406987e-07,-3.42307320085277e-07,-3.61406595733554e-07,-4.15841405163393e-07,-4.78496885289854e-07,-5.06469083445943e-07,-4.72363098261896e-07,-4.34776081615424e-07,-4.12219602390263e-07,-3.63208523284105e-07,-2.95417529011741e-07,-2.7846298856662e-07,-2.9467411728029e-07,-3.05525575674135e-07,-3.24266214469546e-07,-3.34773143691361e-07,-3.35941232649755e-07,-3.45848612302355e-07,-5.1143498674438e-07,-4.81033345838371e-07,-4.49838113367209e-07,-4.18258102168299e-07,-4.00344908476693e-07,-3.71225958692413e-07,-3.49492723521014e-07,-3.27923917046603e-07,-3.11664006932306e-07,-2.62790475793679e-07,-2.63352701784002e-07,-2.25293741410862e-07,-1.57850303654208e-07,-1.40542389712217e-07,-1.43891985623523e-07,-1.65303375936989e-07,-1.87926234001174e-07,-1.8716216701402e-07,-1.65754929963958e-07,-1.56326690702133e-07,-1.21025186126519e-07,-8.73891529455648e-08,-6.79317130911802e-08,-5.81140453433874e-08,-5.56066759340389e-08,-6.19600092409149e-08,-7.41437889509115e-08,-8.23379762463323e-08
"mu_Vmax",5.52496785921619e-09,1.35887093217768e-08,6.7281911374284e-08,1.58456230177072e-08,-1.56657999984322e-07,-1.29475474313967e-07,-6.81131333751139e-07,-1.04635151369781e-06,-1.24872148854749e-06,-3.27102635343968e-06,-6.06117974167608e-06,-5.69875540975051e-06,-4.61392225073043e-06,-5.17085586888566e-06,-5.50198043246009e-06,-6.043407148415e-06,-6.86011550186505e-06,-6.55828310653561e-06,-6.03597749240459e-06,-5.62432899140919e-06,-5.50796321955782e-06,-4.74508285141084e-06,-3.81699451345141e-06,-3.36704942759769e-06,-3.11495227839126e-06,-2.86949353519572e-06,-2.5887796029126e-06,-2.32721769715691e-06,-2.17989557489898e-06,-2.10319642049356e-06,-1.93603167594186e-06,-1.65779997875808e-06,-1.49430346910971e-06,-1.45236453879177e-06,-1.47095604557647e-06,-1.47801970160282e-06,-1.32998557021873e-06,-1.20718509977452e-06,-1.06452213139049e-06,-8.95083501824698e-07,-7.78711941146038e-07,-7.0088076299191e-07,-7.21421731883099e-07,-7.05843332572086e-07,-6.91088304934508e-07,-3.78152691681052e-07,-3.30198199818939e-07,-2.72692380749414e-07,-8.83197096531659e-08,-9.4711277045344e-08,-9.43210107398062e-08,-7.94439240436725e-08,-6.05882995493986e-08,-4.98031189364147e-08,-1.37976762454054e-07,-1.39726019173282e-07,-1.67985284574916e-07,-1.98347037682496e-07,-2.54403686816715e-07,-2.38949624611847e-07,-2.51589530403834e-07,-2.7433169714005e-07,-3.09846887991714e-07,-2.82587087707589e-07,-2.50722153731817e-07,-2.48948983357397e-07,-2.76538547616574e-07,-3.36843647457746e-07,-3.34748783525184e-07,-3.19148679182768e-07,-3.06138951997355e-07,-2.51781915052082e-07,-2.76559280981988e-07,-2.54146975344331e-07,-2.34145228073801e-07,-2.15393930895512e-07,-1.90446213370349e-07,-1.73312249267019e-07,-1.74340438624053e-07,-1.86484388296178e-07,-1.76742434761899e-07,-2.32920098027582e-07,-2.29084304228551e-07,-2.3695244861675e-07,-2.16270451065124e-07,-2.08997737329792e-07,-2.1777778033082e-07,-2.22061576512529e-07,-2.04423261243021e-07,-1.84139219053211e-07,-1.82365118000549e-07,-1.74033818661649e-07,-1.52051486466478e-07,-1.43748651195217e-07,-1.41750477934664e-07,-1.3597769358241e-07,-1.28936526464312e-07,-1.25649552969564e-07,-1.27873827589559e-07,-1.26730732448487e-07
"mu_m_K_ALDO",-3.03071067841998e-08,-6.67546154393683e-08,3.36563024769809e-08,3.49881708885391e-08,4.90378803164049e-08,-3.08978961855999e-07,-5.13619709491486e-07,-1.71127552112793e-07,8.88292489005236e-08,-2.77540981356328e-06,-3.60080762461079e-06,-3.780531058454e-06,-3.20872529041116e-06,-3.08893128696219e-06,-2.94272675717933e-06,-2.51702285410271e-06,-2.46262367020722e-06,-2.32326185835063e-06,-2.4033943076347e-06,-2.3454266563796e-06,-2.1475144229709e-06,-2.00422539638589e-06,-1.51407822853078e-06,-1.30425971668041e-06,-9.5861254821683e-07,-5.31961423661464e-07,-3.28830282262993e-07,-3.60063325555909e-07,-3.04183845994371e-07,-1.88133864701456e-07,-1.08639415349526e-07,-1.44602800570728e-07,-2.34185819382865e-07,-2.23809506568515e-07,-1.75188829881004e-07,-6.61980844778033e-08,6.6624597603558e-08,1.40967240982975e-07,1.0702651017136e-07,1.01278301689843e-07,1.70407488169259e-07,2.59584362294732e-07,3.26307866534141e-07,2.97801734399635e-07,2.76121473951445e-07,3.03024279198382e-07,2.92651341756513e-07,2.8605664049984e-07,2.38279544283494e-07,2.21057632188271e-07,2.09062413131085e-07,1.92319593940007e-07,2.02701025457467e-07,1.61500798512515e-07,2.13203226604455e-07,2.4145427451736e-07,2.8568383114589e-07,2.51854626125786e-07,2.18362968421609e-07,1.84640323776266e-07,1.45432201649947e-07,7.98846086460817e-08,3.2530424033406e-08,-5.42041501178379e-09,-1.51932369381039e-08,-6.73121264443989e-08,-8.49994289377495e-08,-8.35063962497328e-08,-6.73911691215295e-08,-1.0550681096976e-07,-1.24298854849901e-07,-7.54870961561047e-08,-1.99395799615838e-07,-1.80367218004589e-07,-1.63565484843826e-07,-1.47286349642848e-07,-1.40321255054819e-07,-1.16092896292203e-07,-6.87258131091415e-08,-5.03687730707555e-08,-4.68706305959883e-08,-2.85528575233529e-08,-2.16450194233209e-08,-3.01667790647014e-08,3.04463467844771e-09,1.17484454670207e-09,-1.53599339119079e-08,-2.42958253871034e-08,-3.5972396226858e-08,-2.08813057891456e-08,-2.01742825648844e-09,7.23982308567071e-09,6.97837945374129e-09,5.53290851569294e-09,-2.19972529229301e-09,-2.06335737120485e-08,-3.83336236139445e-08,-5.80738800077021e-08,-7.1059100573845e-08,-7.43763125124353e-08
"mu_P_ECF",4.04233761583939e-08,5.2349780422567e-08,5.85851664220982e-08,1.01220425129611e-07,-2.863573818068e-10,5.16159256855885e-08,-1.79481395705669e-08,-2.4130240122044e-08,6.05698654260413e-07,-4.6718929653311e-07,1.806465045191e-07,2.50557643513022e-08,3.66456329481403e-07,-2.6111598633105e-07,1.01253833932335e-06,1.6280614530797e-06,1.40266985104942e-06,1.34218710602008e-06,1.2100567452844e-06,1.19548975370043e-06,1.0071098898754e-06,6.8972761792363e-07,5.6964973674134e-07,5.42605173766253e-07,6.34179716552997e-07,5.13752761379994e-07,5.51609654239505e-07,6.30834659269581e-07,6.661811921517e-07,6.51764510907899e-07,6.44613275234518e-07,7.14261436045194e-07,7.51986746426667e-07,8.24103098322482e-07,9.37040882987989e-07,9.21424397962612e-07,7.39930656843635e-07,5.8035668351078e-07,5.77794928214137e-07,5.66292532892983e-07,5.50964442970405e-07,5.12209729106008e-07,3.98139992124184e-07,2.9099966339078e-07,2.99727711983115e-07,3.51455207040554e-07,3.2838297174696e-07,2.74747651999901e-07,-3.56050311287567e-07,-3.26423114295101e-07,-3.09733029541027e-07,-3.07548229209322e-07,-3.191339811196e-07,-2.76130193469693e-07,-2.83656048187562e-07,-2.23445521252319e-07,-2.13145436533976e-07,-1.87404759870723e-07,-1.43997616945039e-07,-9.97959573185667e-08,-1.56170152979235e-08,4.83687994760656e-08,8.65717520262685e-09,-3.36970695500458e-08,-5.02701705903416e-08,-8.43632490837978e-09,-3.21145725302796e-08,-3.70628158638686e-08,-6.05044011410548e-08,-7.70091964627756e-08,-1.03958383832054e-07,-1.32457106544074e-07,-3.25413160322203e-07,-3.02072138921773e-07,-2.86163167999527e-07,-2.72267947553595e-07,-2.55143827668277e-07,-2.47433504123569e-07,-2.39501095688185e-07,-2.39606339962403e-07,-2.05262569852437e-07,-6.49524978930173e-08,-7.15488977042584e-08,-5.62767998466652e-08,-2.45418124057988e-08,-1.29038579327854e-08,-1.67630407395014e-08,-1.73028574274014e-08,-2.1310367620836e-08,-1.42684274286244e-08,-8.73653698175263e-09,-1.62419543246517e-08,-3.61478243669934e-08,-3.68680652882664e-08,-2.57760714377677e-08,2.02546958637747e-09,3.3057878834772e-08,5.41400343458488e-08,5.08465010749678e-08,3.32046184510707e-08
"mu_FF",3.46809735090048e-08,-4.89248876331949e-08,-1.78648499673528e-08,7.57283994712313e-09,-5.12457699595181e-08,-2.20127556682659e-07,1.12608921051916e-07,1.08273925209623e-07,8.74146482598982e-08,6.22827812564172e-08,2.15137904702667e-06,2.76176835480868e-06,2.36853827248051e-06,1.84809703699895e-06,1.44519645332908e-06,1.23422477428847e-06,1.14540722189971e-06,1.06913160647892e-06,9.00977013286176e-07,7.89128014318519e-07,8.57723038253489e-07,8.18794172050885e-07,6.11669003763693e-07,3.60842002888273e-07,3.87519543179116e-07,3.64173810080415e-07,4.02337504362194e-07,4.07299415704249e-07,3.80359880292808e-07,3.54188098369901e-07,3.49488290553479e-07,2.78138189501689e-07,2.66710977745471e-07,2.53284061025885e-07,2.54641300166586e-07,2.51098278701747e-07,1.6219200382625e-07,3.89687994350115e-08,1.02329235819875e-08,9.80471780828578e-08,1.70529733604159e-07,1.56957063228179e-07,1.00987663257865e-07,6.4057156607379e-08,5.13756788846977e-08,1.83591567203729e-07,1.45439136930176e-07,1.19978438219067e-07,2.98976803678437e-07,2.62903211373807e-07,2.29129663658668e-07,1.99974181359625e-07,1.79503729744282e-07,1.45299100149239e-07,1.60462604843692e-07,1.35554295837232e-07,1.38260491527532e-07,1.28038549065355e-07,1.09546349991226e-07,7.69595920204706e-08,4.42326184616456e-08,4.18243407003377e-08,4.63587936518632e-08,5.69473905143679e-08,3.86915877895986e-08,-9.92976295283347e-09,-2.41149573191111e-08,-1.96486330793221e-09,3.47488703562479e-08,7.22156135034931e-08,7.47889228936241e-08,6.57821288616409e-08,3.10304607476843e-08,2.76324363180739e-08,2.44321737138235e-08,2.20876405814226e-08,1.90010815381724e-08,1.5068582343563e-08,2.13289215404083e-08,2.605201331995e-08,2.04429184465772e-08,-9.08414320181506e-09,-2.40933835201304e-08,-2.69569522759614e-08,-2.38497125560128e-08,-2.4117370800685e-08,-1.61466045626261e-08,-1.19347532757987e-08,-1.50228676572555e-08,-2.38359704106113e-08,-2.78507870853686e-08,-2.79482367230663e-08,-2.88042031960841e-08,-2.68190850096962e-08,-2.29105730718976e-08,-1.34845160411812e-08,-1.48022367045966e-09,3.78182817468153e-09,1.4791368364571e-09,-7.72146457470541e-09
